E_lab	E*/MeV	247No	248No	249No	250No	251No	252No	253No	254No	255No	256No
200.342	11.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.166E-08	0.242E-11
201.573	12.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.133E-07	0.228E-12
202.804	13.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.690E-07	0.000E+00
204.035	14.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.621E-12	0.150E-06	0.000E+00
205.265	15.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.286E-09	0.269E-06	0.000E+00
206.496	16.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.132E-07	0.446E-06	0.000E+00
207.727	17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.227E-06	0.702E-06	0.000E+00
208.958	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.184E-05	0.992E-06	0.000E+00
210.188	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.730E-05	0.114E-05	0.000E+00
211.419	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.145E-04	0.103E-05	0.000E+00
212.650	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.188E-04	0.774E-06	0.000E+00
213.881	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.292E-09	0.187E-04	0.511E-06	0.000E+00
215.112	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.788E-08	0.157E-04	0.311E-06	0.000E+00
216.342	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.850E-07	0.117E-04	0.174E-06	0.000E+00
217.573	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.508E-06	0.800E-05	0.902E-07	0.000E+00
218.804	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.199E-05	0.512E-05	0.219E-07	0.000E+00
220.035	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.574E-05	0.310E-05	0.000E+00	0.000E+00
221.265	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.127E-04	0.179E-05	0.000E+00	0.000E+00
222.496	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.308E-10	0.213E-04	0.999E-06	0.000E+00	0.000E+00
223.727	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.680E-09	0.270E-04	0.538E-06	0.000E+00	0.000E+00
224.958	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.657E-08	0.277E-04	0.281E-06	0.000E+00	0.000E+00
226.188	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.365E-07	0.243E-04	0.143E-06	0.000E+00	0.000E+00
227.419	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.132E-06	0.191E-04	0.687E-07	0.000E+00	0.000E+00
228.650	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.335E-06	0.138E-04	0.302E-07	0.000E+00	0.000E+00
