E_lab	E*/MeV	255Md	256Md	257Md	258Md	259Md	260Md	261Md
65.682	26.0	0.000E+00	0.000E+00	0.893E-15	0.598E-13	0.814E-15	0.000E+00	0.384E-20
66.743	27.0	0.000E+00	0.000E+00	0.137E-13	0.438E-12	0.228E-14	0.000E+00	0.723E-19
67.803	28.0	0.000E+00	0.000E+00	0.172E-12	0.272E-11	0.595E-14	0.137E-22	0.108E-17
68.864	29.0	0.000E+00	0.000E+00	0.180E-11	0.143E-10	0.146E-13	0.196E-20	0.132E-16
69.924	30.0	0.000E+00	0.356E-16	0.160E-10	0.630E-10	0.338E-13	0.907E-19	0.132E-15
70.985	31.0	0.000E+00	0.286E-14	0.121E-09	0.236E-09	0.739E-13	0.266E-17	0.109E-14
72.045	32.0	0.000E+00	0.935E-13	0.782E-09	0.750E-09	0.149E-12	0.554E-16	0.741E-14
73.106	33.0	0.000E+00	0.171E-11	0.414E-08	0.200E-08	0.253E-12	0.835E-15	0.402E-13
74.166	34.0	0.000E+00	0.196E-10	0.169E-07	0.430E-08	0.160E-12	0.893E-14	0.166E-12
75.227	35.0	0.000E+00	0.154E-09	0.524E-07	0.737E-08	0.000E+00	0.685E-13	0.509E-12
76.287	36.0	0.000E+00	0.898E-09	0.125E-06	0.104E-07	0.000E+00	0.395E-12	0.121E-11
77.348	37.0	0.138E-12	0.408E-08	0.239E-06	0.126E-07	0.000E+00	0.178E-11	0.230E-11
78.408	38.0	0.235E-11	0.150E-07	0.378E-06	0.135E-07	0.000E+00	0.645E-11	0.366E-11
79.469	39.0	0.230E-10	0.459E-07	0.507E-06	0.130E-07	0.000E+00	0.194E-10	0.497E-11
80.529	40.0	0.153E-09	0.119E-06	0.595E-06	0.114E-07	0.000E+00	0.488E-10	0.593E-11
81.590	41.0	0.758E-09	0.264E-06	0.621E-06	0.936E-08	0.000E+00	0.105E-09	0.632E-11
82.650	42.0	0.299E-08	0.504E-06	0.587E-06	0.717E-08	0.000E+00	0.193E-09	0.610E-11
83.710	43.0	0.975E-08	0.839E-06	0.507E-06	0.516E-08	0.000E+00	0.309E-09	0.539E-11
84.771	44.0	0.269E-07	0.122E-05	0.405E-06	0.351E-08	0.000E+00	0.433E-09	0.441E-11
85.831	45.0	0.636E-07	0.158E-05	0.302E-06	0.225E-08	0.000E+00	0.539E-09	0.337E-11
86.892	46.0	0.131E-06	0.182E-05	0.212E-06	0.136E-08	0.000E+00	0.602E-09	0.243E-11
87.952	47.0	0.239E-06	0.191E-05	0.142E-06	0.727E-09	0.000E+00	0.613E-09	0.167E-11
89.013	48.0	0.388E-06	0.184E-05	0.914E-07	0.205E-09	0.000E+00	0.577E-09	0.110E-11
