E_lab	E*/MeV	257Lr	258Lr	259Lr	260Lr	261Lr	262Lr	263Lr
69.924	30.0	0.000E+00	0.000E+00	0.102E-11	0.316E-10	0.160E-12	0.000E+00	0.000E+00
70.985	31.0	0.000E+00	0.000E+00	0.626E-11	0.634E-10	0.211E-12	0.000E+00	0.000E+00
72.045	32.0	0.000E+00	0.000E+00	0.307E-10	0.120E-09	0.269E-12	0.000E+00	0.000E+00
73.106	33.0	0.000E+00	0.412E-16	0.124E-09	0.217E-09	0.371E-12	0.000E+00	0.000E+00
74.166	34.0	0.000E+00	0.719E-13	0.179E-07	0.179E-07	0.262E-10	0.000E+00	0.000E+00
75.227	35.0	0.000E+00	0.232E-11	0.684E-07	0.411E-07	0.454E-10	0.000E+00	0.000E+00
76.287	36.0	0.000E+00	0.448E-10	0.192E-06	0.727E-07	0.000E+00	0.000E+00	0.000E+00
77.348	37.0	0.000E+00	0.579E-09	0.473E-06	0.122E-06	0.000E+00	0.000E+00	0.000E+00
78.408	38.0	0.000E+00	0.548E-08	0.107E-05	0.198E-06	0.000E+00	0.000E+00	0.000E+00
79.469	39.0	0.000E+00	0.400E-07	0.227E-05	0.315E-06	0.000E+00	0.000E+00	0.000E+00
80.529	40.0	0.000E+00	0.232E-06	0.445E-05	0.480E-06	0.000E+00	0.000E+00	0.000E+00
81.590	41.0	0.101E-10	0.104E-05	0.767E-05	0.666E-06	0.000E+00	0.000E+00	0.000E+00
82.650	42.0	0.172E-09	0.335E-05	0.108E-04	0.776E-06	0.000E+00	0.000E+00	0.000E+00
83.710	43.0	0.162E-08	0.763E-05	0.120E-04	0.725E-06	0.000E+00	0.000E+00	0.000E+00
84.771	44.0	0.971E-08	0.130E-04	0.109E-04	0.562E-06	0.000E+00	0.000E+00	0.000E+00
85.831	45.0	0.407E-07	0.180E-04	0.886E-05	0.387E-06	0.000E+00	0.000E+00	0.000E+00
86.892	46.0	0.128E-06	0.214E-04	0.658E-05	0.246E-06	0.000E+00	0.000E+00	0.000E+00
87.952	47.0	0.319E-06	0.226E-04	0.455E-05	0.147E-06	0.000E+00	0.000E+00	0.000E+00
89.013	48.0	0.658E-06	0.217E-04	0.297E-05	0.769E-07	0.000E+00	0.000E+00	0.000E+00
90.073	49.0	0.116E-05	0.194E-04	0.187E-05	0.200E-07	0.000E+00	0.000E+00	0.000E+00
91.134	50.0	0.178E-05	0.164E-04	0.115E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
92.194	51.0	0.243E-05	0.133E-04	0.697E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
93.255	52.0	0.302E-05	0.103E-04	0.417E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
94.315	53.0	0.345E-05	0.782E-05	0.246E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
95.376	54.0	0.366E-05	0.576E-05	0.144E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
96.436	55.0	0.367E-05	0.416E-05	0.825E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
97.497	56.0	0.348E-05	0.294E-05	0.458E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
98.557	57.0	0.317E-05	0.205E-05	0.194E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
99.618	58.0	0.277E-05	0.141E-05	0.367E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
100.678	59.0	0.235E-05	0.962E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
101.739	60.0	0.193E-05	0.648E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
102.799	61.0	0.155E-05	0.433E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
103.860	62.0	0.122E-05	0.287E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
104.920	63.0	0.937E-06	0.189E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
105.981	64.0	0.709E-06	0.123E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
107.041	65.0	0.529E-06	0.803E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
108.102	66.0	0.389E-06	0.518E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
109.162	67.0	0.283E-06	0.333E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
110.223	68.0	0.204E-06	0.211E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
111.283	69.0	0.145E-06	0.130E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
112.344	70.0	0.103E-06	0.770E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
113.404	71.0	0.719E-07	0.355E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
114.465	72.0	0.501E-07	0.107E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
115.525	73.0	0.347E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
116.585	74.0	0.239E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
117.646	75.0	0.163E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
118.706	76.0	0.111E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
119.767	77.0	0.746E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
120.827	78.0	0.492E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
121.888	79.0	0.310E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
122.948	80.0	0.180E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
124.009	81.0	0.595E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
125.069	82.0	0.136E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
126.130	83.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
127.190	84.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
128.251	85.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
129.311	86.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
130.372	87.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
131.432	88.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
132.493	89.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
133.553	90.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
