E_lab	E*/MeV	173Au	174Au	175Au	176Au	177Au	178Au	179Au
333.524	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.181E-05
335.481	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.989E-05
337.437	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.231E-09	0.516E-04
339.394	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.163E-07	0.258E-03
341.350	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.775E-06	0.124E-02
343.307	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.186E-04	0.557E-02
345.263	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.250E-03	0.219E-01
347.220	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.207E-02	0.703E-01
349.177	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.110E-01	0.179E+00
351.133	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.412E-01	0.372E+00
353.090	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.120E+00	0.658E+00
355.046	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.534E-06	0.287E+00	0.103E+01
357.003	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.138E-04	0.596E+00	0.144E+01
358.959	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.181E-03	0.109E+01	0.186E+01
360.916	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.156E-02	0.181E+01	0.221E+01
362.872	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.914E-02	0.275E+01	0.245E+01
364.829	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.377E-01	0.386E+01	0.253E+01
366.785	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.117E+00	0.503E+01	0.245E+01
368.742	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.294E+00	0.614E+01	0.224E+01
370.698	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.615E+00	0.704E+01	0.193E+01
372.655	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.111E+01	0.762E+01	0.158E+01
374.611	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.177E+01	0.780E+01	0.124E+01
376.568	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.256E+01	0.759E+01	0.928E+00
378.524	44.0	0.000E+00	0.000E+00	0.000E+00	0.214E-05	0.343E+01	0.703E+01	0.668E+00
380.481	45.0	0.000E+00	0.000E+00	0.000E+00	0.241E-04	0.431E+01	0.622E+01	0.463E+00
382.437	46.0	0.000E+00	0.000E+00	0.000E+00	0.181E-03	0.513E+01	0.528E+01	0.311E+00
384.394	47.0	0.000E+00	0.000E+00	0.000E+00	0.979E-03	0.585E+01	0.431E+01	0.203E+00
386.350	48.0	0.000E+00	0.000E+00	0.000E+00	0.395E-02	0.642E+01	0.341E+01	0.129E+00
388.307	49.0	0.000E+00	0.000E+00	0.000E+00	0.125E-01	0.682E+01	0.261E+01	0.802E-01
390.263	50.0	0.000E+00	0.000E+00	0.000E+00	0.321E-01	0.702E+01	0.194E+01	0.489E-01
392.220	51.0	0.000E+00	0.000E+00	0.000E+00	0.703E-01	0.703E+01	0.141E+01	0.293E-01
394.177	52.0	0.000E+00	0.000E+00	0.000E+00	0.134E+00	0.686E+01	0.100E+01	0.173E-01
396.133	53.0	0.000E+00	0.000E+00	0.000E+00	0.229E+00	0.651E+01	0.697E+00	0.101E-01
398.090	54.0	0.000E+00	0.000E+00	0.000E+00	0.355E+00	0.601E+01	0.477E+00	0.586E-02
400.046	55.0	0.000E+00	0.000E+00	0.568E-06	0.510E+00	0.542E+01	0.322E+00	0.335E-02
402.003	56.0	0.000E+00	0.000E+00	0.455E-05	0.688E+00	0.477E+01	0.214E+00	0.190E-02
403.959	57.0	0.000E+00	0.000E+00	0.264E-04	0.877E+00	0.410E+01	0.141E+00	0.107E-02
405.916	58.0	0.000E+00	0.000E+00	0.116E-03	0.107E+01	0.344E+01	0.918E-01	0.597E-03
407.872	59.0	0.000E+00	0.000E+00	0.403E-03	0.125E+01	0.283E+01	0.593E-01	0.330E-03
409.829	60.0	0.000E+00	0.000E+00	0.116E-02	0.140E+01	0.228E+01	0.380E-01	0.181E-03
411.785	61.0	0.000E+00	0.000E+00	0.283E-02	0.153E+01	0.180E+01	0.241E-01	0.978E-04
413.742	62.0	0.000E+00	0.000E+00	0.607E-02	0.162E+01	0.140E+01	0.152E-01	0.521E-04
415.698	63.0	0.000E+00	0.000E+00	0.117E-01	0.166E+01	0.107E+01	0.956E-02	0.272E-04
417.655	64.0	0.000E+00	0.000E+00	0.204E-01	0.165E+01	0.808E+00	0.596E-02	0.138E-04
419.611	65.0	0.000E+00	0.000E+00	0.328E-01	0.161E+01	0.601E+00	0.370E-02	0.653E-05
421.568	66.0	0.000E+00	0.000E+00	0.494E-01	0.152E+01	0.441E+00	0.228E-02	0.271E-05
423.524	67.0	0.000E+00	0.000E+00	0.701E-01	0.141E+01	0.320E+00	0.140E-02	0.315E-06
425.481	68.0	0.000E+00	0.258E-06	0.944E-01	0.128E+01	0.230E+00	0.853E-03	0.000E+00
427.437	69.0	0.000E+00	0.135E-05	0.121E+00	0.113E+01	0.164E+00	0.518E-03	0.000E+00
429.394	70.0	0.000E+00	0.565E-05	0.150E+00	0.983E+00	0.115E+00	0.312E-03	0.000E+00
431.350	71.0	0.000E+00	0.194E-04	0.178E+00	0.838E+00	0.806E-01	0.188E-03	0.000E+00
433.307	72.0	0.000E+00	0.560E-04	0.205E+00	0.703E+00	0.559E-01	0.112E-03	0.000E+00
435.263	73.0	0.000E+00	0.140E-03	0.229E+00	0.579E+00	0.385E-01	0.664E-04	0.000E+00
437.220	74.0	0.000E+00	0.310E-03	0.247E+00	0.471E+00	0.264E-01	0.391E-04	0.000E+00
439.177	75.0	0.000E+00	0.618E-03	0.260E+00	0.377E+00	0.180E-01	0.228E-04	0.000E+00
441.133	76.0	0.000E+00	0.113E-02	0.267E+00	0.298E+00	0.122E-01	0.131E-04	0.000E+00
443.090	77.0	0.000E+00	0.191E-02	0.267E+00	0.233E+00	0.818E-02	0.721E-05	0.000E+00
445.046	78.0	0.000E+00	0.302E-02	0.261E+00	0.180E+00	0.548E-02	0.383E-05	0.000E+00
447.003	79.0	0.855E-07	0.451E-02	0.250E+00	0.138E+00	0.365E-02	0.171E-05	0.000E+00
448.959	80.0	0.336E-06	0.640E-02	0.234E+00	0.104E+00	0.242E-02	0.264E-06	0.000E+00
