E_lab	E*/MeV	173Au	174Au	175Au	176Au	177Au	178Au	179Au
333.550	16.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.163E-05
335.506	17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.883E-05
337.463	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.186E-08	0.453E-04
339.419	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.104E-06	0.223E-03
341.376	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.388E-05	0.104E-02
343.332	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.757E-04	0.454E-02
345.289	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.821E-03	0.172E-01
347.245	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.551E-02	0.521E-01
349.202	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.243E-01	0.124E+00
351.158	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.775E-01	0.241E+00
353.115	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.196E+00	0.397E+00
355.072	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.583E-06	0.416E+00	0.574E+00
357.028	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.149E-04	0.778E+00	0.748E+00
358.985	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.193E-03	0.131E+01	0.893E+00
360.941	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.163E-02	0.202E+01	0.985E+00
362.898	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.941E-02	0.290E+01	0.101E+01
364.854	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.382E-01	0.389E+01	0.974E+00
366.811	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.118E+00	0.491E+01	0.883E+00
368.767	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.292E+00	0.584E+01	0.757E+00
370.724	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.605E+00	0.657E+01	0.617E+00
372.680	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.108E+01	0.701E+01	0.479E+00
374.637	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.172E+01	0.709E+01	0.356E+00
376.593	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.248E+01	0.684E+01	0.255E+00
378.550	39.0	0.000E+00	0.000E+00	0.000E+00	0.216E-05	0.331E+01	0.630E+01	0.175E+00
380.506	40.0	0.000E+00	0.000E+00	0.000E+00	0.243E-04	0.414E+01	0.555E+01	0.117E+00
382.463	41.0	0.000E+00	0.000E+00	0.000E+00	0.182E-03	0.493E+01	0.470E+01	0.757E-01
384.419	42.0	0.000E+00	0.000E+00	0.000E+00	0.981E-03	0.562E+01	0.384E+01	0.478E-01
386.376	43.0	0.000E+00	0.000E+00	0.000E+00	0.396E-02	0.617E+01	0.303E+01	0.295E-01
388.332	44.0	0.000E+00	0.000E+00	0.000E+00	0.125E-01	0.656E+01	0.232E+01	0.178E-01
390.289	45.0	0.000E+00	0.000E+00	0.000E+00	0.321E-01	0.676E+01	0.173E+01	0.106E-01
392.245	46.0	0.000E+00	0.000E+00	0.000E+00	0.701E-01	0.678E+01	0.126E+01	0.623E-02
394.202	47.0	0.000E+00	0.000E+00	0.000E+00	0.134E+00	0.662E+01	0.894E+00	0.361E-02
396.158	48.0	0.000E+00	0.000E+00	0.000E+00	0.228E+00	0.629E+01	0.624E+00	0.207E-02
398.115	49.0	0.000E+00	0.000E+00	0.000E+00	0.354E+00	0.582E+01	0.429E+00	0.117E-02
400.072	50.0	0.000E+00	0.000E+00	0.575E-06	0.509E+00	0.526E+01	0.290E+00	0.661E-03
402.028	51.0	0.000E+00	0.000E+00	0.461E-05	0.685E+00	0.463E+01	0.194E+00	0.369E-03
403.985	52.0	0.000E+00	0.000E+00	0.267E-04	0.874E+00	0.398E+01	0.128E+00	0.204E-03
405.941	53.0	0.000E+00	0.000E+00	0.117E-03	0.106E+01	0.335E+01	0.835E-01	0.112E-03
407.898	54.0	0.000E+00	0.000E+00	0.407E-03	0.124E+01	0.276E+01	0.541E-01	0.606E-04
409.854	55.0	0.000E+00	0.000E+00	0.117E-02	0.140E+01	0.223E+01	0.347E-01	0.323E-04
411.811	56.0	0.000E+00	0.000E+00	0.286E-02	0.153E+01	0.176E+01	0.221E-01	0.169E-04
413.767	57.0	0.000E+00	0.000E+00	0.614E-02	0.162E+01	0.137E+01	0.140E-01	0.845E-05
415.724	58.0	0.000E+00	0.000E+00	0.118E-01	0.166E+01	0.105E+01	0.882E-02	0.398E-05
417.680	59.0	0.000E+00	0.000E+00	0.206E-01	0.166E+01	0.794E+00	0.552E-02	0.130E-05
419.637	60.0	0.000E+00	0.000E+00	0.332E-01	0.161E+01	0.592E+00	0.343E-02	0.000E+00
421.593	61.0	0.000E+00	0.000E+00	0.500E-01	0.153E+01	0.435E+00	0.213E-02	0.000E+00
423.550	62.0	0.000E+00	0.000E+00	0.710E-01	0.142E+01	0.316E+00	0.131E-02	0.000E+00
425.506	63.0	0.000E+00	0.263E-06	0.956E-01	0.128E+01	0.227E+00	0.801E-03	0.000E+00
427.463	64.0	0.000E+00	0.138E-05	0.123E+00	0.114E+01	0.162E+00	0.488E-03	0.000E+00
429.419	65.0	0.000E+00	0.576E-05	0.152E+00	0.990E+00	0.114E+00	0.296E-03	0.000E+00
431.376	66.0	0.000E+00	0.197E-04	0.181E+00	0.845E+00	0.800E-01	0.178E-03	0.000E+00
433.332	67.0	0.000E+00	0.570E-04	0.208E+00	0.708E+00	0.556E-01	0.107E-03	0.000E+00
435.289	68.0	0.000E+00	0.143E-03	0.232E+00	0.584E+00	0.383E-01	0.636E-04	0.000E+00
437.245	69.0	0.000E+00	0.316E-03	0.251E+00	0.475E+00	0.263E-01	0.376E-04	0.000E+00
439.202	70.0	0.000E+00	0.630E-03	0.264E+00	0.381E+00	0.179E-01	0.220E-04	0.000E+00
441.158	71.0	0.000E+00	0.115E-02	0.271E+00	0.301E+00	0.121E-01	0.127E-04	0.000E+00
443.115	72.0	0.000E+00	0.195E-02	0.271E+00	0.235E+00	0.818E-02	0.696E-05	0.000E+00
445.072	73.0	0.000E+00	0.308E-02	0.265E+00	0.182E+00	0.548E-02	0.360E-05	0.000E+00
447.028	74.0	0.872E-07	0.460E-02	0.254E+00	0.139E+00	0.366E-02	0.168E-05	0.000E+00
448.985	75.0	0.342E-06	0.652E-02	0.238E+00	0.106E+00	0.243E-02	0.173E-06	0.000E+00
450.941	76.0	0.113E-05	0.885E-02	0.219E+00	0.793E-01	0.160E-02	0.000E+00	0.000E+00
452.898	77.0	0.324E-05	0.115E-01	0.198E+00	0.591E-01	0.106E-02	0.000E+00	0.000E+00
454.854	78.0	0.813E-05	0.145E-01	0.175E+00	0.437E-01	0.691E-03	0.000E+00	0.000E+00
456.811	79.0	0.183E-04	0.176E-01	0.153E+00	0.321E-01	0.451E-03	0.000E+00	0.000E+00
458.767	80.0	0.375E-04	0.208E-01	0.132E+00	0.234E-01	0.293E-03	0.000E+00	0.000E+00
