E_lab	E*/MeV	173Au	174Au	175Au	176Au	177Au	178Au	179Au
333.550	16.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.164E-05
335.506	17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.885E-05
337.463	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.333E-08	0.454E-04
339.419	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.183E-06	0.223E-03
341.376	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.654E-05	0.104E-02
343.332	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.123E-03	0.454E-02
345.289	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.129E-02	0.171E-01
347.245	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.829E-02	0.517E-01
349.202	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.354E-01	0.123E+00
351.158	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.109E+00	0.235E+00
353.115	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.267E+00	0.383E+00
355.072	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.115E-05	0.552E+00	0.548E+00
357.028	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.253E-04	0.101E+01	0.708E+00
358.985	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.304E-03	0.166E+01	0.837E+00
360.941	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.232E-02	0.251E+01	0.915E+00
362.898	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.119E-01	0.355E+01	0.933E+00
