E_lab	E*/MeV	173Au	174Au	175Au	176Au	177Au	178Au	179Au
333.524	16.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.160E-05
335.481	17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.866E-05
337.437	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.326E-08	0.444E-04
339.394	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.179E-06	0.218E-03
341.350	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.641E-05	0.102E-02
343.307	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.121E-03	0.445E-02
345.263	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.127E-02	0.168E-01
347.220	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.819E-02	0.509E-01
349.177	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.350E-01	0.121E+00
351.133	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.108E+00	0.233E+00
353.090	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.265E+00	0.380E+00
355.046	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.114E-05	0.549E+00	0.545E+00
357.003	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.252E-04	0.100E+01	0.704E+00
358.959	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.303E-03	0.165E+01	0.832E+00
360.916	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.231E-02	0.250E+01	0.911E+00
362.872	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.118E-01	0.354E+01	0.929E+00
364.829	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.439E-01	0.470E+01	0.889E+00
366.785	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.127E+00	0.588E+01	0.801E+00
368.742	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.304E+00	0.697E+01	0.683E+00
370.698	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.616E+00	0.784E+01	0.554E+00
372.655	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.109E+01	0.838E+01	0.428E+00
374.611	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.172E+01	0.852E+01	0.317E+00
376.568	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.247E+01	0.827E+01	0.226E+00
378.524	39.0	0.000E+00	0.000E+00	0.000E+00	0.315E-05	0.330E+01	0.768E+01	0.155E+00
380.481	40.0	0.000E+00	0.000E+00	0.000E+00	0.347E-04	0.415E+01	0.683E+01	0.103E+00
382.437	41.0	0.000E+00	0.000E+00	0.000E+00	0.254E-03	0.495E+01	0.583E+01	0.666E-01
384.394	42.0	0.000E+00	0.000E+00	0.000E+00	0.133E-02	0.566E+01	0.480E+01	0.419E-01
386.350	43.0	0.000E+00	0.000E+00	0.000E+00	0.522E-02	0.624E+01	0.382E+01	0.258E-01
388.307	44.0	0.000E+00	0.000E+00	0.000E+00	0.160E-01	0.664E+01	0.295E+01	0.156E-01
390.263	45.0	0.000E+00	0.000E+00	0.000E+00	0.404E-01	0.686E+01	0.222E+01	0.924E-02
392.220	46.0	0.000E+00	0.000E+00	0.000E+00	0.868E-01	0.689E+01	0.163E+01	0.541E-02
394.177	47.0	0.000E+00	0.000E+00	0.000E+00	0.163E+00	0.673E+01	0.117E+01	0.313E-02
396.133	48.0	0.000E+00	0.000E+00	0.000E+00	0.274E+00	0.639E+01	0.821E+00	0.179E-02
398.090	49.0	0.000E+00	0.000E+00	0.000E+00	0.420E+00	0.592E+01	0.568E+00	0.101E-02
400.046	50.0	0.000E+00	0.000E+00	0.102E-05	0.598E+00	0.534E+01	0.386E+00	0.568E-03
402.003	51.0	0.000E+00	0.000E+00	0.743E-05	0.797E+00	0.470E+01	0.260E+00	0.316E-03
403.959	52.0	0.000E+00	0.000E+00	0.406E-04	0.101E+01	0.404E+01	0.172E+00	0.175E-03
405.916	53.0	0.000E+00	0.000E+00	0.172E-03	0.122E+01	0.339E+01	0.113E+00	0.955E-04
407.872	54.0	0.000E+00	0.000E+00	0.580E-03	0.141E+01	0.279E+01	0.736E-01	0.515E-04
409.829	55.0	0.000E+00	0.000E+00	0.163E-02	0.158E+01	0.225E+01	0.475E-01	0.273E-04
411.785	56.0	0.000E+00	0.000E+00	0.391E-02	0.172E+01	0.178E+01	0.304E-01	0.142E-04
