E_lab E*/MeV 184Po 185Po 186Po 187Po 188Po 189Po 190Po
201.430 31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.450E-11 0.960E-14 0.000E+00
202.749 32.0 0.000E+00 0.000E+00 0.000E+00 0.717E-16 0.866E-11 0.145E-13 0.000E+00
204.069 33.0 0.000E+00 0.000E+00 0.000E+00 0.296E-13 0.846E-09 0.158E-10 0.000E+00
205.388 34.0 0.000E+00 0.000E+00 0.000E+00 0.268E-11 0.343E-08 0.419E-10 0.000E+00
206.708 35.0 0.000E+00 0.000E+00 0.000E+00 0.750E-10 0.694E-08 0.000E+00 0.000E+00
208.027 36.0 0.000E+00 0.000E+00 0.000E+00 0.115E-08 0.132E-07 0.000E+00 0.000E+00
209.346 37.0 0.000E+00 0.000E+00 0.000E+00 0.118E-07 0.245E-07 0.000E+00 0.000E+00
210.666 38.0 0.000E+00 0.000E+00 0.000E+00 0.895E-07 0.444E-07 0.000E+00 0.000E+00
211.985 39.0 0.000E+00 0.000E+00 0.000E+00 0.493E-06 0.766E-07 0.000E+00 0.000E+00
213.305 40.0 0.000E+00 0.000E+00 0.000E+00 0.184E-05 0.119E-06 0.000E+00 0.000E+00
214.624 41.0 0.000E+00 0.000E+00 0.000E+00 0.447E-05 0.149E-06 0.000E+00 0.000E+00
215.944 42.0 0.000E+00 0.000E+00 0.000E+00 0.722E-05 0.144E-06 0.000E+00 0.000E+00
217.263 43.0 0.000E+00 0.000E+00 0.000E+00 0.863E-05 0.110E-06 0.000E+00 0.000E+00
218.583 44.0 0.000E+00 0.000E+00 0.151E-10 0.849E-05 0.726E-07 0.000E+00 0.000E+00
219.902 45.0 0.000E+00 0.000E+00 0.185E-09 0.741E-05 0.376E-07 0.000E+00 0.000E+00
221.221 46.0 0.000E+00 0.000E+00 0.127E-08 0.599E-05 0.870E-08 0.000E+00 0.000E+00
222.541 47.0 0.000E+00 0.000E+00 0.566E-08 0.460E-05 0.000E+00 0.000E+00 0.000E+00
223.860 48.0 0.000E+00 0.000E+00 0.175E-07 0.340E-05 0.000E+00 0.000E+00 0.000E+00
225.180 49.0 0.000E+00 0.000E+00 0.403E-07 0.245E-05 0.000E+00 0.000E+00 0.000E+00
226.499 50.0 0.000E+00 0.000E+00 0.721E-07 0.172E-05 0.000E+00 0.000E+00 0.000E+00
227.819 51.0 0.000E+00 0.000E+00 0.106E-06 0.119E-05 0.000E+00 0.000E+00 0.000E+00
229.138 52.0 0.000E+00 0.000E+00 0.136E-06 0.809E-06 0.000E+00 0.000E+00 0.000E+00
230.458 53.0 0.000E+00 0.000E+00 0.154E-06 0.544E-06 0.000E+00 0.000E+00 0.000E+00
231.777 54.0 0.000E+00 0.000E+00 0.161E-06 0.361E-06 0.000E+00 0.000E+00 0.000E+00
233.096 55.0 0.000E+00 0.000E+00 0.156E-06 0.238E-06 0.000E+00 0.000E+00 0.000E+00
234.416 56.0 0.000E+00 0.135E-12 0.143E-06 0.156E-06 0.000E+00 0.000E+00 0.000E+00
