E_lab E*/MeV 250No 251No 252No 253No 254No 255No 256No
213.881 22.0 0.000E+00 0.000E+00 0.000E+00 0.377E-14 0.629E-10 0.173E-12 0.000E+00
215.112 23.0 0.000E+00 0.000E+00 0.000E+00 0.199E-12 0.104E-09 0.212E-12 0.000E+00
216.342 24.0 0.000E+00 0.000E+00 0.000E+00 0.150E-09 0.135E-07 0.202E-09 0.000E+00
217.573 25.0 0.000E+00 0.000E+00 0.000E+00 0.206E-08 0.240E-07 0.267E-09 0.000E+00
218.804 26.0 0.000E+00 0.000E+00 0.000E+00 0.194E-07 0.377E-07 0.263E-09 0.000E+00
220.035 27.0 0.000E+00 0.000E+00 0.000E+00 0.141E-06 0.580E-07 0.000E+00 0.000E+00
221.265 28.0 0.000E+00 0.000E+00 0.000E+00 0.812E-06 0.875E-07 0.000E+00 0.000E+00
222.496 29.0 0.000E+00 0.000E+00 0.587E-11 0.351E-05 0.127E-06 0.000E+00 0.000E+00
223.727 30.0 0.000E+00 0.000E+00 0.299E-09 0.104E-04 0.163E-06 0.000E+00 0.000E+00
224.958 31.0 0.000E+00 0.000E+00 0.520E-08 0.200E-04 0.168E-06 0.000E+00 0.000E+00
226.188 32.0 0.000E+00 0.000E+00 0.383E-07 0.244E-04 0.129E-06 0.000E+00 0.000E+00
227.419 33.0 0.000E+00 0.000E+00 0.150E-06 0.214E-04 0.746E-07 0.000E+00 0.000E+00
228.650 34.0 0.000E+00 0.000E+00 0.381E-06 0.156E-04 0.346E-07 0.000E+00 0.000E+00
229.881 35.0 0.000E+00 0.000E+00 0.701E-06 0.103E-04 0.530E-08 0.000E+00 0.000E+00
231.112 36.0 0.000E+00 0.000E+00 0.101E-05 0.644E-05 0.000E+00 0.000E+00 0.000E+00
232.342 37.0 0.000E+00 0.000E+00 0.119E-05 0.388E-05 0.000E+00 0.000E+00 0.000E+00
233.573 38.0 0.000E+00 0.322E-11 0.123E-05 0.228E-05 0.000E+00 0.000E+00 0.000E+00
234.804 39.0 0.000E+00 0.368E-10 0.113E-05 0.132E-05 0.000E+00 0.000E+00 0.000E+00
236.035 40.0 0.000E+00 0.253E-09 0.956E-06 0.753E-06 0.000E+00 0.000E+00 0.000E+00
237.265 41.0 0.000E+00 0.118E-08 0.757E-06 0.425E-06 0.000E+00 0.000E+00 0.000E+00
238.496 42.0 0.000E+00 0.409E-08 0.569E-06 0.238E-06 0.000E+00 0.000E+00 0.000E+00
