E_lab E*/MeV 251Lr 252Lr 253Lr 254Lr 255Lr 256Lr 257Lr
201.468 10.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.378E-06 0.753E-08
202.698 11.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.289E-05 0.964E-08
203.927 12.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.190E-04 0.719E-08
205.157 13.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.884E-04 0.747E-09
206.387 14.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.203E-03 0.000E+00
207.616 15.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.203E-06 0.271E-03 0.000E+00
208.846 16.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.445E-05 0.255E-03 0.000E+00
210.076 17.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.299E-04 0.193E-03 0.000E+00
211.305 18.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.103E-03 0.127E-03 0.000E+00
212.535 19.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.251E-03 0.764E-04 0.000E+00
213.765 20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.424E-03 0.433E-04 0.000E+00
214.994 21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.479E-03 0.234E-04 0.000E+00
216.224 22.0 0.000E+00 0.000E+00 0.000E+00 0.631E-09 0.417E-03 0.121E-04 0.000E+00
217.454 23.0 0.000E+00 0.000E+00 0.000E+00 0.188E-07 0.307E-03 0.606E-05 0.000E+00
218.683 24.0 0.000E+00 0.000E+00 0.000E+00 0.221E-06 0.201E-03 0.294E-05 0.000E+00
219.913 25.0 0.000E+00 0.000E+00 0.000E+00 0.132E-05 0.121E-03 0.139E-05 0.000E+00
221.143 26.0 0.000E+00 0.000E+00 0.000E+00 0.467E-05 0.685E-04 0.609E-06 0.000E+00
222.372 27.0 0.000E+00 0.000E+00 0.000E+00 0.115E-04 0.370E-04 0.222E-06 0.000E+00
223.602 28.0 0.000E+00 0.000E+00 0.000E+00 0.223E-04 0.193E-04 0.545E-08 0.000E+00
224.832 29.0 0.000E+00 0.000E+00 0.279E-10 0.356E-04 0.977E-05 0.000E+00 0.000E+00
226.061 30.0 0.000E+00 0.000E+00 0.598E-09 0.464E-04 0.484E-05 0.000E+00 0.000E+00
227.291 31.0 0.000E+00 0.000E+00 0.565E-08 0.495E-04 0.235E-05 0.000E+00 0.000E+00
228.521 32.0 0.000E+00 0.000E+00 0.315E-07 0.450E-04 0.113E-05 0.000E+00 0.000E+00
229.750 33.0 0.000E+00 0.000E+00 0.119E-06 0.362E-04 0.538E-06 0.000E+00 0.000E+00
230.980 34.0 0.000E+00 0.000E+00 0.328E-06 0.267E-04 0.252E-06 0.000E+00 0.000E+00
232.210 35.0 0.000E+00 0.000E+00 0.708E-06 0.183E-04 0.116E-06 0.000E+00 0.000E+00
233.439 36.0 0.000E+00 0.000E+00 0.124E-05 0.120E-04 0.498E-07 0.000E+00 0.000E+00
234.669 37.0 0.000E+00 0.000E+00 0.179E-05 0.753E-05 0.894E-08 0.000E+00 0.000E+00
235.899 38.0 0.000E+00 0.586E-12 0.218E-05 0.459E-05 0.000E+00 0.000E+00 0.000E+00
237.128 39.0 0.000E+00 0.804E-11 0.231E-05 0.273E-05 0.000E+00 0.000E+00 0.000E+00
238.358 40.0 0.000E+00 0.657E-10 0.220E-05 0.160E-05 0.000E+00 0.000E+00 0.000E+00
239.588 41.0 0.000E+00 0.359E-09 0.193E-05 0.925E-06 0.000E+00 0.000E+00 0.000E+00
