E_lab E*/MeV 189At 190At 191At 192At 193At 194At 195At
214.881 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.358E-10 0.276E-12 0.000E+00
216.235 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.756E-10 0.401E-12 0.000E+00
217.589 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.342E-07 0.560E-09 0.000E+00
218.943 31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.883E-07 0.131E-08 0.000E+00
220.297 32.0 0.000E+00 0.000E+00 0.000E+00 0.382E-11 0.185E-06 0.228E-08 0.000E+00
221.652 33.0 0.000E+00 0.000E+00 0.000E+00 0.266E-09 0.366E-06 0.339E-08 0.000E+00
223.006 34.0 0.000E+00 0.000E+00 0.000E+00 0.697E-08 0.700E-06 0.456E-08 0.000E+00
224.360 35.0 0.000E+00 0.000E+00 0.000E+00 0.945E-07 0.128E-05 0.903E-09 0.000E+00
225.714 36.0 0.000E+00 0.000E+00 0.000E+00 0.773E-06 0.216E-05 0.000E+00 0.000E+00
227.068 37.0 0.000E+00 0.000E+00 0.000E+00 0.394E-05 0.301E-05 0.000E+00 0.000E+00
228.422 38.0 0.000E+00 0.000E+00 0.000E+00 0.118E-04 0.321E-05 0.000E+00 0.000E+00
229.777 39.0 0.000E+00 0.000E+00 0.000E+00 0.221E-04 0.269E-05 0.000E+00 0.000E+00
231.131 40.0 0.000E+00 0.000E+00 0.000E+00 0.300E-04 0.190E-05 0.000E+00 0.000E+00
232.485 41.0 0.000E+00 0.000E+00 0.000E+00 0.330E-04 0.122E-05 0.000E+00 0.000E+00
233.839 42.0 0.000E+00 0.000E+00 0.705E-10 0.317E-04 0.728E-06 0.000E+00 0.000E+00
235.193 43.0 0.000E+00 0.000E+00 0.800E-09 0.278E-04 0.420E-06 0.000E+00 0.000E+00
236.547 44.0 0.000E+00 0.000E+00 0.521E-08 0.227E-04 0.233E-06 0.000E+00 0.000E+00
237.902 45.0 0.000E+00 0.000E+00 0.226E-07 0.177E-04 0.121E-06 0.000E+00 0.000E+00
239.256 46.0 0.000E+00 0.000E+00 0.717E-07 0.132E-04 0.431E-07 0.000E+00 0.000E+00
240.610 47.0 0.000E+00 0.000E+00 0.176E-06 0.956E-05 0.000E+00 0.000E+00 0.000E+00
241.964 48.0 0.000E+00 0.000E+00 0.343E-06 0.675E-05 0.000E+00 0.000E+00 0.000E+00
243.318 49.0 0.000E+00 0.000E+00 0.548E-06 0.466E-05 0.000E+00 0.000E+00 0.000E+00
244.672 50.0 0.000E+00 0.000E+00 0.743E-06 0.317E-05 0.000E+00 0.000E+00 0.000E+00
246.027 51.0 0.000E+00 0.000E+00 0.886E-06 0.212E-05 0.000E+00 0.000E+00 0.000E+00
247.381 52.0 0.000E+00 0.000E+00 0.955E-06 0.140E-05 0.000E+00 0.000E+00 0.000E+00
248.735 53.0 0.000E+00 0.124E-12 0.949E-06 0.916E-06 0.000E+00 0.000E+00 0.000E+00
250.089 54.0 0.000E+00 0.185E-11 0.885E-06 0.594E-06 0.000E+00 0.000E+00 0.000E+00
251.443 55.0 0.000E+00 0.159E-10 0.783E-06 0.383E-06 0.000E+00 0.000E+00 0.000E+00
252.797 56.0 0.000E+00 0.901E-10 0.664E-06 0.245E-06 0.000E+00 0.000E+00 0.000E+00
254.152 57.0 0.000E+00 0.373E-09 0.543E-06 0.156E-06 0.000E+00 0.000E+00 0.000E+00
255.506 58.0 0.000E+00 0.120E-08 0.431E-06 0.990E-07 0.000E+00 0.000E+00 0.000E+00
256.860 59.0 0.000E+00 0.318E-08 0.334E-06 0.624E-07 0.000E+00 0.000E+00 0.000E+00
258.214 60.0 0.000E+00 0.706E-08 0.253E-06 0.391E-07 0.000E+00 0.000E+00 0.000E+00
259.568 61.0 0.000E+00 0.135E-07 0.188E-06 0.243E-07 0.000E+00 0.000E+00 0.000E+00
260.922 62.0 0.000E+00 0.224E-07 0.138E-06 0.145E-07 0.000E+00 0.000E+00 0.000E+00
262.277 63.0 0.000E+00 0.331E-07 0.996E-07 0.830E-08 0.000E+00 0.000E+00 0.000E+00
