E_lab E*/MeV 193Rn 194Rn 195Rn 196Rn 197Rn 198Rn 199Rn
207.704 20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.933E-10 0.642E-06 0.805E-09
209.057 21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.621E-08 0.104E-05 0.000E+00
210.411 22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.128E-06 0.131E-05 0.000E+00
211.765 23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.115E-05 0.136E-05 0.000E+00
213.119 24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.597E-05 0.125E-05 0.000E+00
214.472 25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.219E-04 0.104E-05 0.000E+00
215.826 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.555E-04 0.807E-06 0.000E+00
217.180 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.952E-04 0.589E-06 0.000E+00
218.534 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.126E-03 0.405E-06 0.000E+00
219.887 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.139E-03 0.242E-06 0.000E+00
221.241 30.0 0.000E+00 0.000E+00 0.000E+00 0.676E-09 0.136E-03 0.109E-06 0.000E+00
222.595 31.0 0.000E+00 0.000E+00 0.000E+00 0.182E-07 0.121E-03 0.000E+00 0.000E+00
223.949 32.0 0.000E+00 0.000E+00 0.000E+00 0.195E-06 0.100E-03 0.000E+00 0.000E+00
225.302 33.0 0.000E+00 0.000E+00 0.000E+00 0.112E-05 0.785E-04 0.000E+00 0.000E+00
226.656 34.0 0.000E+00 0.000E+00 0.000E+00 0.395E-05 0.586E-04 0.000E+00 0.000E+00
228.010 35.0 0.000E+00 0.000E+00 0.000E+00 0.926E-05 0.419E-04 0.000E+00 0.000E+00
229.364 36.0 0.000E+00 0.000E+00 0.000E+00 0.154E-04 0.289E-04 0.000E+00 0.000E+00
230.717 37.0 0.000E+00 0.000E+00 0.000E+00 0.201E-04 0.192E-04 0.000E+00 0.000E+00
