E_lab E*/MeV 191At 192At 193At 194At 195At 196At 197At
223.852 20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.216E-10 0.232E-06 0.000E+00
225.249 21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.164E-08 0.593E-06 0.000E+00
226.647 22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.430E-07 0.146E-05 0.000E+00
228.044 23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.589E-06 0.341E-05 0.000E+00
229.441 24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.513E-05 0.719E-05 0.000E+00
230.838 25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.284E-04 0.123E-04 0.000E+00
232.235 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.929E-04 0.164E-04 0.000E+00
233.632 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.186E-03 0.177E-04 0.000E+00
235.030 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.273E-03 0.164E-04 0.000E+00
236.427 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.324E-03 0.136E-04 0.000E+00
237.824 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.333E-03 0.105E-04 0.000E+00
239.221 31.0 0.000E+00 0.000E+00 0.000E+00 0.234E-08 0.307E-03 0.753E-05 0.000E+00
240.618 32.0 0.000E+00 0.000E+00 0.000E+00 0.618E-07 0.259E-03 0.513E-05 0.000E+00
242.015 33.0 0.000E+00 0.000E+00 0.000E+00 0.607E-06 0.204E-03 0.331E-05 0.000E+00
243.413 34.0 0.000E+00 0.000E+00 0.000E+00 0.312E-05 0.151E-03 0.200E-05 0.000E+00
244.810 35.0 0.000E+00 0.000E+00 0.000E+00 0.105E-04 0.106E-03 0.109E-05 0.000E+00
246.207 36.0 0.000E+00 0.000E+00 0.000E+00 0.269E-04 0.714E-04 0.458E-06 0.000E+00
247.604 37.0 0.000E+00 0.000E+00 0.000E+00 0.561E-04 0.462E-04 0.000E+00 0.000E+00
249.001 38.0 0.000E+00 0.000E+00 0.000E+00 0.954E-04 0.289E-04 0.000E+00 0.000E+00
250.398 39.0 0.000E+00 0.000E+00 0.000E+00 0.132E-03 0.175E-04 0.000E+00 0.000E+00
251.796 40.0 0.000E+00 0.000E+00 0.000E+00 0.154E-03 0.104E-04 0.000E+00 0.000E+00
253.193 41.0 0.000E+00 0.000E+00 0.351E-09 0.158E-03 0.604E-05 0.000E+00 0.000E+00
254.590 42.0 0.000E+00 0.000E+00 0.400E-08 0.145E-03 0.346E-05 0.000E+00 0.000E+00
255.987 43.0 0.000E+00 0.000E+00 0.258E-07 0.123E-03 0.195E-05 0.000E+00 0.000E+00
257.384 44.0 0.000E+00 0.000E+00 0.111E-06 0.983E-04 0.108E-05 0.000E+00 0.000E+00
258.781 45.0 0.000E+00 0.000E+00 0.347E-06 0.747E-04 0.589E-06 0.000E+00 0.000E+00
260.179 46.0 0.000E+00 0.000E+00 0.842E-06 0.546E-04 0.297E-06 0.000E+00 0.000E+00
261.576 47.0 0.000E+00 0.000E+00 0.163E-05 0.387E-04 0.142E-06 0.000E+00 0.000E+00
262.973 48.0 0.000E+00 0.000E+00 0.257E-05 0.268E-04 0.791E-08 0.000E+00 0.000E+00
264.370 49.0 0.000E+00 0.000E+00 0.346E-05 0.181E-04 0.000E+00 0.000E+00 0.000E+00
265.767 50.0 0.000E+00 0.000E+00 0.409E-05 0.121E-04 0.000E+00 0.000E+00 0.000E+00
267.164 51.0 0.000E+00 0.000E+00 0.436E-05 0.796E-05 0.000E+00 0.000E+00 0.000E+00
268.562 52.0 0.000E+00 0.106E-11 0.430E-05 0.517E-05 0.000E+00 0.000E+00 0.000E+00
269.959 53.0 0.000E+00 0.146E-10 0.396E-05 0.333E-05 0.000E+00 0.000E+00 0.000E+00
271.356 54.0 0.000E+00 0.118E-09 0.347E-05 0.213E-05 0.000E+00 0.000E+00 0.000E+00
272.753 55.0 0.000E+00 0.638E-09 0.290E-05 0.135E-05 0.000E+00 0.000E+00 0.000E+00
274.150 56.0 0.000E+00 0.251E-08 0.235E-05 0.855E-06 0.000E+00 0.000E+00 0.000E+00
275.547 57.0 0.000E+00 0.771E-08 0.184E-05 0.538E-06 0.000E+00 0.000E+00 0.000E+00
276.945 58.0 0.000E+00 0.195E-07 0.141E-05 0.337E-06 0.000E+00 0.000E+00 0.000E+00
279.739 60.0 0.000E+00 0.764E-07 0.775E-06 0.130E-06 0.000E+00 0.000E+00 0.000E+00
279.739 60.0 0.000E+00 0.764E-07 0.775E-06 0.130E-06 0.000E+00 0.000E+00 0.000E+00
281.136 61.0 0.000E+00 0.123E-06 0.560E-06 0.798E-07 0.000E+00 0.000E+00 0.000E+00
282.533 62.0 0.000E+00 0.177E-06 0.400E-06 0.485E-07 0.000E+00 0.000E+00 0.000E+00
283.930 63.0 0.161E-12 0.230E-06 0.282E-06 0.285E-07 0.000E+00 0.000E+00 0.000E+00
285.327 64.0 0.124E-11 0.276E-06 0.197E-06 0.152E-07 0.000E+00 0.000E+00 0.000E+00
286.725 65.0 0.691E-11 0.308E-06 0.137E-06 0.579E-08 0.000E+00 0.000E+00 0.000E+00
288.122 66.0 0.296E-10 0.325E-06 0.938E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
289.519 67.0 0.101E-09 0.325E-06 0.640E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
290.916 68.0 0.280E-09 0.311E-06 0.434E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
292.313 69.0 0.651E-09 0.287E-06 0.293E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
293.710 70.0 0.130E-08 0.257E-06 0.196E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
295.108 71.0 0.226E-08 0.224E-06 0.131E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
296.505 72.0 0.351E-08 0.190E-06 0.868E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
297.902 73.0 0.496E-08 0.158E-06 0.563E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
299.299 74.0 0.647E-08 0.129E-06 0.359E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
300.696 75.0 0.788E-08 0.103E-06 0.228E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
302.093 76.0 0.905E-08 0.814E-07 0.113E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
303.491 77.0 0.987E-08 0.635E-07 0.225E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
304.888 78.0 0.103E-07 0.490E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
306.285 79.0 0.104E-07 0.373E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
307.682 80.0 0.101E-07 0.282E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00


E_lab E*/MeV 190Po 191Po 192Po 193Po 194Po 195Po 196Po
223.852 20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.518E-08 0.133E-06
225.249 21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.469E-07 0.404E-06
226.647 22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.384E-06 0.115E-05
228.044 23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.276E-05 0.303E-05
229.441 24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.162E-04 0.705E-05
230.838 25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.104E-09 0.699E-04 0.132E-04
232.235 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.284E-08 0.214E-03 0.189E-04
233.632 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.337E-07 0.495E-03 0.218E-04
235.030 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.260E-06 0.922E-03 0.216E-04
236.427 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.149E-05 0.144E-02 0.191E-04
237.824 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.653E-05 0.193E-02 0.155E-04
239.221 31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.229E-04 0.228E-02 0.117E-04
240.618 32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.660E-04 0.242E-02 0.837E-05
242.015 33.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.159E-03 0.233E-02 0.566E-05
243.413 34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.324E-03 0.208E-02 0.364E-05
244.810 35.0 0.000E+00 0.000E+00 0.000E+00 0.276E-09 0.566E-03 0.173E-02 0.224E-05
246.207 36.0 0.000E+00 0.000E+00 0.000E+00 0.398E-08 0.854E-03 0.135E-02 0.132E-05
247.604 37.0 0.000E+00 0.000E+00 0.000E+00 0.230E-07 0.113E-02 0.100E-02 0.725E-06
249.001 38.0 0.000E+00 0.000E+00 0.000E+00 0.740E-07 0.132E-02 0.710E-03 0.339E-06
250.398 39.0 0.000E+00 0.000E+00 0.000E+00 0.175E-06 0.140E-02 0.484E-03 0.586E-07
251.796 40.0 0.000E+00 0.000E+00 0.000E+00 0.403E-06 0.135E-02 0.319E-03 0.000E+00
