E_lab E*/MeV 187At 188At 189At 190At 191At 192At 193At
376.196 24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.282E-11 0.499E-12 0.000E+00
378.070 25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.160E-10 0.745E-12 0.000E+00
379.944 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.652E-08 0.109E-08 0.000E+00
381.817 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.234E-07 0.228E-08 0.000E+00
383.691 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.659E-07 0.386E-08 0.000E+00
385.565 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.162E-06 0.625E-08 0.000E+00
387.439 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.364E-06 0.962E-08 0.000E+00
389.313 31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.740E-06 0.139E-07 0.000E+00
391.186 32.0 0.000E+00 0.000E+00 0.000E+00 0.491E-11 0.129E-05 0.139E-07 0.000E+00
393.060 33.0 0.000E+00 0.000E+00 0.000E+00 0.252E-09 0.175E-05 0.000E+00 0.000E+00
394.934 34.0 0.000E+00 0.000E+00 0.000E+00 0.353E-08 0.175E-05 0.000E+00 0.000E+00
396.808 35.0 0.000E+00 0.000E+00 0.000E+00 0.226E-07 0.140E-05 0.000E+00 0.000E+00
398.681 36.0 0.000E+00 0.000E+00 0.000E+00 0.866E-07 0.969E-06 0.000E+00 0.000E+00
400.555 37.0 0.000E+00 0.000E+00 0.000E+00 0.231E-06 0.618E-06 0.000E+00 0.000E+00
402.429 38.0 0.000E+00 0.000E+00 0.000E+00 0.461E-06 0.374E-06 0.000E+00 0.000E+00
404.303 39.0 0.000E+00 0.000E+00 0.000E+00 0.718E-06 0.221E-06 0.000E+00 0.000E+00
406.177 40.0 0.000E+00 0.000E+00 0.000E+00 0.918E-06 0.128E-06 0.000E+00 0.000E+00
408.050 41.0 0.000E+00 0.000E+00 0.000E+00 0.101E-05 0.736E-07 0.000E+00 0.000E+00
409.924 42.0 0.000E+00 0.000E+00 0.000E+00 0.996E-06 0.415E-07 0.000E+00 0.000E+00
411.798 43.0 0.000E+00 0.000E+00 0.108E-11 0.900E-06 0.229E-07 0.000E+00 0.000E+00
413.672 44.0 0.000E+00 0.000E+00 0.131E-10 0.761E-06 0.120E-07 0.000E+00 0.000E+00
415.546 45.0 0.000E+00 0.000E+00 0.899E-10 0.610E-06 0.211E-08 0.000E+00 0.000E+00
417.419 46.0 0.000E+00 0.000E+00 0.398E-09 0.469E-06 0.000E+00 0.000E+00 0.000E+00
419.293 47.0 0.000E+00 0.000E+00 0.124E-08 0.349E-06 0.000E+00 0.000E+00 0.000E+00
421.167 48.0 0.000E+00 0.000E+00 0.287E-08 0.253E-06 0.000E+00 0.000E+00 0.000E+00
423.041 49.0 0.000E+00 0.000E+00 0.522E-08 0.179E-06 0.000E+00 0.000E+00 0.000E+00
424.914 50.0 0.000E+00 0.000E+00 0.785E-08 0.124E-06 0.000E+00 0.000E+00 0.000E+00
426.788 51.0 0.000E+00 0.000E+00 0.102E-07 0.846E-07 0.000E+00 0.000E+00 0.000E+00
428.662 52.0 0.000E+00 0.000E+00 0.119E-07 0.571E-07 0.000E+00 0.000E+00 0.000E+00
430.536 53.0 0.000E+00 0.000E+00 0.126E-07 0.380E-07 0.000E+00 0.000E+00 0.000E+00
432.410 54.0 0.000E+00 0.000E+00 0.124E-07 0.251E-07 0.000E+00 0.000E+00 0.000E+00
434.283 55.0 0.000E+00 0.743E-14 0.116E-07 0.164E-07 0.000E+00 0.000E+00 0.000E+00
436.157 56.0 0.000E+00 0.790E-13 0.103E-07 0.107E-07 0.000E+00 0.000E+00 0.000E+00
438.031 57.0 0.000E+00 0.553E-12 0.881E-08 0.692E-08 0.000E+00 0.000E+00 0.000E+00
439.905 58.0 0.000E+00 0.275E-11 0.728E-08 0.446E-08 0.000E+00 0.000E+00 0.000E+00
441.779 59.0 0.000E+00 0.103E-10 0.585E-08 0.285E-08 0.000E+00 0.000E+00 0.000E+00
443.652 60.0 0.000E+00 0.301E-10 0.459E-08 0.178E-08 0.000E+00 0.000E+00 0.000E+00
445.526 61.0 0.000E+00 0.715E-10 0.353E-08 0.111E-08 0.000E+00 0.000E+00 0.000E+00
447.400 62.0 0.000E+00 0.142E-09 0.266E-08 0.606E-09 0.000E+00 0.000E+00 0.000E+00
449.274 63.0 0.000E+00 0.242E-09 0.198E-08 0.262E-09 0.000E+00 0.000E+00 0.000E+00
451.147 64.0 0.000E+00 0.365E-09 0.145E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
453.021 65.0 0.000E+00 0.496E-09 0.106E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
454.895 66.0 0.000E+00 0.619E-09 0.758E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
456.769 67.0 0.660E-15 0.718E-09 0.540E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
458.643 68.0 0.441E-14 0.785E-09 0.381E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
460.516 69.0 0.216E-13 0.815E-09 0.267E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
462.390 70.0 0.814E-13 0.810E-09 0.186E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
464.264 71.0 0.244E-12 0.775E-09 0.127E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
466.138 72.0 0.603E-12 0.718E-09 0.861E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
468.012 73.0 0.126E-11 0.647E-09 0.562E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
469.885 74.0 0.231E-11 0.568E-09 0.338E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
471.759 75.0 0.376E-11 0.488E-09 0.121E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
473.633 76.0 0.556E-11 0.411E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
475.507 77.0 0.757E-11 0.341E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
477.380 78.0 0.962E-11 0.278E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
479.254 79.0 0.115E-10 0.224E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
481.128 80.0 0.131E-10 0.178E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
483.002 81.0 0.142E-10 0.140E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
484.876 82.0 0.149E-10 0.109E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
486.749 83.0 0.150E-10 0.840E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
488.623 84.0 0.000E+00 0.643E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.164E+01
490.497 85.0 0.000E+00 0.489E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.161E+01
492.371 86.0 0.000E+00 0.368E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.157E+01
494.245 87.0 0.000E+00 0.276E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.154E+01
496.118 88.0 0.000E+00 0.206E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.151E+01
497.992 89.0 0.000E+00 0.152E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.148E+01
499.866 90.0 0.000E+00 0.111E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.145E+01


E_lab E*/MeV 186Po 187Po 188Po 189Po 190Po 191Po 192Po
376.196 24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.424E-10 0.114E-12
