E_lab E*/MeV 187At 188At 189At 190At 191At 192At 193At
388.733 25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.205E-10 0.199E-11 0.000E+00
390.663 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.622E-08 0.490E-09 0.000E+00
392.593 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.430E-07 0.362E-08 0.000E+00
394.523 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.130E-06 0.689E-08 0.000E+00
396.453 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.331E-06 0.114E-07 0.000E+00
398.383 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.766E-06 0.185E-07 0.000E+00
400.313 31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.164E-05 0.289E-07 0.000E+00
402.243 32.0 0.000E+00 0.000E+00 0.000E+00 0.128E-10 0.317E-05 0.420E-07 0.000E+00
404.173 33.0 0.000E+00 0.000E+00 0.000E+00 0.809E-09 0.516E-05 0.480E-07 0.000E+00
406.103 34.0 0.000E+00 0.000E+00 0.000E+00 0.139E-07 0.634E-05 0.108E-07 0.000E+00
408.033 35.0 0.000E+00 0.000E+00 0.000E+00 0.976E-07 0.583E-05 0.000E+00 0.000E+00
409.963 36.0 0.000E+00 0.000E+00 0.000E+00 0.387E-06 0.433E-05 0.000E+00 0.000E+00
411.893 37.0 0.000E+00 0.000E+00 0.000E+00 0.107E-05 0.284E-05 0.000E+00 0.000E+00
413.823 38.0 0.000E+00 0.000E+00 0.000E+00 0.231E-05 0.173E-05 0.000E+00 0.000E+00
415.753 39.0 0.000E+00 0.000E+00 0.000E+00 0.397E-05 0.102E-05 0.000E+00 0.000E+00
417.683 40.0 0.000E+00 0.000E+00 0.000E+00 0.547E-05 0.587E-06 0.000E+00 0.000E+00
419.613 41.0 0.000E+00 0.000E+00 0.000E+00 0.634E-05 0.334E-06 0.000E+00 0.000E+00
421.543 42.0 0.000E+00 0.000E+00 0.000E+00 0.645E-05 0.187E-06 0.000E+00 0.000E+00
423.473 43.0 0.000E+00 0.000E+00 0.755E-11 0.594E-05 0.105E-06 0.000E+00 0.000E+00
425.403 44.0 0.000E+00 0.000E+00 0.887E-10 0.508E-05 0.577E-07 0.000E+00 0.000E+00
427.333 45.0 0.000E+00 0.000E+00 0.594E-09 0.410E-05 0.267E-07 0.000E+00 0.000E+00
429.263 46.0 0.000E+00 0.000E+00 0.262E-08 0.316E-05 0.636E-08 0.000E+00 0.000E+00
431.193 47.0 0.000E+00 0.000E+00 0.834E-08 0.236E-05 0.000E+00 0.000E+00 0.000E+00
433.123 48.0 0.000E+00 0.000E+00 0.203E-07 0.170E-05 0.000E+00 0.000E+00 0.000E+00
435.053 49.0 0.000E+00 0.000E+00 0.392E-07 0.120E-05 0.000E+00 0.000E+00 0.000E+00
436.983 50.0 0.000E+00 0.000E+00 0.623E-07 0.833E-06 0.000E+00 0.000E+00 0.000E+00
438.913 51.0 0.000E+00 0.000E+00 0.845E-07 0.568E-06 0.000E+00 0.000E+00 0.000E+00
440.843 52.0 0.000E+00 0.000E+00 0.101E-06 0.382E-06 0.000E+00 0.000E+00 0.000E+00
442.773 53.0 0.000E+00 0.000E+00 0.110E-06 0.254E-06 0.000E+00 0.000E+00 0.000E+00
444.703 54.0 0.000E+00 0.000E+00 0.111E-06 0.167E-06 0.000E+00 0.000E+00 0.000E+00
446.633 55.0 0.000E+00 0.607E-13 0.105E-06 0.109E-06 0.000E+00 0.000E+00 0.000E+00
448.563 56.0 0.000E+00 0.623E-12 0.937E-07 0.707E-07 0.000E+00 0.000E+00 0.000E+00
450.493 57.0 0.000E+00 0.422E-11 0.805E-07 0.456E-07 0.000E+00 0.000E+00 0.000E+00
452.423 58.0 0.000E+00 0.206E-10 0.668E-07 0.293E-07 0.000E+00 0.000E+00 0.000E+00
454.353 59.0 0.000E+00 0.763E-10 0.538E-07 0.187E-07 0.000E+00 0.000E+00 0.000E+00
456.283 60.0 0.000E+00 0.227E-09 0.422E-07 0.118E-07 0.000E+00 0.000E+00 0.000E+00
458.213 61.0 0.000E+00 0.556E-09 0.324E-07 0.743E-08 0.000E+00 0.000E+00 0.000E+00
460.143 62.0 0.000E+00 0.115E-08 0.245E-07 0.458E-08 0.000E+00 0.000E+00 0.000E+00
462.073 63.0 0.000E+00 0.205E-08 0.182E-07 0.268E-08 0.000E+00 0.000E+00 0.000E+00
464.003 64.0 0.000E+00 0.322E-08 0.133E-07 0.137E-08 0.000E+00 0.000E+00 0.000E+00
465.933 65.0 0.000E+00 0.453E-08 0.964E-08 0.261E-09 0.000E+00 0.000E+00 0.000E+00
467.863 66.0 0.000E+00 0.580E-08 0.690E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
469.793 67.0 0.634E-14 0.689E-08 0.490E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
471.723 68.0 0.421E-13 0.766E-08 0.345E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
473.653 69.0 0.208E-12 0.806E-08 0.241E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
