E_lab E*/MeV 180Pb 181Pb 182Pb 183Pb 184Pb 185Pb 186Pb
357.767 20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.330E-03 0.234E-06
359.767 21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.276E-07 0.675E-03 0.258E-06
361.767 22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.859E-06 0.105E-02 0.208E-06
363.767 23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.859E-05 0.131E-02 0.145E-07
365.767 24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.437E-04 0.140E-02 0.000E+00
367.767 25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.151E-03 0.132E-02 0.000E+00
369.767 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.415E-03 0.113E-02 0.000E+00
371.767 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.950E-03 0.895E-03 0.000E+00
373.767 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.177E-02 0.665E-03 0.000E+00
375.767 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.258E-02 0.466E-03 0.000E+00
377.767 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.309E-02 0.311E-03 0.000E+00
379.767 31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.318E-02 0.199E-03 0.000E+00
381.767 32.0 0.000E+00 0.000E+00 0.000E+00 0.301E-08 0.291E-02 0.122E-03 0.000E+00
383.767 33.0 0.000E+00 0.000E+00 0.000E+00 0.733E-07 0.243E-02 0.729E-04 0.000E+00
385.767 34.0 0.000E+00 0.000E+00 0.000E+00 0.687E-06 0.189E-02 0.422E-04 0.000E+00
387.767 35.0 0.000E+00 0.000E+00 0.000E+00 0.349E-05 0.139E-02 0.238E-04 0.000E+00
389.767 36.0 0.000E+00 0.000E+00 0.000E+00 0.116E-04 0.970E-03 0.131E-04 0.000E+00
391.767 37.0 0.000E+00 0.000E+00 0.000E+00 0.289E-04 0.651E-03 0.709E-05 0.000E+00
393.767 38.0 0.000E+00 0.000E+00 0.000E+00 0.597E-04 0.423E-03 0.364E-05 0.000E+00
395.767 39.0 0.000E+00 0.000E+00 0.000E+00 0.108E-03 0.266E-03 0.176E-05 0.000E+00
