E_lab E*/MeV 182Bi 183Bi 184Bi 185Bi 186Bi 187Bi 188Bi
389.189 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.561E-09 0.663E-11 0.000E+00
391.210 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.222E-08 0.993E-11 0.000E+00
393.232 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.109E-05 0.319E-07 0.000E+00
395.253 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.512E-05 0.919E-07 0.000E+00
397.275 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.174E-04 0.162E-06 0.000E+00
399.296 31.0 0.000E+00 0.000E+00 0.000E+00 0.255E-09 0.513E-04 0.270E-06 0.000E+00
401.318 32.0 0.000E+00 0.000E+00 0.000E+00 0.153E-07 0.136E-03 0.440E-06 0.000E+00
403.340 33.0 0.000E+00 0.000E+00 0.000E+00 0.358E-06 0.325E-03 0.702E-06 0.000E+00
405.361 34.0 0.000E+00 0.000E+00 0.000E+00 0.410E-05 0.677E-03 0.102E-05 0.000E+00
407.383 35.0 0.000E+00 0.000E+00 0.000E+00 0.247E-04 0.111E-02 0.122E-05 0.000E+00
409.404 36.0 0.000E+00 0.000E+00 0.000E+00 0.846E-04 0.133E-02 0.989E-06 0.000E+00
411.426 37.0 0.000E+00 0.000E+00 0.000E+00 0.191E-03 0.119E-02 0.149E-06 0.000E+00
413.447 38.0 0.000E+00 0.000E+00 0.000E+00 0.328E-03 0.893E-03 0.000E+00 0.000E+00
415.469 39.0 0.000E+00 0.000E+00 0.000E+00 0.462E-03 0.599E-03 0.000E+00 0.000E+00
417.490 40.0 0.000E+00 0.000E+00 0.000E+00 0.551E-03 0.379E-03 0.000E+00 0.000E+00
419.512 41.0 0.000E+00 0.000E+00 0.000E+00 0.577E-03 0.231E-03 0.000E+00 0.000E+00
421.533 42.0 0.000E+00 0.000E+00 0.000E+00 0.545E-03 0.138E-03 0.000E+00 0.000E+00
423.555 43.0 0.000E+00 0.000E+00 0.467E-09 0.477E-03 0.817E-04 0.000E+00 0.000E+00
425.576 44.0 0.000E+00 0.000E+00 0.551E-08 0.391E-03 0.479E-04 0.000E+00 0.000E+00
427.598 45.0 0.000E+00 0.000E+00 0.368E-07 0.306E-03 0.279E-04 0.000E+00 0.000E+00
429.619 46.0 0.000E+00 0.000E+00 0.161E-06 0.230E-03 0.161E-04 0.000E+00 0.000E+00
431.641 47.0 0.000E+00 0.000E+00 0.504E-06 0.168E-03 0.932E-05 0.000E+00 0.000E+00
433.662 48.0 0.000E+00 0.000E+00 0.124E-05 0.119E-03 0.537E-05 0.000E+00 0.000E+00
435.684 49.0 0.000E+00 0.000E+00 0.254E-05 0.831E-04 0.308E-05 0.000E+00 0.000E+00
437.705 50.0 0.000E+00 0.000E+00 0.452E-05 0.568E-04 0.177E-05 0.000E+00 0.000E+00
439.727 51.0 0.000E+00 0.000E+00 0.714E-05 0.382E-04 0.995E-06 0.000E+00 0.000E+00
441.748 52.0 0.000E+00 0.000E+00 0.101E-04 0.254E-04 0.562E-06 0.000E+00 0.000E+00
443.770 53.0 0.000E+00 0.000E+00 0.131E-04 0.167E-04 0.303E-06 0.000E+00 0.000E+00
445.791 54.0 0.000E+00 0.162E-10 0.154E-04 0.109E-04 0.152E-06 0.000E+00 0.000E+00
447.813 55.0 0.000E+00 0.139E-09 0.169E-04 0.703E-05 0.629E-07 0.000E+00 0.000E+00
449.834 56.0 0.000E+00 0.798E-09 0.173E-04 0.452E-05 0.000E+00 0.000E+00 0.000E+00
451.856 57.0 0.000E+00 0.333E-08 0.167E-04 0.288E-05 0.000E+00 0.000E+00 0.000E+00
453.877 58.0 0.000E+00 0.107E-07 0.154E-04 0.183E-05 0.000E+00 0.000E+00 0.000E+00
455.899 59.0 0.000E+00 0.282E-07 0.136E-04 0.116E-05 0.000E+00 0.000E+00 0.000E+00
457.920 60.0 0.000E+00 0.626E-07 0.116E-04 0.733E-06 0.000E+00 0.000E+00 0.000E+00
459.942 61.0 0.000E+00 0.121E-06 0.961E-05 0.461E-06 0.000E+00 0.000E+00 0.000E+00
461.963 62.0 0.000E+00 0.206E-06 0.776E-05 0.289E-06 0.000E+00 0.000E+00 0.000E+00
463.985 63.0 0.000E+00 0.314E-06 0.613E-05 0.179E-06 0.000E+00 0.000E+00 0.000E+00
466.006 64.0 0.000E+00 0.434E-06 0.475E-05 0.111E-06 0.000E+00 0.000E+00 0.000E+00
468.028 65.0 0.000E+00 0.552E-06 0.361E-05 0.674E-07 0.000E+00 0.000E+00 0.000E+00
470.049 66.0 0.000E+00 0.651E-06 0.271E-05 0.402E-07 0.000E+00 0.000E+00 0.000E+00
472.071 67.0 0.501E-12 0.721E-06 0.201E-05 0.219E-07 0.000E+00 0.000E+00 0.000E+00
474.092 68.0 0.331E-11 0.756E-06 0.147E-05 0.116E-07 0.000E+00 0.000E+00 0.000E+00
476.114 69.0 0.159E-10 0.757E-06 0.107E-05 0.245E-08 0.000E+00 0.000E+00 0.000E+00
478.135 70.0 0.585E-10 0.727E-06 0.766E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
480.157 71.0 0.174E-09 0.675E-06 0.546E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
482.178 72.0 0.434E-09 0.608E-06 0.387E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
484.200 73.0 0.939E-09 0.533E-06 0.272E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
486.221 74.0 0.180E-08 0.456E-06 0.191E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
488.243 75.0 0.311E-08 0.383E-06 0.133E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
490.264 76.0 0.492E-08 0.315E-06 0.919E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
492.286 77.0 0.719E-08 0.255E-06 0.634E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
494.307 78.0 0.980E-08 0.204E-06 0.435E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
496.329 79.0 0.126E-07 0.161E-06 0.297E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
498.350 80.0 0.152E-07 0.125E-06 0.202E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
500.372 81.0 0.176E-07 0.967E-07 0.137E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
502.393 82.0 0.195E-07 0.740E-07 0.921E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
504.415 83.0 0.208E-07 0.561E-07 0.613E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
506.436 84.0 0.214E-07 0.422E-07 0.400E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
508.458 85.0 0.214E-07 0.315E-07 0.257E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
510.479 86.0 0.208E-07 0.234E-07 0.152E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
512.501 87.0 0.197E-07 0.173E-07 0.834E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
514.522 88.0 0.183E-07 0.127E-07 0.249E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
516.544 89.0 0.166E-07 0.928E-08 0.122E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
518.565 90.0 0.149E-07 0.675E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00


E_lab E*/MeV 181Pb 182Pb 183Pb 184Pb 185Pb 186Pb 187Pb
389.189 26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.566E-10 0.215E-07 0.141E-09
391.210 27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.719E-09 0.592E-07 0.227E-09
393.232 28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.118E-06 0.274E-04 0.105E-05
395.253 29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.916E-06 0.100E-03 0.332E-05
397.275 30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.499E-05 0.277E-03 0.652E-05
399.296 31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.237E-04 0.715E-03 0.120E-04
401.318 32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.108E-03 0.175E-02 0.218E-04
403.340 33.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.469E-03 0.403E-02 0.382E-04
405.361 34.0 0.000E+00 0.000E+00 0.000E+00 0.125E-08 0.181E-02 0.821E-02 0.619E-04
407.383 35.0 0.000E+00 0.000E+00 0.000E+00 0.492E-07 0.539E-02 0.133E-01 0.843E-04
409.404 36.0 0.000E+00 0.000E+00 0.000E+00 0.591E-06 0.112E-01 0.158E-01 0.873E-04
411.426 37.0 0.000E+00 0.000E+00 0.000E+00 0.326E-05 0.174E-01 0.140E-01 0.686E-04
413.447 38.0 0.000E+00 0.000E+00 0.000E+00 0.107E-04 0.223E-01 0.103E-01 0.441E-04
415.469 39.0 0.000E+00 0.000E+00 0.000E+00 0.255E-04 0.255E-01 0.679E-02 0.251E-04
417.490 40.0 0.000E+00 0.000E+00 0.000E+00 0.510E-04 0.271E-01 0.425E-02 0.133E-04
419.512 41.0 0.000E+00 0.000E+00 0.000E+00 0.953E-04 0.271E-01 0.259E-02 0.673E-05
421.533 42.0 0.000E+00 0.000E+00 0.000E+00 0.173E-03 0.257E-01 0.155E-02 0.325E-05
423.555 43.0 0.000E+00 0.000E+00 0.000E+00 0.302E-03 0.231E-01 0.924E-03 0.141E-05
425.576 44.0 0.000E+00 0.000E+00 0.000E+00 0.505E-03 0.200E-01 0.545E-03 0.299E-06
427.598 45.0 0.000E+00 0.000E+00 0.000E+00 0.797E-03 0.166E-01 0.320E-03 0.000E+00
429.619 46.0 0.000E+00 0.000E+00 0.000E+00 0.118E-02 0.133E-01 0.187E-03 0.000E+00
431.641 47.0 0.000E+00 0.000E+00 0.412E-08 0.164E-02 0.104E-01 0.109E-03 0.000E+00
433.662 48.0 0.000E+00 0.000E+00 0.264E-07 0.213E-02 0.789E-02 0.628E-04 0.000E+00
435.684 49.0 0.000E+00 0.000E+00 0.119E-06 0.260E-02 0.586E-02 0.361E-04 0.000E+00
437.705 50.0 0.000E+00 0.000E+00 0.404E-06 0.297E-02 0.426E-02 0.207E-04 0.000E+00
439.727 51.0 0.000E+00 0.000E+00 0.108E-05 0.321E-02 0.305E-02 0.117E-04 0.000E+00
441.748 52.0 0.000E+00 0.000E+00 0.238E-05 0.329E-02 0.215E-02 0.662E-05 0.000E+00
443.770 53.0 0.000E+00 0.000E+00 0.453E-05 0.321E-02 0.149E-02 0.366E-05 0.000E+00
445.791 54.0 0.000E+00 0.000E+00 0.775E-05 0.301E-02 0.103E-02 0.197E-05 0.000E+00
447.813 55.0 0.000E+00 0.000E+00 0.124E-04 0.271E-02 0.697E-03 0.103E-05 0.000E+00
449.834 56.0 0.000E+00 0.000E+00 0.191E-04 0.235E-02 0.469E-03 0.471E-06 0.000E+00
451.856 57.0 0.000E+00 0.000E+00 0.287E-04 0.199E-02 0.313E-03 0.000E+00 0.000E+00
