          Programm HIVAP,  Autor  W.Reisdorf   Version fuer "rzri6f" vom  7. 6. 1994

           Bearbeitung F.P.Heßberger
           
   90Zr + 100Mo ---> 190Pb    16.2.2021 (A. Sitarcik)                   
           

 Unterprogramm SEPENF

 benutzt Sierks Programm BARFIT 
 Q-Wert  -153.704 MeV
 Massen aus der Datei "mlz.dat" 

         Exp. Schaleneffekte,  SHELL0=    0.00
          Pb  185   Pb  186   Pb  187   Pb  188   Pb  189   Pb  190
             -1.81     -1.05     -1.94     -1.26     -2.22     -1.62
          Tl  184   Tl  185   Tl  186   Tl  187   Tl  188   Tl  189
             -0.17     -0.74     -0.37     -0.99     -0.75     -1.46
          Hg  183   Hg  184   Hg  185   Hg  186   Hg  187   Hg  188
             -0.80     -0.85     -0.99     -1.13     -1.38     -1.63

           BARFAC=   0.650      BAR0=   0.000

          Separationsenergien (BN,BP,BA) und Spaltbarrieren
          Pb  185   Pb  186   Pb  187   Pb  188   Pb  189   Pb  190
              9.22     10.68      8.92     10.38      8.62     10.08
              2.46      2.71      2.97      3.22      3.47      3.72
             -5.39     -5.19     -4.97     -4.76     -4.54     -4.33
              7.36      6.78      7.85      7.35      8.48      8.05
             -0.81      0.00     -0.80      0.00     -0.80      0.00
          Tl  184   Tl  185   Tl  186   Tl  187   Tl  188   Tl  189
              8.36     10.96      8.20     10.63      7.96     10.34
              0.36      0.70      1.00      1.19      1.51      1.68
             -6.33     -5.11     -5.49     -4.98     -5.28     -4.73
              6.55      7.31      7.12      7.92      7.85      8.73
             -1.62     -0.81     -1.61     -0.80     -1.60     -0.80
          Hg  183   Hg  184   Hg  185   Hg  186   Hg  187   Hg  188
              8.30     10.62      7.90     10.43      7.65     10.16
              3.29      3.79      3.43      4.07      3.79      4.48
             -5.78     -5.35     -5.46     -5.02     -5.09     -4.57
              8.05      8.29      8.62      8.94      9.36      9.78
             -1.25      0.00     -1.36      0.00     -1.35      0.00

 benutzter Q-Wert  -153.704 MeV    effektiver Q-Wert  -153.704 MeV

Extra-Push Parameter: E_push =    1.36 MeV   x_eq_m= 0.719   xth= 0.700   Apush=15.000   E_ch=  16.754   xcn= 0.720   x_eq_eff= 0.718

 HIVAP  CASOUT

   90Zr + 100Mo ---> 190Pb    16.2.2021 (A. Sitarcik)                   


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   330.038    3.67    20.0  0.9202E-01  0.1395E-01  0.7807E-01     0.0       84.84
   333.838    3.71    22.0  0.3131E+00  0.3905E-01  0.2741E+00     0.0       87.53
   337.638    3.75    24.0  0.8451E+00  0.7417E-01  0.7708E+00     0.0       91.21
   341.438    3.79    26.0  0.1925E+01  0.1201E+00  0.1804E+01     0.0       93.74
   345.238    3.84    28.0  0.3892E+01  0.2009E+00  0.3690E+01     0.0       94.82
   349.038    3.88    30.0  0.7155E+01  0.3257E+00  0.6829E+01     0.0       95.43
   352.838    3.92    32.0  0.1214E+02  0.4391E+00  0.1170E+02    16.0       96.37
   356.638    3.96    34.0  0.1921E+02  0.4891E+00  0.1872E+02    24.0       97.44
   360.438    4.00    36.0  0.2859E+02  0.4948E+00  0.2809E+02    30.0       98.26
   364.238    4.05    38.0  0.4028E+02  0.5010E+00  0.3978E+02    35.0       98.74
   368.038    4.09    40.0  0.5407E+02  0.5390E+00  0.5352E+02    39.0       98.98
   371.838    4.13    42.0  0.6948E+02  0.6037E+00  0.6886E+02    42.0       99.11
   375.638    4.17    44.0  0.8588E+02  0.6532E+00  0.8521E+02    45.0       99.21
   379.438    4.22    46.0  0.1027E+03  0.6527E+00  0.1020E+03    48.0       99.33
   383.238    4.26    48.0  0.1194E+03  0.6067E+00  0.1188E+03    50.0       99.45
   387.038    4.30    50.0  0.1356E+03  0.5440E+00  0.1350E+03    52.0       99.55

     Querschnitte / mbarn

  E*/MeV   185Pb     186Pb     187Pb     188Pb     189Pb     190Pb  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.935E-05 0.126E-01 0.277E-03
    22.0 0.000E+00 0.000E+00 0.000E+00 0.125E-02 0.335E-01 0.200E-03
    24.0 0.000E+00 0.000E+00 0.000E+00 0.115E-01 0.513E-01 0.104E-03
    26.0 0.000E+00 0.000E+00 0.000E+00 0.444E-01 0.507E-01 0.422E-04
    28.0 0.000E+00 0.000E+00 0.000E+00 0.115E+00 0.375E-01 0.139E-04
    30.0 0.000E+00 0.000E+00 0.139E-05 0.215E+00 0.225E-01 0.327E-05
    32.0 0.000E+00 0.000E+00 0.240E-03 0.277E+00 0.114E-01 0.000E+00
    34.0 0.000E+00 0.000E+00 0.340E-02 0.255E+00 0.501E-02 0.000E+00
    36.0 0.000E+00 0.000E+00 0.145E-01 0.181E+00 0.198E-02 0.000E+00
    38.0 0.000E+00 0.000E+00 0.365E-01 0.106E+00 0.715E-03 0.000E+00
    40.0 0.000E+00 0.687E-06 0.685E-01 0.541E-01 0.240E-03 0.000E+00
    42.0 0.000E+00 0.544E-04 0.100E+00 0.245E-01 0.757E-04 0.000E+00
    44.0 0.000E+00 0.741E-03 0.112E+00 0.101E-01 0.225E-04 0.000E+00
    46.0 0.000E+00 0.349E-02 0.981E-01 0.388E-02 0.598E-05 0.000E+00
    48.0 0.000E+00 0.933E-02 0.699E-01 0.141E-02 0.000E+00 0.000E+00
    50.0 0.000E+00 0.175E-01 0.427E-01 0.493E-03 0.000E+00 0.000E+00

  E*/MeV   184Tl     185Tl     186Tl     187Tl     188Tl     189Tl  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.222E-05 0.107E-02
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.139E-03 0.381E-02
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.153E-02 0.926E-02
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.785E-02 0.154E-01
    28.0 0.000E+00 0.000E+00 0.000E+00 0.105E-05 0.257E-01 0.185E-01
    30.0 0.000E+00 0.000E+00 0.000E+00 0.769E-04 0.621E-01 0.169E-01
    32.0 0.000E+00 0.000E+00 0.000E+00 0.132E-02 0.118E+00 0.125E-01
    34.0 0.000E+00 0.000E+00 0.000E+00 0.911E-02 0.176E+00 0.770E-02
    36.0 0.000E+00 0.000E+00 0.000E+00 0.347E-01 0.204E+00 0.409E-02
    38.0 0.000E+00 0.000E+00 0.132E-06 0.873E-01 0.185E+00 0.192E-02
    40.0 0.000E+00 0.000E+00 0.939E-05 0.165E+00 0.137E+00 0.809E-03
    42.0 0.000E+00 0.000E+00 0.178E-03 0.251E+00 0.852E-01 0.312E-03
    44.0 0.000E+00 0.000E+00 0.139E-02 0.314E+00 0.464E-01 0.112E-03
    46.0 0.000E+00 0.000E+00 0.618E-02 0.325E+00 0.227E-01 0.374E-04
    48.0 0.000E+00 0.315E-07 0.182E-01 0.282E+00 0.101E-01 0.117E-04
    50.0 0.000E+00 0.128E-05 0.391E-01 0.210E+00 0.423E-02 0.339E-05

  E*/MeV   183Hg     184Hg     185Hg     186Hg     187Hg     188Hg  
    20.0 0.000E+00 0.000E+00 0.460E-08 0.169E-04 0.000E+00 0.134E-05
    22.0 0.000E+00 0.000E+00 0.658E-06 0.911E-04 0.000E+00 0.205E-04
    24.0 0.000E+00 0.000E+00 0.114E-04 0.355E-03 0.000E+00 0.142E-03
    26.0 0.000E+00 0.000E+00 0.997E-04 0.102E-02 0.370E-07 0.567E-03
    28.0 0.000E+00 0.000E+00 0.598E-03 0.219E-02 0.234E-05 0.159E-02
    30.0 0.000E+00 0.112E-06 0.246E-02 0.344E-02 0.475E-04 0.355E-02
    32.0 0.000E+00 0.483E-05 0.711E-02 0.405E-02 0.435E-03 0.672E-02
    34.0 0.000E+00 0.670E-04 0.158E-01 0.373E-02 0.226E-02 0.110E-01
