          Programm HIVAP,  Autor  W.Reisdorf   Version fuer "rzri6f" vom  7. 6. 1994

           Bearbeitung F.P.Heßberger
           
   52Cr + 147Sm ---> 199Rn  26.1.2020                                   
           

 Unterprogramm SEPENF

 benutzt Sierks Programm BARFIT 
 Q-Wert  -133.429 MeV
 Massen aus der Datei "mlz.dat" 

         Exp. Schaleneffekte,  SHELL0=    0.00
          Rn  193   Rn  194   Rn  195   Rn  196   Rn  197   Rn  198   Rn  199
             -0.15      0.68     -0.08      0.69     -0.26      0.17     -1.00
          At  192   At  193   At  194   At  195   At  196   At  197   At  198
             -0.87     -0.14     -1.13     -0.62     -1.72     -1.28     -2.45
          Po  191   Po  192   Po  193   Po  194   Po  195   Po  196   Po  197
             -0.63     -0.03     -1.07     -0.55     -1.65     -1.22     -2.38
          Bi  190   Bi  191   Bi  192   Bi  193   Bi  194   Bi  195   Bi  196
             -2.20     -1.60     -2.63     -2.11     -3.21     -2.77     -3.93

           BARFAC=   0.690      BAR0=   0.000

          Separationsenergien (BN,BP,BA) und Spaltbarrieren
          Rn  193   Rn  194   Rn  195   Rn  196   Rn  197   Rn  198   Rn  199
              9.44     10.84      9.09     10.52      8.92     10.49      8.78
              0.94      1.07      1.09      1.08      1.18      1.42      1.67
             -8.15     -8.21     -8.26     -8.32     -8.25     -8.05     -7.83
              3.71      3.02      3.93      3.31      4.41      4.12      5.43
             -0.79      0.00     -0.79      0.00     -0.78      0.00     -0.78
          At  192   At  193   At  194   At  195   At  196   At  197   At  198
              9.25     10.70      9.07     10.54      8.82     10.25      8.54
             -0.82     -0.71     -0.49     -0.23      0.02      0.27      0.52
             -8.59     -8.53     -8.34     -8.14     -7.92     -7.71     -7.48
              5.11      4.54      5.70      5.34      6.59      6.31      7.62
             -1.59     -0.79     -1.58     -0.79     -1.57     -0.78     -1.56
          Po  191   Po  192   Po  193   Po  194   Po  195   Po  196   Po  197
              9.14     10.58      8.85     10.29      8.56     10.00      8.29
              1.01      1.26      1.51      1.76      2.01      2.26      2.51
             -8.47     -8.26     -8.03     -7.82     -7.59     -7.38     -7.15
              5.62      5.19      6.39      6.04      7.30      7.02      8.33
             -0.80      0.00     -0.79      0.00     -0.79      0.00     -0.78
          Bi  190   Bi  191   Bi  192   Bi  193   Bi  194   Bi  195   Bi  196
              8.88     10.33      8.59     10.04      8.31      9.75      8.04
             -0.17      0.09      0.35      0.60      0.86      1.11      1.36
             -6.50     -6.30     -6.07     -5.86     -5.63     -5.42     -5.19
              7.99      7.57      8.77      8.41      9.68      9.39     10.71
             -1.60     -0.80     -1.59     -0.79     -1.58     -0.79     -1.57

 benutzter Q-Wert  -133.429 MeV    effektiver Q-Wert  -133.429 MeV

Extra-Push Parameter: E_push =    0.02 MeV   x_eq_m= 0.703   xth= 0.700   Apush=15.000   E_ch=  14.794   xcn= 0.755   x_eq_eff= 0.654

 HIVAP  CASOUT

   52Cr + 147Sm ---> 199Rn  26.1.2020                                   


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   207.704    3.99    20.0  0.1091E-01  0.2989E-04  0.1088E-01     0.0       99.73
   210.411    4.05    22.0  0.9159E-01  0.1682E-03  0.9143E-01     0.0       99.82
   213.119    4.10    24.0  0.4233E+00  0.5439E-03  0.4227E+00     0.0       99.87
   215.826    4.15    26.0  0.1393E+01  0.1553E-02  0.1392E+01     0.0       99.89
   218.534    4.20    28.0  0.3694E+01  0.3733E-02  0.3690E+01     0.0       99.90
   221.241    4.25    30.0  0.8268E+01  0.6593E-02  0.8261E+01     9.0       99.92
   223.949    4.31    32.0  0.1609E+02  0.8874E-02  0.1608E+02    22.0       99.94
   226.656    4.36    34.0  0.2793E+02  0.1022E-01  0.2792E+02    29.0       99.96
   229.364    4.41    36.0  0.4397E+02  0.1161E-01  0.4396E+02    34.0       99.97
   232.071    4.46    38.0  0.6369E+02  0.1406E-01  0.6368E+02    38.0       99.98
   234.779    4.51    40.0  0.8603E+02  0.1719E-01  0.8601E+02    41.0       99.98
   237.486    4.57    42.0  0.1096E+03  0.1939E-01  0.1096E+03    44.0       99.98
   240.194    4.62    44.0  0.1333E+03  0.1956E-01  0.1333E+03    46.0       99.98
   242.901    4.67    46.0  0.1561E+03  0.1805E-01  0.1561E+03    49.0       99.99
   245.608    4.72    48.0  0.1776E+03  0.1597E-01  0.1776E+03    51.0       99.99
   248.316    4.78    50.0  0.1976E+03  0.1416E-01  0.1975E+03    53.0       99.99

     Querschnitte / mbarn

  E*/MeV   193Rn     194Rn     195Rn     196Rn     197Rn     198Rn     199Rn  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.107E-09 0.643E-06 0.940E-09
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.130E-06 0.116E-05 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.582E-05 0.106E-05 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.533E-04 0.672E-06 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.118E-03 0.334E-06 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.663E-09 0.126E-03 0.864E-07 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.191E-06 0.930E-04 0.000E+00 0.000E+00
