          Programm HIVAP,  Autor  W.Reisdorf   Version fuer "rzri6f" vom  7. 6. 1994

           Bearbeitung F.P.Heßberger
           
   48Ca + 209Bi ---> 257Lr IFUS10 barfac1.0 01/06/2022 17:14 (Sitarcik) 
           

 Unterprogramm SEPENF

 benutzt Sierks Programm BARFIT 
 Q-Wert  -153.840 MeV
 Massen aus der Datei "mlz.dat" 

         Exp. Schaleneffekte,  SHELL0=    0.00
          Lr  251   Lr  252   Lr  253   Lr  254   Lr  255   Lr  256   Lr  257
             -3.37     -4.10     -3.43     -4.13     -3.43     -4.10     -3.39
          No  250   No  251   No  252   No  253   No  254   No  255   No  256
             -2.59     -3.32     -2.65     -3.35     -2.66     -3.33     -2.62
          Md  249   Md  250   Md  251   Md  252   Md  253   Md  254   Md  255
             -3.18     -3.91     -3.24     -3.95     -3.25     -3.93     -3.21

           BARFAC=   1.000      BAR0=   0.000

          Separationsenergien (BN,BP,BA) und Spaltbarrieren
          Lr  251   Lr  252   Lr  253   Lr  254   Lr  255   Lr  256   Lr  257
              8.37      6.84      8.09      6.56      7.81      6.29      7.53
              1.25      1.45      1.64      1.84      2.03      2.23      2.42
             -9.28     -9.17     -9.06     -8.94     -8.84     -8.72     -8.61
              4.00      4.76      4.12      4.84      4.18      4.88      4.19
             -0.69     -1.39     -0.69     -1.38     -0.69     -1.38     -0.69
          No  250   No  251   No  252   No  253   No  254   No  255   No  256
              8.17      6.64      7.89      6.37      7.61      6.10      7.34
              3.06      3.26      3.45      3.65      3.84      4.03      4.22
             -8.83     -8.71     -8.61     -8.49     -8.38     -8.25     -8.14
              3.41      4.18      3.54      4.28      3.62      4.32      3.64
              0.00     -0.69      0.00     -0.69      0.00     -0.69      0.00
          Md  249   Md  250   Md  251   Md  252   Md  253   Md  254   Md  255
              7.98      6.45      7.70      6.17      7.42      5.90      7.15
              2.10      2.30      2.49      2.69      2.88      3.08      3.27
             -8.36     -8.24     -8.13     -8.01     -7.90     -7.77     -7.66
              4.24      5.01      4.38      5.12      4.46      5.16      4.48
             -0.70     -1.39     -0.69     -1.39     -0.69     -1.38     -0.69

 benutzter Q-Wert  -153.840 MeV    effektiver Q-Wert  -153.840 MeV

 HIVAP  CASOUT

   48Ca + 209Bi ---> 257Lr IFUS10 barfac1.0 01/06/2022 17:14 (Sitarcik) 


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   201.468    4.20    10.0  0.2724E-03  0.3851E-06  0.2720E-03     0.0       99.86
   202.698    4.22    11.0  0.1367E-02  0.2900E-05  0.1364E-02     0.0       99.79
   203.927    4.25    12.0  0.6660E-02  0.1897E-04  0.6641E-02     0.0       99.72
   205.157    4.27    13.0  0.3057E-01  0.8836E-04  0.3048E-01     0.0       99.71
   206.387    4.30    14.0  0.1223E+00  0.2031E-03  0.1221E+00     0.0       99.83
   207.616    4.33    15.0  0.3900E+00  0.2709E-03  0.3897E+00     0.0       99.93
   208.846    4.35    16.0  0.9904E+00  0.2595E-03  0.9902E+00     0.0       99.97
   210.076    4.38    17.0  0.2119E+01  0.2230E-03  0.2119E+01     0.0       99.99
   211.305    4.40    18.0  0.4017E+01  0.2299E-03  0.4017E+01     0.0       99.99
   212.535    4.43    19.0  0.6967E+01  0.3279E-03  0.6967E+01    11.0      100.00
   213.765    4.45    20.0  0.1127E+02  0.4682E-03  0.1127E+02    20.0      100.00
   214.994    4.48    21.0  0.1723E+02  0.5029E-03  0.1723E+02    26.0      100.00
   216.224    4.50    22.0  0.2510E+02  0.4301E-03  0.2510E+02    31.0      100.00
   217.454    4.53    23.0  0.3505E+02  0.3136E-03  0.3505E+02    36.0      100.00
   218.683    4.56    24.0  0.4711E+02  0.2049E-03  0.4711E+02    40.0      100.00
   219.913    4.58    25.0  0.6117E+02  0.1248E-03  0.6117E+02    43.0      100.00

     Querschnitte / mbarn

  E*/MeV   251Lr     252Lr     253Lr     254Lr     255Lr     256Lr     257Lr  
    10.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.378E-06 0.753E-08
    11.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.289E-05 0.964E-08
    12.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.190E-04 0.719E-08
