          Programm HIVAP,  Autor  W.Reisdorf   Version fuer "rzri6f" vom  7. 6. 1994

           Bearbeitung F.P.Heßberger
           
   52Cr + 150Sm ---> 202Rn IFUS11  8.12.2021 (A. Sitarcik)              
           

 Unterprogramm SEPENF

 benutzt Sierks Programm BARFIT 
 Q-Wert  -126.788 MeV
 Massen aus der Datei "mlz.dat" 

         Exp. Schaleneffekte,  SHELL0=    0.00
          Rn  196   Rn  197   Rn  198   Rn  199   Rn  200   Rn  201   Rn  202
              0.69     -0.26      0.17     -1.00     -0.64     -1.87     -1.58
          At  195   At  196   At  197   At  198   At  199   At  200   At  201
             -0.62     -1.72     -1.28     -2.45     -2.09     -3.32     -3.03
          Po  194   Po  195   Po  196   Po  197   Po  198   Po  199   Po  200
             -0.55     -1.65     -1.22     -2.38     -2.02     -3.25     -2.96

           BARFAC=   0.730      BAR0=   0.000

          Separationsenergien (BN,BP,BA) und Spaltbarrieren
          Rn  196   Rn  197   Rn  198   Rn  199   Rn  200   Rn  201   Rn  202
             10.52      8.92     10.49      8.78     10.20      8.51      9.92
              1.08      1.18      1.42      1.67      1.91      2.15      2.39
             -8.32     -8.25     -8.05     -7.83     -7.62     -7.40     -7.19
              3.54      4.65      4.37      5.69      5.48      6.85      6.71
              0.00     -0.78      0.00     -0.78      0.00     -0.78      0.00
          At  195   At  196   At  197   At  198   At  199   At  200   At  201
             10.54      8.82     10.25      8.54      9.96      8.27      9.69
             -0.23      0.02      0.27      0.52      0.77      1.01      1.26
             -8.14     -7.92     -7.71     -7.48     -7.27     -7.04     -6.83
              5.61      6.87      6.60      7.92      7.71      9.08      8.93
             -0.79     -1.57     -0.78     -1.56     -0.78     -1.56     -0.78
          Po  194   Po  195   Po  196   Po  197   Po  198   Po  199   Po  200
             10.29      8.56     10.00      8.29      9.72      8.02      9.44
              1.76      2.01      2.26      2.51      2.75      2.99      3.23
             -7.82     -7.59     -7.38     -7.15     -6.93     -6.70     -6.48
              6.36      7.63      7.35      8.68      8.47      9.85      9.70
              0.00     -0.79      0.00     -0.78      0.00     -0.78      0.00

 benutzter Q-Wert  -126.788 MeV    effektiver Q-Wert  -126.788 MeV

 HIVAP  CASOUT

   52Cr + 150Sm ---> 202Rn IFUS11  8.12.2021 (A. Sitarcik)              


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   197.674    3.80    20.0  0.1185E-04  0.3750E-06  0.1148E-04     0.0       96.84
   200.367    3.85    22.0  0.3414E-03  0.5760E-05  0.3356E-03     0.0       98.31
   203.061    3.91    24.0  0.7700E-02  0.8275E-04  0.7618E-02     0.0       98.92
   205.754    3.96    26.0  0.7646E-01  0.6549E-03  0.7580E-01     0.0       99.14
   208.447    4.01    28.0  0.3657E+00  0.2391E-02  0.3633E+00     0.0       99.34
   211.141    4.06    30.0  0.1230E+01  0.5758E-02  0.1224E+01     0.0       99.53
   213.834    4.11    32.0  0.3283E+01  0.1180E-01  0.3271E+01     0.0       99.64
   216.527    4.16    34.0  0.7479E+01  0.2276E-01  0.7455E+01     0.0       99.69
   219.221    4.22    36.0  0.1505E+02  0.4025E-01  0.1501E+02     7.0       99.73
   221.914    4.27    38.0  0.2727E+02  0.6501E-01  0.2721E+02    23.0       99.75
   224.607    4.32    40.0  0.4523E+02  0.9598E-01  0.4512E+02    32.0       99.76
   227.301    4.37    42.0  0.6938E+02  0.1274E+00  0.6921E+02    40.0       99.75
   229.994    4.42    44.0  0.9945E+02  0.1489E+00  0.9919E+02    69.0       99.73
   232.687    4.47    46.0  0.1343E+03  0.1525E+00  0.1339E+03    69.0       99.70
   235.381    4.53    48.0  0.1720E+03  0.1408E+00  0.1715E+03    69.0       99.66
   238.074    4.58    50.0  0.2108E+03  0.1237E+00  0.2100E+03    69.0       99.62

     Querschnitte / mbarn

  E*/MeV   196Rn     197Rn     198Rn     199Rn     200Rn     201Rn     202Rn  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.125E-09 0.318E-06 0.524E-09
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.156E-06 0.379E-05 0.219E-08
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.141E-04 0.282E-04 0.661E-08
