   E*/MeV   180Pb     181Pb     182Pb     183Pb     184Pb     185Pb     186Pb  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.330E-03 0.234E-06
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.276E-07 0.675E-03 0.258E-06
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.859E-06 0.105E-02 0.208E-06
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.859E-05 0.131E-02 0.145E-07
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.437E-04 0.140E-02 0.000E+00
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.151E-03 0.132E-02 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.415E-03 0.113E-02 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.950E-03 0.895E-03 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.177E-02 0.665E-03 0.000E+00
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.258E-02 0.466E-03 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.309E-02 0.311E-03 0.000E+00
    31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.318E-02 0.199E-03 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.301E-08 0.291E-02 0.122E-03 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.733E-07 0.243E-02 0.729E-04 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.687E-06 0.189E-02 0.422E-04 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.349E-05 0.139E-02 0.238E-04 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.116E-04 0.970E-03 0.131E-04 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.289E-04 0.651E-03 0.709E-05 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.597E-04 0.423E-03 0.364E-05 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.108E-03 0.266E-03 0.176E-05 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.174E-03 0.164E-03 0.800E-06 0.000E+00
    41.0 0.000E+00 0.000E+00 0.000E+00 0.249E-03 0.990E-04 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.339E-10 0.313E-03 0.588E-04 0.000E+00 0.000E+00
    43.0 0.000E+00 0.000E+00 0.803E-09 0.349E-03 0.345E-04 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.825E-08 0.353E-03 0.200E-04 0.000E+00 0.000E+00
    45.0 0.000E+00 0.000E+00 0.489E-07 0.328E-03 0.115E-04 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.194E-06 0.286E-03 0.659E-05 0.000E+00 0.000E+00
    47.0 0.000E+00 0.000E+00 0.578E-06 0.236E-03 0.375E-05 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.140E-05 0.186E-03 0.212E-05 0.000E+00 0.000E+00
    49.0 0.000E+00 0.000E+00 0.289E-05 0.142E-03 0.120E-05 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.521E-05 0.106E-03 0.667E-06 0.000E+00 0.000E+00
    51.0 0.000E+00 0.000E+00 0.820E-05 0.764E-04 0.361E-06 0.000E+00 0.000E+00
 
 
 E*/MeV   180Pb     181Pb     182Pb     183Pb     184Pb     185Pb     186Pb  
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.766E-09 0.319E-11 0.000E+00
    31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.326E-06 0.640E-08 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.275E-11 0.144E-05 0.332E-07 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.197E-09 0.360E-05 0.659E-07 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.543E-08 0.830E-05 0.115E-06 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.813E-07 0.183E-04 0.198E-06 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.786E-06 0.386E-04 0.333E-06 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.539E-05 0.744E-04 0.528E-06 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.255E-04 0.119E-03 0.719E-06 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.777E-04 0.142E-03 0.728E-06 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.160E-03 0.126E-03 0.499E-06 0.000E+00
    41.0 0.000E+00 0.000E+00 0.000E+00 0.249E-03 0.906E-04 0.000E+00 0.000E+00
