  E*/MeV   183Bi     184Bi     185Bi     186Bi     187Bi     188Bi     189Bi  
    31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.483E-11 0.339E-09 0.193E-12
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.369E-10 0.778E-09 0.290E-12
    33.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.895E-08 0.389E-06 0.706E-09
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.828E-07 0.183E-05 0.380E-08
    35.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.487E-06 0.460E-05 0.725E-08
    36.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.254E-05 0.107E-04 0.124E-07
    37.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.119E-04 0.238E-04 0.202E-07
    38.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.500E-04 0.509E-04 0.321E-07
    39.0 0.000E+00 0.000E+00 0.000E+00 0.541E-10 0.181E-03 0.102E-03 0.439E-07
    40.0 0.000E+00 0.000E+00 0.000E+00 0.129E-08 0.526E-03 0.181E-03 0.382E-07
    41.0 0.000E+00 0.000E+00 0.000E+00 0.158E-07 0.110E-02 0.256E-03 0.000E+00
    42.0 0.000E+00 0.000E+00 0.000E+00 0.107E-06 0.164E-02 0.275E-03 0.000E+00
    43.0 0.000E+00 0.000E+00 0.000E+00 0.460E-06 0.186E-02 0.235E-03 0.000E+00
    44.0 0.000E+00 0.000E+00 0.000E+00 0.147E-05 0.178E-02 0.173E-03 0.000E+00
    45.0 0.000E+00 0.000E+00 0.000E+00 0.381E-05 0.154E-02 0.117E-03 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.844E-05 0.125E-02 0.747E-04 0.000E+00
    47.0 0.000E+00 0.000E+00 0.000E+00 0.166E-04 0.967E-03 0.464E-04 0.000E+00
    48.0 0.000E+00 0.000E+00 0.000E+00 0.293E-04 0.726E-03 0.283E-04 0.000E+00
    49.0 0.000E+00 0.000E+00 0.000E+00 0.473E-04 0.531E-03 0.170E-04 0.000E+00
    50.0 0.000E+00 0.000E+00 0.506E-10 0.706E-04 0.380E-03 0.102E-04 0.000E+00
    51.0 0.000E+00 0.000E+00 0.354E-09 0.976E-04 0.268E-03 0.602E-05 0.000E+00
    52.0 0.000E+00 0.000E+00 0.190E-08 0.126E-03 0.185E-03 0.354E-05 0.000E+00
    53.0 0.000E+00 0.000E+00 0.812E-08 0.151E-03 0.127E-03 0.206E-05 0.000E+00
    54.0 0.000E+00 0.000E+00 0.287E-07 0.171E-03 0.859E-04 0.118E-05 0.000E+00
    55.0 0.000E+00 0.000E+00 0.859E-07 0.183E-03 0.576E-04 0.671E-06 0.000E+00
    56.0 0.000E+00 0.000E+00 0.223E-06 0.185E-03 0.383E-04 0.366E-06 0.000E+00
    57.0 0.000E+00 0.000E+00 0.509E-06 0.180E-03 0.252E-04 0.185E-06 0.000E+00
    58.0 0.000E+00 0.000E+00 0.104E-05 0.167E-03 0.165E-04 0.797E-07 0.000E+00
    59.0 0.000E+00 0.000E+00 0.192E-05 0.150E-03 0.108E-04 0.000E+00 0.000E+00
    60.0 0.000E+00 0.000E+00 0.323E-05 0.131E-03 0.696E-05 0.000E+00 0.000E+00
    61.0 0.000E+00 0.000E+00 0.499E-05 0.110E-03 0.447E-05 0.000E+00 0.000E+00
    62.0 0.000E+00 0.000E+00 0.713E-05 0.911E-04 0.286E-05 0.000E+00 0.000E+00
    
    
  E*/MeV   183Bi     184Bi     185Bi     186Bi     187Bi     188Bi     189Bi  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.106E-10 0.210E-08
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.144E-09 0.708E-08
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.157E-08 0.223E-07
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.143E-07 0.662E-07
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.113E-06 0.187E-06
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.788E-06 0.502E-06
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.486E-05 0.127E-05
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.221E-10 0.251E-04 0.293E-05
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.109E-08 0.981E-04 0.562E-05
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.210E-07 0.279E-03 0.852E-05
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.218E-06 0.601E-03 0.105E-04
    31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.145E-05 0.105E-02 0.109E-04
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.691E-05 0.154E-02 0.102E-04
    33.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.252E-04 0.197E-02 0.864E-05
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.738E-04 0.225E-02 0.680E-05
    35.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.181E-03 0.233E-02 0.503E-05
    36.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.378E-03 0.221E-02 0.349E-05
    37.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.687E-03 0.194E-02 0.230E-05
    38.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.109E-02 0.160E-02 0.141E-05
    39.0 0.000E+00 0.000E+00 0.000E+00 0.358E-09 0.152E-02 0.125E-02 0.807E-06
    40.0 0.000E+00 0.000E+00 0.000E+00 0.372E-08 0.190E-02 0.923E-03 0.389E-06
    41.0 0.000E+00 0.000E+00 0.000E+00 0.252E-07 0.213E-02 0.655E-03 0.000E+00
    42.0 0.000E+00 0.000E+00 0.000E+00 0.124E-06 0.218E-02 0.448E-03 0.000E+00
    43.0 0.000E+00 0.000E+00 0.000E+00 0.474E-06 0.207E-02 0.297E-03 0.000E+00
    44.0 0.000E+00 0.000E+00 0.000E+00 0.146E-05 0.184E-02 0.192E-03 0.000E+00
    45.0 0.000E+00 0.000E+00 0.000E+00 0.377E-05 0.154E-02 0.122E-03 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.839E-05 0.124E-02 0.758E-04 0.000E+00
    47.0 0.000E+00 0.000E+00 0.000E+00 0.165E-04 0.963E-03 0.466E-04 0.000E+00
    48.0 0.000E+00 0.000E+00 0.000E+00 0.292E-04 0.724E-03 0.283E-04 0.000E+00
    49.0 0.000E+00 0.000E+00 0.000E+00 0.473E-04 0.530E-03 0.170E-04 0.000E+00
    50.0 0.000E+00 0.000E+00 0.506E-10 0.706E-04 0.380E-03 0.102E-04 0.000E+00
    51.0 0.000E+00 0.000E+00 0.354E-09 0.976E-04 0.267E-03 0.602E-05 0.000E+00
    52.0 0.000E+00 0.000E+00 0.190E-08 0.126E-03 0.185E-03 0.354E-05 0.000E+00
    53.0 0.000E+00 0.000E+00 0.812E-08 0.151E-03 0.127E-03 0.206E-05 0.000E+00
    54.0 0.000E+00 0.000E+00 0.287E-07 0.171E-03 0.859E-04 0.118E-05 0.000E+00
    55.0 0.000E+00 0.000E+00 0.859E-07 0.183E-03 0.575E-04 0.670E-06 0.000E+00
    56.0 0.000E+00 0.000E+00 0.223E-06 0.185E-03 0.382E-04 0.366E-06 0.000E+00
    57.0 0.000E+00 0.000E+00 0.509E-06 0.180E-03 0.252E-04 0.185E-06 0.000E+00
    58.0 0.000E+00 0.000E+00 0.104E-05 0.167E-03 0.165E-04 0.797E-07 0.000E+00
    60.0 0.000E+00 0.000E+00 0.323E-05 0.130E-03 0.696E-05 0.000E+00 0.000E+00
    60.0 0.000E+00 0.000E+00 0.323E-05 0.130E-03 0.696E-05 0.000E+00 0.000E+00
    61.0 0.000E+00 0.000E+00 0.499E-05 0.110E-03 0.447E-05 0.000E+00 0.000E+00
    62.0 0.000E+00 0.000E+00 0.713E-05 0.910E-04 0.286E-05 0.000E+00 0.000E+00
    63.0 0.000E+00 0.000E+00 0.946E-05 0.735E-04 0.182E-05 0.000E+00 0.000E+00
    64.0 0.000E+00 0.211E-10 0.118E-04 0.582E-04 0.114E-05 0.000E+00 0.000E+00
    65.0 0.000E+00 0.951E-10 0.138E-04 0.453E-04 0.717E-06 0.000E+00 0.000E+00
    66.0 0.000E+00 0.357E-09 0.153E-04 0.348E-04 0.447E-06 0.000E+00 0.000E+00
    67.0 0.000E+00 0.115E-08 0.162E-04 0.263E-04 0.272E-06 0.000E+00 0.000E+00
    68.0 0.000E+00 0.319E-08 0.165E-04 0.197E-04 0.163E-06 0.000E+00 0.000E+00
    69.0 0.000E+00 0.787E-08 0.161E-04 0.146E-04 0.954E-07 0.000E+00 0.000E+00
    70.0 0.000E+00 0.174E-07 0.153E-04 0.107E-04 0.476E-07 0.000E+00 0.000E+00
    71.0 0.000E+00 0.349E-07 0.141E-04 0.775E-05 0.134E-07 0.000E+00 0.000E+00
    72.0 0.000E+00 0.642E-07 0.126E-04 0.559E-05 0.000E+00 0.000E+00 0.000E+00
    73.0 0.000E+00 0.109E-06 0.110E-04 0.400E-05 0.000E+00 0.000E+00 0.000E+00
    74.0 0.000E+00 0.173E-06 0.943E-05 0.284E-05 0.000E+00 0.000E+00 0.000E+00
    75.0 0.000E+00 0.256E-06 0.793E-05 0.200E-05 0.000E+00 0.000E+00 0.000E+00
    76.0 0.215E-11 0.358E-06 0.656E-05 0.141E-05 0.000E+00 0.000E+00 0.000E+00
    77.0 0.835E-11 0.473E-06 0.534E-05 0.981E-06 0.000E+00 0.000E+00 0.000E+00
    78.0 0.280E-10 0.595E-06 0.429E-05 0.681E-06 0.000E+00 0.000E+00 0.000E+00
    79.0 0.824E-10 0.714E-06 0.340E-05 0.470E-06 0.000E+00 0.000E+00 0.000E+00
    80.0 0.216E-09 0.822E-06 0.267E-05 0.323E-06 0.000E+00 0.000E+00 0.000E+00
