  E*/MeV   186At     187At     188At     189At     190At     191At     192At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.146E-03 0.291E-05
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.351E-08 0.933E-04 0.136E-05
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.110E-06 0.575E-04 0.616E-06
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.121E-05 0.358E-04 0.188E-06
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.628E-05 0.214E-04 0.000E+00
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.197E-04 0.131E-04 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.470E-04 0.854E-05 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.830E-04 0.594E-05 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.106E-03 0.346E-05 0.000E+00
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.108E-03 0.184E-05 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.943E-04 0.855E-06 0.000E+00
    31.0 0.000E+00 0.000E+00 0.000E+00 0.311E-10 0.745E-04 0.372E-06 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.860E-09 0.546E-04 0.173E-06 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.915E-08 0.379E-04 0.806E-07 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.531E-07 0.252E-04 0.395E-07 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.196E-06 0.162E-04 0.000E+00 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.503E-06 0.102E-04 0.000E+00 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.941E-06 0.624E-05 0.000E+00 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.135E-05 0.376E-05 0.000E+00 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.159E-05 0.224E-05 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.162E-05 0.133E-05 0.000E+00 0.000E+00
    41.0 0.000E+00 0.000E+00 0.000E+00 0.149E-05 0.780E-06 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.000E+00 0.126E-05 0.456E-06 0.000E+00 0.000E+00
    43.0 0.000E+00 0.000E+00 0.149E-12 0.101E-05 0.265E-06 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.429E-11 0.767E-06 0.153E-06 0.000E+00 0.000E+00
    45.0 0.000E+00 0.000E+00 0.505E-10 0.563E-06 0.881E-07 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.331E-09 0.402E-06 0.502E-07 0.000E+00 0.000E+00
    47.0 0.000E+00 0.000E+00 0.142E-08 0.279E-06 0.274E-07 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.445E-08 0.191E-06 0.739E-08 0.000E+00 0.000E+00
    49.0 0.000E+00 0.000E+00 0.109E-07 0.128E-06 0.145E-08 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.218E-07 0.848E-07 0.867E-09 0.000E+00 0.000E+00
    51.0 0.000E+00 0.000E+00 0.361E-07 0.556E-07 0.000E+00 0.000E+00 0.000E+00
    52.0 0.000E+00 0.000E+00 0.512E-07 0.361E-07 0.000E+00 0.000E+00 0.000E+00
    53.0 0.000E+00 0.000E+00 0.639E-07 0.233E-07 0.000E+00 0.000E+00 0.000E+00
    54.0 0.000E+00 0.000E+00 0.723E-07 0.149E-07 0.000E+00 0.000E+00 0.000E+00
    55.0 0.000E+00 0.609E-13 0.753E-07 0.950E-08 0.000E+00 0.000E+00 0.000E+00
    56.0 0.000E+00 0.536E-12 0.736E-07 0.602E-08 0.000E+00 0.000E+00 0.000E+00
    57.0 0.000E+00 0.310E-11 0.681E-07 0.374E-08 0.000E+00 0.000E+00 0.000E+00
    58.0 0.000E+00 0.128E-10 0.603E-07 0.221E-08 0.000E+00 0.000E+00 0.000E+00
    60.0 0.000E+00 0.965E-10 0.426E-07 0.530E-09 0.000E+00 0.000E+00 0.000E+00
    60.0 0.000E+00 0.965E-10 0.426E-07 0.530E-09 0.000E+00 0.000E+00 0.000E+00
    61.0 0.000E+00 0.193E-09 0.343E-07 0.156E-09 0.000E+00 0.000E+00 0.000E+00
    62.0 0.000E+00 0.326E-09 0.270E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    63.0 0.000E+00 0.484E-09 0.208E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    64.0 0.000E+00 0.646E-09 0.158E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    65.0 0.000E+00 0.790E-09 0.118E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    66.0 0.000E+00 0.897E-09 0.875E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    67.0 0.000E+00 0.960E-09 0.639E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    

  E*/MeV   186At     187At     188At     189At     190At     191At     192At  
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.489E-11 0.975E-13 0.000E+00
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.338E-10 0.143E-12 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.174E-07 0.244E-09 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.936E-07 0.507E-09 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.344E-06 0.805E-09 0.000E+00
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.101E-05 0.692E-09 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.258E-05 0.000E+00 0.000E+00
    31.0 0.000E+00 0.000E+00 0.000E+00 0.456E-11 0.577E-05 0.000E+00 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.312E-09 0.108E-04 0.000E+00 0.000E+00
