E_lab	E*/MeV	187At	188At	189At	190At	191At	192At	193At
349.96	10	0	0	0	0	0	0	0.254
351.84	11	0	0	0	0	0	0.000362	0.397
353.71	12	0	0	0	0	0	0.207	0.435
355.58	13	0	0	0	0	0	7.14	0.398
357.46	14	0	0	0	0	0	39.1	0.355
359.33	15	0	0	0	0	0	139	0.27
361.21	16	0	0	0	0	0	332	0.245
363.08	17	0	0	0	0	0	452	0.219
364.95	18	0	0	0	0	0	462	0.135
366.83	19	0	0	0	0	0	391	0.0577
368.7	20	0	0	0	0	0	301	0
370.58	21	0	0	0	0	0.00392	218	0
372.45	22	0	0	0	0	0.0997	152	0
374.32	23	0	0	0	0	0.869	104	0
376.2	24	0	0	0	0	3.85	68.3	0
378.07	25	0	0	0	0	10.4	43.1	0
379.94	26	0	0	0	0	18.4	27.2	0
381.82	27	0	0	0	0	22.8	16.5	0
383.69	28	0	0	0	0	22.6	10.1	0
385.57	29	0	0	0	0	19.3	5.65	0
387.44	30	0	0	0	0	15	3.03	0
389.31	31	0	0	0	0	10.8	1.56	0
391.19	32	0	0	0	0.0000122	7.32	0.781	0
393.06	33	0	0	0	0.000352	4.77	0.357	0
394.93	34	0	0	0	0.00379	3.01	0.145	0
396.81	35	0	0	0	0.0221	1.85	0.0566	0
398.68	36	0	0	0	0.0828	1.12	0.0221	0
400.56	37	0	0	0	0.221	0.665	0.00875	0
402.43	38	0	0	0	0.446	0.389	0	0
404.3	39	0	0	0	0.7	0.225	0	0
406.18	40	0	0	0	0.902	0.129	0	0
408.05	41	0	0	0	0.999	0.073	0	0
409.92	42	0	0	0	0.989	0.0409	0	0
411.8	43	0	0	0.00000107	0.896	0.0226	0	0
413.67	44	0	0	0.0000131	0.759	0.0119	0	0
415.55	45	0	0	0.0000899	0.609	0.00208	0	0
417.42	46	0	0	0.000398	0.469	0	0	0
419.29	47	0	0	0.00124	0.349	0	0	0
421.17	48	0	0	0.00287	0.252	0	0	0
423.04	49	0	0	0.00522	0.179	0	0	0
424.91	50	0	0	0.00785	0.124	0	0	0
426.79	51	0	0	0.0102	0.0846	0	0	0
428.66	52	0	0	0.0119	0.057	0	0	0
430.54	53	0	0	0.0126	0.038	0	0	0
432.41	54	0	0	0.0124	0.0251	0	0	0
434.28	55	0	0.00000000743	0.0116	0.0164	0	0	0
436.16	56	0	0.000000079	0.0103	0.0107	0	0	0
438.03	57	0	0.000000553	0.0088	0.00692	0	0	0
439.91	58	0	0.00000275	0.00728	0.00445	0	0	0
441.78	59	0	0.0000103	0.00585	0.00285	0	0	0
443.65	60	0	0.0000301	0.00459	0.00178	0	0	0
445.53	61	0	0.0000715	0.00353	0.00111	0	0	0
447.4	62	0	0.000142	0.00266	0.000606	0	0	0
449.27	63	0	0.000242	0.00198	0.000262	0	0	0
451.15	64	0	0.000365	0.00145	0	0	0	0
453.02	65	0	0.000496	0.00106	0	0	0	0
454.9	66	0	0.000619	0.000758	0	0	0	0
456.77	67	6.6E-10	0.000718	0.00054	0	0	0	0
458.64	68	0.0000000044	0.000785	0.000381	0	0	0	0
460.52	69	0.0000000216	0.000815	0.000267	0	0	0	0
462.39	70	0.0000000814	0.00081	0.000186	0	0	0	0
464.26	71	0.000000244	0.000775	0.000127	0	0	0	0
466.14	72	0.000000603	0.000718	0.0000861	0	0	0	0
468.01	73	0.00000126	0.000646	0.0000561	0	0	0	0
469.89	74	0.00000231	0.000568	0.0000338	0	0	0	0
471.76	75	0.00000376	0.000488	0.0000121	0	0	0	0
473.63	76	0.00000556	0.000411	0	0	0	0	0
475.51	77	0.00000757	0.00034	0	0	0	0	0
477.38	78	0.00000961	0.000278	0	0	0	0	0
479.25	79	0.0000115	0.000224	0	0	0	0	0
481.13	80	0.0000131	0.000178	0	0	0	0	0
								
								
E_lab	E*/MeV	187At	188At	189At	190At	191At	192At	193At
376.2	24	0	0	0	0	0.00000282	0.000000499	0
378.07	25	0	0	0	0	0.000016	0.000000745	0
379.94	26	0	0	0	0	0.00652	0.00109	0
381.82	27	0	0	0	0	0.0234	0.00228	0
383.69	28	0	0	0	0	0.0659	0.00386	0
385.57	29	0	0	0	0	0.162	0.00625	0
387.44	30	0	0	0	0	0.364	0.00962	0
389.31	31	0	0	0	0	0.74	0.0139	0
391.19	32	0	0	0	0.00000491	1.29	0.0139	0
393.06	33	0	0	0	0.000252	1.75	0	0
394.93	34	0	0	0	0.00353	1.75	0	0
396.81	35	0	0	0	0.0226	1.4	0	0
398.68	36	0	0	0	0.0866	0.969	0	0
400.56	37	0	0	0	0.231	0.618	0	0
402.43	38	0	0	0	0.461	0.374	0	0
404.3	39	0	0	0	0.718	0.221	0	0
								
								
E_lab	E*/MeV	186Po	187Po	188Po	189Po	190Po	191Po	192Po
349.96	10	0	0	0	0	0	0	1.08
351.84	11	0	0	0	0	0	0	6.34
353.71	12	0	0	0	0	0	0	26.1
355.58	13	0	0	0	0	0	0	68.6
357.46	14	0	0	0	0	0	0	118
359.33	15	0	0	0	0	0	0.0000414	149
361.21	16	0	0	0	0	0	0.00789	153
363.08	17	0	0	0	0	0	0.0728	136
364.95	18	0	0	0	0	0	0.371	109
366.83	19	0	0	0	0	0	1.56	81.4
368.7	20	0	0	0	0	0	5.25	57.3
370.58	21	0	0	0	0	0	14.8	38.7
372.45	22	0	0	0	0	0	34.9	25.1
374.32	23	0	0	0	0	0	70.2	15.9
376.2	24	0	0	0	0	0	118	9.88
378.07	25	0	0	0	0	0	170	6.05
379.94	26	0	0	0	0	0.000125	208	3.63
381.82	27	0	0	0	0	0.0012	222	2.12
383.69	28	0	0	0	0	0.00778	211	1.19
385.57	29	0	0	0	0	0.0378	182	0.646
387.44	30	0	0	0	0	0.143	145	0.313
389.31	31	0	0	0	0	0.427	108	0.0925
391.19	32	0	0	0	0	1.02	77	0.0379
393.06	33	0	0	0	0	2.02	52.6	0.0133
394.93	34	0	0	0	0	3.34	34.7	0
396.81	35	0	0	0	0	4.69	22.3	0
398.68	36	0	0	0	0	5.73	14	0
400.56	37	0	0	0	0.00000194	6.22	8.59	0
402.43	38	0	0	0	0.0000167	6.12	5.2	0
404.3	39	0	0	0	0.0000963	5.56	3.11	0
406.18	40	0	0	0	0.000435	4.73	1.84	0
