  E*/MeV   187At     188At     189At     190At     191At     192At     193At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.780E-03 0.895E-06
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.308E-06 0.375E-03 0.246E-06
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.115E-04 0.153E-03 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.652E-04 0.558E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.867E-04 0.187E-04 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.582E-04 0.544E-05 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.547E-10 0.284E-04 0.142E-05 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.157E-07 0.116E-04 0.252E-06 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.323E-06 0.427E-05 0.255E-07 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.187E-05 0.146E-05 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.441E-05 0.474E-06 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.000E+00 0.522E-05 0.149E-06 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.700E-10 0.413E-05 0.458E-07 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.208E-08 0.258E-05 0.126E-08 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.160E-07 0.139E-05 0.000E+00 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.487E-07 0.682E-06 0.000E+00 0.000E+00 0.000E+00
    52.0 0.000E+00 0.000E+00 0.789E-07 0.313E-06 0.000E+00 0.000E+00 0.000E+00
    54.0 0.000E+00 0.000E+00 0.862E-07 0.137E-06 0.000E+00 0.000E+00 0.000E+00
    56.0 0.000E+00 0.483E-12 0.729E-07 0.581E-07 0.000E+00 0.000E+00 0.000E+00
    58.0 0.000E+00 0.160E-10 0.520E-07 0.241E-07 0.000E+00 0.000E+00 0.000E+00
    60.0 0.000E+00 0.176E-09 0.329E-07 0.973E-08 0.000E+00 0.000E+00 0.000E+00
    62.0 0.000E+00 0.884E-09 0.191E-07 0.377E-08 0.000E+00 0.000E+00 0.000E+00
    64.0 0.000E+00 0.244E-08 0.104E-07 0.110E-08 0.000E+00 0.000E+00 0.000E+00
    66.0 0.000E+00 0.435E-08 0.539E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    68.0 0.321E-13 0.571E-08 0.270E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    70.0 0.609E-12 0.601E-08 0.131E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    
      E*/MeV   187At     188At     189At     190At     191At     192At     193At  
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.839E-11 0.324E-11 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.256E-07 0.434E-08 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.285E-06 0.152E-07 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.162E-05 0.390E-07 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.214E-10 0.570E-05 0.787E-07 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.143E-07 0.729E-05 0.000E+00 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.330E-06 0.381E-05 0.000E+00 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.191E-05 0.142E-05 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.445E-05 0.474E-06 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.000E+00 0.523E-05 0.150E-06 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.700E-10 0.413E-05 0.461E-07 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.208E-08 0.258E-05 0.126E-08 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.160E-07 0.139E-05 0.000E+00 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.487E-07 0.682E-06 0.000E+00 0.000E+00 0.000E+00
    52.0 0.000E+00 0.000E+00 0.790E-07 0.313E-06 0.000E+00 0.000E+00 0.000E+00
    54.0 0.000E+00 0.000E+00 0.862E-07 0.137E-06 0.000E+00 0.000E+00 0.000E+00
    56.0 0.000E+00 0.483E-12 0.729E-07 0.582E-07 0.000E+00 0.000E+00 0.000E+00
    58.0 0.000E+00 0.160E-10 0.520E-07 0.241E-07 0.000E+00 0.000E+00 0.000E+00
    60.0 0.000E+00 0.176E-09 0.329E-07 0.973E-08 0.000E+00 0.000E+00 0.000E+00
    62.0 0.000E+00 0.884E-09 0.191E-07 0.377E-08 0.000E+00 0.000E+00 0.000E+00
    64.0 0.000E+00 0.244E-08 0.104E-07 0.110E-08 0.000E+00 0.000E+00 0.000E+00
    66.0 0.000E+00 0.435E-08 0.539E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    68.0 0.321E-13 0.571E-08 0.270E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    70.0 0.610E-12 0.601E-08 0.131E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    72.0 0.470E-11 0.539E-08 0.618E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    74.0 0.185E-10 0.429E-08 0.272E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    76.0 0.452E-10 0.311E-08 0.928E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    78.0 0.785E-10 0.210E-08 0.216E-10 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    80.0 0.107E-09 0.134E-08 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    82.0 0.121E-09 0.820E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    84.0 0.000E+00 0.483E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.165E+01
    86.0 0.000E+00 0.275E-09 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.158E+01
