E_lab	E*/MeV	187At	188At	189At	190At	191At	192At	193At
368.701	20	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.69E-03	4.54E-06
370.575	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.54E-08	1.83E-03	2.03E-06
372.448	22	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.99E-07	1.19E-03	8.06E-07
374.322	23	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.67E-06	7.48E-04	3.27E-07
376.196	24	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.17E-05	4.59E-04	0.00E+00
378.07	25	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.74E-05	2.73E-04	0.00E+00
379.944	26	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.70E-04	1.57E-04	0.00E+00
381.817	27	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.32E-04	8.95E-05	0.00E+00
383.691	28	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.44E-04	4.96E-05	0.00E+00
385.565	29	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.16E-04	2.62E-05	0.00E+00
387.439	30	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.70E-04	1.35E-05	0.00E+00
389.313	31	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.23E-04	6.83E-06	0.00E+00
391.186	32	0.00E+00	0.00E+00	0.00E+00	1.79E-10	8.45E-05	3.42E-06	0.00E+00
393.06	33	0.00E+00	0.00E+00	0.00E+00	4.78E-09	5.54E-05	1.67E-06	0.00E+00
394.934	34	0.00E+00	0.00E+00	0.00E+00	4.83E-08	3.52E-05	8.01E-07	0.00E+00
396.808	35	0.00E+00	0.00E+00	0.00E+00	2.65E-07	2.17E-05	1.76E-07	0.00E+00
398.681	36	0.00E+00	0.00E+00	0.00E+00	9.48E-07	1.31E-05	3.33E-08	0.00E+00
400.555	37	0.00E+00	0.00E+00	0.00E+00	2.53E-06	7.81E-06	0.00E+00	0.00E+00
402.429	38	0.00E+00	0.00E+00	0.00E+00	5.40E-06	4.57E-06	0.00E+00	0.00E+00
404.303	39	0.00E+00	0.00E+00	0.00E+00	9.30E-06	2.64E-06	0.00E+00	0.00E+00
406.177	40	0.00E+00	0.00E+00	0.00E+00	1.30E-05	1.51E-06	0.00E+00	0.00E+00
408.05	41	0.00E+00	0.00E+00	0.00E+00	1.53E-05	8.61E-07	0.00E+00	0.00E+00
409.924	42	0.00E+00	0.00E+00	0.00E+00	1.58E-05	4.87E-07	0.00E+00	0.00E+00
411.798	43	0.00E+00	0.00E+00	2.51E-11	1.48E-05	2.73E-07	0.00E+00	0.00E+00
413.672	44	0.00E+00	0.00E+00	2.89E-10	1.28E-05	1.51E-07	0.00E+00	0.00E+00
415.546	45	0.00E+00	0.00E+00	1.91E-09	1.04E-05	8.00E-08	0.00E+00	0.00E+00
417.419	46	0.00E+00	0.00E+00	8.44E-09	8.14E-06	3.66E-08	0.00E+00	0.00E+00
419.293	47	0.00E+00	0.00E+00	2.73E-08	6.10E-06	6.86E-09	0.00E+00	0.00E+00
421.167	48	0.00E+00	0.00E+00	6.87E-08	4.44E-06	0.00E+00	0.00E+00	0.00E+00
423.041	49	0.00E+00	0.00E+00	1.37E-07	3.16E-06	0.00E+00	0.00E+00	0.00E+00
424.914	50	0.00E+00	0.00E+00	2.24E-07	2.20E-06	0.00E+00	0.00E+00	0.00E+00
426.788	51	0.00E+00	0.00E+00	3.10E-07	1.50E-06	0.00E+00	0.00E+00	0.00E+00
428.662	52	0.00E+00	0.00E+00	3.77E-07	1.01E-06	0.00E+00	0.00E+00	0.00E+00
430.536	53	0.00E+00	0.00E+00	4.13E-07	6.76E-07	0.00E+00	0.00E+00	0.00E+00
432.41	54	0.00E+00	0.00E+00	4.18E-07	4.46E-07	0.00E+00	0.00E+00	0.00E+00
434.283	55	0.00E+00	2.22E-13	3.96E-07	2.92E-07	0.00E+00	0.00E+00	0.00E+00
436.157	56	0.00E+00	2.22E-12	3.55E-07	1.90E-07	0.00E+00	0.00E+00	0.00E+00
438.031	57	0.00E+00	1.48E-11	3.06E-07	1.23E-07	0.00E+00	0.00E+00	0.00E+00
439.905	58	0.00E+00	7.06E-11	2.54E-07	7.88E-08	0.00E+00	0.00E+00	0.00E+00
443.652	60	0.00E+00	7.57E-10	1.60E-07	3.21E-08	0.00E+00	0.00E+00	0.00E+00
443.652	60	0.00E+00	7.57E-10	1.60E-07	3.21E-08	0.00E+00	0.00E+00	0.00E+00
445.526	61	0.00E+00	1.84E-09	1.23E-07	2.02E-08	0.00E+00	0.00E+00	0.00E+00
447.4	62	0.00E+00	3.80E-09	9.26E-08	1.25E-08	0.00E+00	0.00E+00	0.00E+00
449.274	63	0.00E+00	6.76E-09	6.86E-08	7.77E-09	0.00E+00	0.00E+00	0.00E+00
451.147	64	0.00E+00	1.06E-08	5.02E-08	4.42E-09	0.00E+00	0.00E+00	0.00E+00
453.021	65	0.00E+00	1.48E-08	3.63E-08	2.35E-09	0.00E+00	0.00E+00	0.00E+00
454.895	66	2.71E-15	1.89E-08	2.59E-08	4.90E-10	0.00E+00	0.00E+00	0.00E+00
456.769	67	2.51E-14	2.24E-08	1.84E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
