E_lab	E*/MeV	189At	190At	191At	192At	193At	194At	195At
198.631	16	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.68E-09	2.61E-12
199.985	17	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.29E-08	4.40E-12
201.339	18	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.82E-08	2.49E-12
202.693	19	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.16E-07	0.00E+00
204.047	20	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.48E-13	5.44E-07	0.00E+00
205.402	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.55E-10	1.31E-06	0.00E+00
206.756	22	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.39E-08	2.97E-06	0.00E+00
208.11	23	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.70E-07	6.02E-06	0.00E+00
209.464	24	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.97E-06	9.92E-06	0.00E+00
210.818	25	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.94E-05	1.28E-05	0.00E+00
212.172	26	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.79E-05	1.36E-05	0.00E+00
213.527	27	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.09E-04	1.25E-05	0.00E+00
214.881	28	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.51E-04	1.04E-05	0.00E+00
216.235	29	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.70E-04	7.99E-06	0.00E+00
217.589	30	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.67E-04	5.74E-06	0.00E+00
218.943	31	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.47E-04	3.89E-06	0.00E+00
220.297	32	0.00E+00	0.00E+00	0.00E+00	1.62E-09	1.18E-04	2.51E-06	0.00E+00
221.652	33	0.00E+00	0.00E+00	0.00E+00	4.15E-08	8.92E-05	1.54E-06	0.00E+00
223.006	34	0.00E+00	0.00E+00	0.00E+00	3.87E-07	6.34E-05	7.94E-07	0.00E+00
224.36	35	0.00E+00	0.00E+00	0.00E+00	1.87E-06	4.30E-05	2.62E-07	0.00E+00
225.714	36	0.00E+00	0.00E+00	0.00E+00	5.87E-06	2.79E-05	0.00E+00	0.00E+00
227.068	37	0.00E+00	0.00E+00	0.00E+00	1.39E-05	1.75E-05	0.00E+00	0.00E+00
228.422	38	0.00E+00	0.00E+00	0.00E+00	2.58E-05	1.07E-05	0.00E+00	0.00E+00
229.777	39	0.00E+00	0.00E+00	0.00E+00	3.85E-05	6.34E-06	0.00E+00	0.00E+00
231.131	40	0.00E+00	0.00E+00	0.00E+00	4.76E-05	3.69E-06	0.00E+00	0.00E+00
232.485	41	0.00E+00	0.00E+00	0.00E+00	5.10E-05	2.12E-06	0.00E+00	0.00E+00
233.839	42	0.00E+00	0.00E+00	1.20E-10	4.88E-05	1.20E-06	0.00E+00	0.00E+00
235.193	43	0.00E+00	0.00E+00	1.35E-09	4.29E-05	6.76E-07	0.00E+00	0.00E+00
236.547	44	0.00E+00	0.00E+00	8.75E-09	3.52E-05	3.74E-07	0.00E+00	0.00E+00
237.902	45	0.00E+00	0.00E+00	3.78E-08	2.75E-05	1.99E-07	0.00E+00	0.00E+00
239.256	46	0.00E+00	0.00E+00	1.20E-07	2.06E-05	8.53E-08	0.00E+00	0.00E+00
240.61	47	0.00E+00	0.00E+00	2.95E-07	1.50E-05	8.07E-09	0.00E+00	0.00E+00
241.964	48	0.00E+00	0.00E+00	5.78E-07	1.06E-05	0.00E+00	0.00E+00	0.00E+00
243.318	49	0.00E+00	0.00E+00	9.27E-07	7.33E-06	0.00E+00	0.00E+00	0.00E+00
244.672	50	0.00E+00	0.00E+00	1.26E-06	4.99E-06	0.00E+00	0.00E+00	0.00E+00
246.027	51	0.00E+00	0.00E+00	1.51E-06	3.34E-06	0.00E+00	0.00E+00	0.00E+00
247.381	52	0.00E+00	0.00E+00	1.62E-06	2.21E-06	0.00E+00	0.00E+00	0.00E+00
248.735	53	0.00E+00	2.21E-13	1.62E-06	1.45E-06	0.00E+00	0.00E+00	0.00E+00
250.089	54	0.00E+00	3.28E-12	1.51E-06	9.42E-07	0.00E+00	0.00E+00	0.00E+00
251.443	55	0.00E+00	2.79E-11	1.33E-06	6.08E-07	0.00E+00	0.00E+00	0.00E+00
252.797	56	0.00E+00	1.57E-10	1.13E-06	3.89E-07	0.00E+00	0.00E+00	0.00E+00
254.152	57	0.00E+00	6.45E-10	9.22E-07	2.48E-07	0.00E+00	0.00E+00	0.00E+00
255.506	58	0.00E+00	2.07E-09	7.31E-07	1.58E-07	0.00E+00	0.00E+00	0.00E+00
256.86	59	0.00E+00	5.46E-09	5.66E-07	9.95E-08	0.00E+00	0.00E+00	0.00E+00
258.214	60	0.00E+00	1.21E-08	4.28E-07	6.23E-08	0.00E+00	0.00E+00	0.00E+00
259.568	61	0.00E+00	2.32E-08	3.18E-07	3.86E-08	0.00E+00	0.00E+00	0.00E+00
260.922	62	0.00E+00	3.89E-08	2.33E-07	2.34E-08	0.00E+00	0.00E+00	0.00E+00
262.277	63	0.00E+00	5.77E-08	1.68E-07	1.38E-08	0.00E+00	0.00E+00	0.00E+00


E_lab E* 192At_{Andrei}
232 41  40e-6


E_lab E* 192At_{Boris}
231.1   40  15e-6
232.9   41.3    57e-6


E_lab E* 193At_{Adam}
232.9 41.3 13e-6
