  E*/MeV   189At     190At     191At     192At     193At     194At     195At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.246E-11 0.195E-05 0.215E-10
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.927E-07 0.118E-04 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.123E-04 0.384E-04 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.164E-03 0.501E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.473E-03 0.378E-04 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.562E-03 0.208E-04 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.624E-08 0.419E-03 0.909E-05 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.140E-05 0.233E-03 0.325E-05 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.201E-04 0.106E-03 0.828E-06 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.934E-04 0.412E-04 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.198E-03 0.145E-04 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.600E-09 0.219E-03 0.477E-05 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.411E-07 0.165E-03 0.150E-05 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.532E-06 0.990E-04 0.436E-06 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.249E-05 0.517E-04 0.718E-07 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.542E-05 0.246E-04 0.000E+00 0.000E+00 0.000E+00
    52.0 0.000E+00 0.000E+00 0.703E-05 0.110E-04 0.000E+00 0.000E+00 0.000E+00
    54.0 0.000E+00 0.178E-10 0.658E-05 0.471E-05 0.000E+00 0.000E+00 0.000E+00
    56.0 0.000E+00 0.816E-09 0.496E-05 0.195E-05 0.000E+00 0.000E+00 0.000E+00
    58.0 0.000E+00 0.103E-07 0.324E-05 0.792E-06 0.000E+00 0.000E+00 0.000E+00
    60.0 0.000E+00 0.597E-07 0.191E-05 0.316E-06 0.000E+00 0.000E+00 0.000E+00
    62.0 0.000E+00 0.193E-06 0.104E-05 0.123E-06 0.000E+00 0.000E+00 0.000E+00
    64.0 0.621E-13 0.390E-06 0.538E-06 0.450E-07 0.000E+00 0.000E+00 0.000E+00
    66.0 0.439E-11 0.555E-06 0.266E-06 0.118E-07 0.000E+00 0.000E+00 0.000E+00
    68.0 0.867E-10 0.614E-06 0.128E-06 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    70.0 0.708E-09 0.566E-06 0.598E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    
    
      E*/MeV   188Po     189Po     190Po     191Po     192Po     193Po     194Po  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.121E-06 0.216E-05
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.739E-05 0.167E-04
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.172E-03 0.636E-04
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.134E-07 0.126E-02 0.960E-04
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.922E-06 0.418E-02 0.837E-04
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.204E-04 0.750E-02 0.523E-04
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.193E-03 0.839E-02 0.256E-04
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.896E-03 0.660E-02 0.102E-04
    36.0 0.000E+00 0.000E+00 0.000E+00 0.433E-08 0.225E-02 0.400E-02 0.345E-05
    38.0 0.000E+00 0.000E+00 0.000E+00 0.207E-06 0.337E-02 0.200E-02 0.831E-06
    40.0 0.000E+00 0.000E+00 0.000E+00 0.127E-05 0.338E-02 0.870E-03 0.000E+00
    42.0 0.000E+00 0.000E+00 0.000E+00 0.533E-05 0.255E-02 0.344E-03 0.000E+00
    44.0 0.000E+00 0.000E+00 0.000E+00 0.235E-04 0.158E-02 0.128E-03 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.784E-04 0.857E-03 0.457E-04 0.000E+00
    48.0 0.000E+00 0.000E+00 0.261E-09 0.181E-03 0.423E-03 0.159E-04 0.000E+00
    50.0 0.000E+00 0.000E+00 0.706E-08 0.296E-03 0.195E-03 0.536E-05 0.000E+00
    52.0 0.000E+00 0.000E+00 0.934E-07 0.362E-03 0.860E-04 0.174E-05 0.000E+00
    54.0 0.000E+00 0.000E+00 0.682E-06 0.353E-03 0.365E-04 0.489E-06 0.000E+00
    56.0 0.000E+00 0.000E+00 0.298E-05 0.288E-03 0.151E-04 0.000E+00 0.000E+00
