  E*/MeV   189At     190At     191At     BF=0.62     193At     194At     195At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.548E-12 0.544E-06 0.000E+00
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.239E-07 0.297E-05 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.397E-05 0.992E-05 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.579E-04 0.136E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.151E-03 0.104E-04 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.167E-03 0.574E-05 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.162E-08 0.118E-03 0.251E-05 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.387E-06 0.634E-04 0.794E-06 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.587E-05 0.279E-04 0.000E+00 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.258E-04 0.107E-04 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.476E-04 0.369E-05 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.120E-09 0.488E-04 0.120E-05 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.875E-08 0.352E-04 0.374E-06 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.120E-06 0.206E-04 0.853E-07 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.578E-06 0.106E-04 0.000E+00 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.126E-05 0.499E-05 0.000E+00 0.000E+00 0.000E+00
    52.0 0.000E+00 0.000E+00 0.162E-05 0.221E-05 0.000E+00 0.000E+00 0.000E+00
    54.0 0.000E+00 0.328E-11 0.151E-05 0.942E-06 0.000E+00 0.000E+00 0.000E+00
    56.0 0.000E+00 0.157E-09 0.113E-05 0.389E-06 0.000E+00 0.000E+00 0.000E+00
    58.0 0.000E+00 0.207E-08 0.731E-06 0.158E-06 0.000E+00 0.000E+00 0.000E+00
    60.0 0.000E+00 0.121E-07 0.428E-06 0.623E-07 0.000E+00 0.000E+00 0.000E+00
    62.0 0.000E+00 0.389E-07 0.233E-06 0.234E-07 0.000E+00 0.000E+00 0.000E+00
    64.0 0.000E+00 0.774E-07 0.120E-06 0.697E-08 0.000E+00 0.000E+00 0.000E+00
    66.0 0.711E-12 0.109E-06 0.593E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    68.0 0.139E-10 0.120E-06 0.284E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    70.0 0.107E-09 0.110E-06 0.133E-07 0.000E+00 0.000E+00 0.000E+00 0.000E+00
    
    
      E*/MeV   189At     190At     191At     BF=0.63     193At     194At     195At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.668E-12 0.636E-06 0.000E+00
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.286E-07 0.355E-05 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.471E-05 0.121E-04 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.680E-04 0.168E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.178E-03 0.128E-04 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.199E-03 0.706E-05 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.203E-08 0.143E-03 0.308E-05 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.479E-06 0.773E-04 0.101E-05 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.723E-05 0.342E-04 0.000E+00 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.328E-04 0.131E-04 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.644E-04 0.455E-05 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.157E-09 0.680E-04 0.148E-05 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.113E-07 0.498E-04 0.460E-06 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.154E-06 0.293E-04 0.110E-06 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.740E-06 0.151E-04 0.000E+00 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.162E-05 0.712E-05 0.000E+00 0.000E+00 0.000E+00
    52.0 0.000E+00 0.000E+00 0.210E-05 0.316E-05 0.000E+00 0.000E+00 0.000E+00
