    E*/MeV   188Po     189Po     190Po     191Po     BF=0.62     193Po     194Po  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.256E-07 0.360E-06
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.180E-05 0.247E-05
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.511E-04 0.974E-05
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.197E-08 0.389E-03 0.150E-04
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.164E-06 0.117E-02 0.125E-04
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.410E-05 0.186E-02 0.735E-05
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.414E-04 0.186E-02 0.337E-05
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.193E-03 0.133E-02 0.122E-05
    36.0 0.000E+00 0.000E+00 0.000E+00 0.691E-09 0.456E-03 0.744E-03 0.257E-06
    38.0 0.000E+00 0.000E+00 0.000E+00 0.175E-07 0.623E-03 0.348E-03 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.120E-06 0.570E-03 0.143E-03 0.000E+00
    42.0 0.000E+00 0.000E+00 0.000E+00 0.794E-06 0.396E-03 0.539E-04 0.000E+00
    44.0 0.000E+00 0.000E+00 0.000E+00 0.423E-05 0.229E-03 0.192E-04 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.148E-04 0.117E-03 0.660E-05 0.000E+00
    48.0 0.000E+00 0.000E+00 0.298E-10 0.341E-04 0.549E-04 0.219E-05 0.000E+00
    50.0 0.000E+00 0.000E+00 0.887E-09 0.541E-04 0.244E-04 0.689E-06 0.000E+00
    52.0 0.000E+00 0.000E+00 0.123E-07 0.633E-04 0.103E-04 0.175E-06 0.000E+00
    54.0 0.000E+00 0.000E+00 0.892E-07 0.589E-04 0.426E-05 0.000E+00 0.000E+00
    56.0 0.000E+00 0.000E+00 0.371E-06 0.460E-04 0.171E-05 0.000E+00 0.000E+00
    58.0 0.000E+00 0.000E+00 0.967E-06 0.316E-04 0.667E-06 0.000E+00 0.000E+00
    60.0 0.000E+00 0.139E-10 0.174E-05 0.197E-04 0.252E-06 0.000E+00 0.000E+00
    62.0 0.000E+00 0.116E-09 0.234E-05 0.114E-04 0.838E-07 0.000E+00 0.000E+00
    64.0 0.000E+00 0.654E-09 0.252E-05 0.624E-05 0.656E-08 0.000E+00 0.000E+00
    66.0 0.000E+00 0.351E-08 0.230E-05 0.326E-05 0.000E+00 0.000E+00 0.000E+00
    68.0 0.000E+00 0.153E-07 0.184E-05 0.164E-05 0.000E+00 0.000E+00 0.000E+00
    70.0 0.000E+00 0.489E-07 0.133E-05 0.804E-06 0.000E+00 0.000E+00 0.000E+00
    
  
  E*/MeV   188Po     189Po     190Po     191Po     BF=0.63     193Po     194Po  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.314E-07 0.480E-06
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.218E-05 0.337E-05
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.612E-04 0.134E-04
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.269E-08 0.466E-03 0.208E-04
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.218E-06 0.142E-02 0.175E-04
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.535E-05 0.230E-02 0.104E-04
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.534E-04 0.233E-02 0.480E-05
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.248E-03 0.169E-02 0.178E-05
    36.0 0.000E+00 0.000E+00 0.000E+00 0.983E-09 0.590E-03 0.960E-03 0.469E-06
    38.0 0.000E+00 0.000E+00 0.000E+00 0.317E-07 0.815E-03 0.454E-03 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.204E-06 0.754E-03 0.188E-03 0.000E+00
    42.0 0.000E+00 0.000E+00 0.000E+00 0.112E-05 0.530E-03 0.715E-04 0.000E+00
    44.0 0.000E+00 0.000E+00 0.000E+00 0.566E-05 0.309E-03 0.256E-04 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.195E-04 0.159E-03 0.887E-05 0.000E+00
