E_lab	E*/MeV	189At	190At	51V+144Sm->191At	51V+144Sm->192At	193At	194At	195At
198.631	16	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.07E-09	1.46E-12
199.985	17	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.91E-08	1.98E-12
201.339	18	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.30E-08	0.00E+00
202.693	19	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.69E-07	0.00E+00
204.047	20	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.70E-13	4.16E-07	0.00E+00
205.402	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.44E-10	9.77E-07	0.00E+00
206.756	22	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.66E-08	2.18E-06	0.00E+00
208.11	23	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.31E-07	4.32E-06	0.00E+00
209.464	24	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.84E-06	6.96E-06	0.00E+00
210.818	25	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.40E-05	8.78E-06	0.00E+00
212.172	26	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.17E-05	9.17E-06	0.00E+00
213.527	27	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.74E-05	8.35E-06	0.00E+00
214.881	28	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.06E-04	6.88E-06	0.00E+00
216.235	29	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.19E-04	5.25E-06	0.00E+00
217.589	30	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.16E-04	3.76E-06	0.00E+00
218.943	31	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.01E-04	2.55E-06	0.00E+00
220.297	32	0.00E+00	0.00E+00	0.00E+00	1.03E-09	8.15E-05	1.65E-06	0.00E+00
221.652	33	0.00E+00	0.00E+00	0.00E+00	2.67E-08	6.11E-05	9.97E-07	0.00E+00
223.006	34	0.00E+00	0.00E+00	0.00E+00	2.52E-07	4.32E-05	4.86E-07	0.00E+00
224.36	35	0.00E+00	0.00E+00	0.00E+00	1.23E-06	2.92E-05	0.00E+00	0.00E+00
225.714	36	0.00E+00	0.00E+00	0.00E+00	3.89E-06	1.89E-05	0.00E+00	0.00E+00
227.068	37	0.00E+00	0.00E+00	0.00E+00	9.25E-06	1.18E-05	0.00E+00	0.00E+00
228.422	38	0.00E+00	0.00E+00	0.00E+00	1.72E-05	7.15E-06	0.00E+00	0.00E+00
229.777	39	0.00E+00	0.00E+00	0.00E+00	2.55E-05	4.24E-06	0.00E+00	0.00E+00
231.131	40	0.00E+00	0.00E+00	0.00E+00	3.13E-05	2.46E-06	0.00E+00	0.00E+00
232.485	41	0.00E+00	0.00E+00	0.00E+00	3.33E-05	1.41E-06	0.00E+00	0.00E+00
233.839	42	0.00E+00	0.00E+00	7.01E-11	3.17E-05	8.01E-07	0.00E+00	0.00E+00
235.193	43	0.00E+00	0.00E+00	7.97E-10	2.77E-05	4.49E-07	0.00E+00	0.00E+00
236.547	44	0.00E+00	0.00E+00	5.20E-09	2.27E-05	2.49E-07	0.00E+00	0.00E+00
237.902	45	0.00E+00	0.00E+00	2.26E-08	1.76E-05	1.27E-07	0.00E+00	0.00E+00
239.256	46	0.00E+00	0.00E+00	7.17E-08	1.32E-05	4.30E-08	0.00E+00	0.00E+00
240.61	47	0.00E+00	0.00E+00	1.76E-07	9.56E-06	0.00E+00	0.00E+00	0.00E+00
241.964	48	0.00E+00	0.00E+00	3.43E-07	6.74E-06	0.00E+00	0.00E+00	0.00E+00
243.318	49	0.00E+00	0.00E+00	5.48E-07	4.66E-06	0.00E+00	0.00E+00	0.00E+00
244.672	50	0.00E+00	0.00E+00	7.43E-07	3.16E-06	0.00E+00	0.00E+00	0.00E+00
246.027	51	0.00E+00	0.00E+00	8.86E-07	2.12E-06	0.00E+00	0.00E+00	0.00E+00
247.381	52	0.00E+00	0.00E+00	9.54E-07	1.40E-06	0.00E+00	0.00E+00	0.00E+00
248.735	53	0.00E+00	1.24E-13	9.49E-07	9.16E-07	0.00E+00	0.00E+00	0.00E+00
250.089	54	0.00E+00	1.85E-12	8.85E-07	5.94E-07	0.00E+00	0.00E+00	0.00E+00
251.443	55	0.00E+00	1.59E-11	7.83E-07	3.83E-07	0.00E+00	0.00E+00	0.00E+00
252.797	56	0.00E+00	9.01E-11	6.64E-07	2.45E-07	0.00E+00	0.00E+00	0.00E+00
254.152	57	0.00E+00	3.73E-10	5.43E-07	1.56E-07	0.00E+00	0.00E+00	0.00E+00
255.506	58	0.00E+00	1.20E-09	4.31E-07	9.89E-08	0.00E+00	0.00E+00	0.00E+00
256.86	59	0.00E+00	3.17E-09	3.34E-07	6.24E-08	0.00E+00	0.00E+00	0.00E+00
258.214	60	0.00E+00	7.06E-09	2.53E-07	3.90E-08	0.00E+00	0.00E+00	0.00E+00
259.568	61	0.00E+00	1.35E-08	1.88E-07	2.43E-08	0.00E+00	0.00E+00	0.00E+00
260.922	62	0.00E+00	2.24E-08	1.38E-07	1.45E-08	0.00E+00	0.00E+00	0.00E+00
262.277	63	0.00E+00	3.31E-08	9.95E-08	8.30E-09	0.00E+00	0.00E+00	0.00E+00
263.631	64	0.00E+00	4.43E-08	7.11E-08	3.68E-09	0.00E+00	0.00E+00	0.00E+00
264.985	65	5.45E-14	5.44E-08	5.02E-08	7.94E-10	0.00E+00	0.00E+00	0.00E+00
266.339	66	3.85E-13	6.21E-08	3.52E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
267.693	67	1.97E-12	6.68E-08	2.45E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
269.047	68	7.64E-12	6.82E-08	1.69E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
270.402	69	2.35E-11	6.67E-08	1.16E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
271.756	70	5.90E-11	6.27E-08	7.90E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
273.11	71	1.25E-10	5.71E-08	5.36E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
274.464	72	2.30E-10	5.05E-08	3.62E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
275.818	73	3.74E-10	4.35E-08	2.40E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
277.172	74	5.51E-10	3.67E-08	1.56E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
278.527	75	7.45E-10	3.04E-08	9.23E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00
279.881	76	9.38E-10	2.48E-08	5.38E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00
281.235	77	1.11E-09	1.98E-08	1.83E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00
282.589	78	1.25E-09	1.57E-08	4.70E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00
283.943	79	1.34E-09	1.23E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00


E_lab E* "192At_{Andreyev, SHIP}"
232 41  40e-6 10e-6


E_lab E* 192At_{Boris}
231.1   40  15e-6
232.9   41.3    57e-6


E_lab	E*/MeV	189At	190At	54Fe+141Pr->191At	54Fe+141Pr->192At	193At	194At	195At
219.603	20	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.20E-15	1.39E-09	0.00E+00
220.986	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.41E-13	3.42E-09	0.00E+00
222.369	22	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.29E-11	8.24E-09	0.00E+00
223.752	23	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.56E-09	1.95E-08	0.00E+00
225.135	24	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.07E-08	4.48E-08	0.00E+00
226.518	25	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.95E-07	9.78E-08	0.00E+00
227.901	26	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.20E-06	1.97E-07	0.00E+00
229.284	27	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.21E-06	3.37E-07	0.00E+00
230.667	28	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.28E-06	4.63E-07	0.00E+00
232.05	29	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.47E-05	5.17E-07	0.00E+00
233.433	30	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.85E-05	4.95E-07	0.00E+00
234.816	31	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.01E-05	4.23E-07	0.00E+00
236.199	32	0.00E+00	0.00E+00	0.00E+00	2.80E-10	1.95E-05	3.30E-07	0.00E+00
237.582	33	0.00E+00	0.00E+00	0.00E+00	8.58E-09	1.73E-05	2.36E-07	0.00E+00
238.965	34	0.00E+00	0.00E+00	0.00E+00	9.44E-08	1.43E-05	1.36E-07	0.00E+00
240.348	35	0.00E+00	0.00E+00	0.00E+00	5.31E-07	1.11E-05	3.17E-09	0.00E+00
241.731	36	0.00E+00	0.00E+00	0.00E+00	1.91E-06	8.19E-06	0.00E+00	0.00E+00
243.114	37	0.00E+00	0.00E+00	0.00E+00	5.09E-06	5.76E-06	0.00E+00	0.00E+00
244.497	38	0.00E+00	0.00E+00	0.00E+00	1.04E-05	3.89E-06	0.00E+00	0.00E+00
245.88	39	0.00E+00	0.00E+00	0.00E+00	1.68E-05	2.53E-06	0.00E+00	0.00E+00
247.263	40	0.00E+00	0.00E+00	0.00E+00	2.22E-05	1.60E-06	0.00E+00	0.00E+00
248.646	41	0.00E+00	0.00E+00	0.00E+00	2.51E-05	9.80E-07	0.00E+00	0.00E+00
250.029	42	0.00E+00	0.00E+00	5.75E-11	2.51E-05	5.87E-07	0.00E+00	0.00E+00
251.412	43	0.00E+00	0.00E+00	6.77E-10	2.28E-05	3.42E-07	0.00E+00	0.00E+00
