E_lab	E*/MeV	189At	190At	191At	192At	193At	194At	195At
219.603	20.00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.85E-16	1.24E-09	0.00E+00
220.986	21.00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.97E-13	3.04E-09	0.00E+00
222.369	22.00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.26E-11	7.25E-09	0.00E+00
223.752	23.00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.31E-09	1.70E-08	0.00E+00
225.135	24.00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.75E-08	3.89E-08	0.00E+00
226.518	25.00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.65E-07	8.44E-08	0.00E+00
227.901	26.00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.02E-06	1.69E-07	0.00E+00
229.284	27.00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.54E-06	2.89E-07	0.00E+00
230.667	28.00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.72E-06	3.95E-07	0.00E+00
232.05	29.00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.20E-05	4.41E-07	0.00E+00
233.433	30.00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.50E-05	4.22E-07	0.00E+00
234.816	31.00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.61E-05	3.60E-07	0.00E+00
236.199	32.00	0.00E+00	0.00E+00	0.00E+00	2.23E-10	1.54E-05	2.81E-07	0.00E+00
237.582	33.00	0.00E+00	0.00E+00	0.00E+00	6.89E-09	1.36E-05	1.97E-07	0.00E+00
238.965	34.00	0.00E+00	0.00E+00	0.00E+00	7.61E-08	1.12E-05	1.07E-07	0.00E+00
240.348	35.00	0.00E+00	0.00E+00	0.00E+00	4.30E-07	8.61E-06	0.00E+00	0.00E+00
241.731	36.00	0.00E+00	0.00E+00	0.00E+00	1.55E-06	6.30E-06	0.00E+00	0.00E+00
243.114	37.00	0.00E+00	0.00E+00	0.00E+00	4.14E-06	4.41E-06	0.00E+00	0.00E+00
244.497	38.00	0.00E+00	0.00E+00	0.00E+00	8.48E-06	2.96E-06	0.00E+00	0.00E+00
245.88	39.00	0.00E+00	0.00E+00	0.00E+00	1.36E-05	1.92E-06	0.00E+00	0.00E+00
247.263	40.00	0.00E+00	0.00E+00	0.00E+00	1.78E-05	1.21E-06	0.00E+00	0.00E+00
248.646	41.00	0.00E+00	0.00E+00	0.00E+00	2.00E-05	7.41E-07	0.00E+00	0.00E+00
250.029	42.00	0.00E+00	0.00E+00	4.39E-11	1.99E-05	4.41E-07	0.00E+00	0.00E+00
251.412	43.00	0.00E+00	0.00E+00	5.20E-10	1.80E-05	2.58E-07	0.00E+00	0.00E+00
252.795	44.00	0.00E+00	0.00E+00	3.49E-09	1.52E-05	1.46E-07	0.00E+00	0.00E+00
254.178	45.00	0.00E+00	0.00E+00	1.54E-08	1.21E-05	7.56E-08	0.00E+00	0.00E+00
255.561	46.00	0.00E+00	0.00E+00	4.92E-08	9.19E-06	1.39E-08	0.00E+00	0.00E+00
256.944	47.00	0.00E+00	0.00E+00	1.20E-07	6.74E-06	0.00E+00	0.00E+00	0.00E+00
258.327	48.00	0.00E+00	0.00E+00	2.33E-07	4.79E-06	0.00E+00	0.00E+00	0.00E+00
259.71	49.00	0.00E+00	0.00E+00	3.70E-07	3.33E-06	0.00E+00	0.00E+00	0.00E+00
261.093	50.00	0.00E+00	0.00E+00	5.00E-07	2.26E-06	0.00E+00	0.00E+00	0.00E+00
262.476	51.00	0.00E+00	0.00E+00	5.94E-07	1.52E-06	0.00E+00	0.00E+00	0.00E+00
263.859	52.00	0.00E+00	0.00E+00	6.39E-07	1.00E-06	0.00E+00	0.00E+00	0.00E+00
265.242	53.00	0.00E+00	8.56E-14	6.36E-07	6.57E-07	0.00E+00	0.00E+00	0.00E+00
266.625	54.00	0.00E+00	1.28E-12	5.93E-07	4.26E-07	0.00E+00	0.00E+00	0.00E+00
268.008	55.00	0.00E+00	1.10E-11	5.25E-07	2.74E-07	0.00E+00	0.00E+00	0.00E+00
269.391	56.00	0.00E+00	6.30E-11	4.45E-07	1.76E-07	0.00E+00	0.00E+00	0.00E+00
270.774	57.00	0.00E+00	2.61E-10	3.65E-07	1.12E-07	0.00E+00	0.00E+00	0.00E+00
272.157	58.00	0.00E+00	8.38E-10	2.90E-07	7.09E-08	0.00E+00	0.00E+00	0.00E+00
273.54	59.00	0.00E+00	2.18E-09	2.25E-07	4.46E-08	0.00E+00	0.00E+00	0.00E+00
274.923	60.00	0.00E+00	4.75E-09	1.70E-07	2.79E-08	0.00E+00	0.00E+00	0.00E+00
276.306	61.00	0.00E+00	8.82E-09	1.27E-07	1.74E-08	0.00E+00	0.00E+00	0.00E+00
277.689	62.00	0.00E+00	1.43E-08	9.31E-08	1.03E-08	0.00E+00	0.00E+00	0.00E+00
279.071	63.00	0.00E+00	2.06E-08	6.74E-08	5.74E-09	0.00E+00	0.00E+00	0.00E+00
280.454	64.00	0.00E+00	2.69E-08	4.82E-08	2.59E-09	0.00E+00	0.00E+00	0.00E+00
281.837	65.00	3.70E-14	3.24E-08	3.41E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
283.22	66.00	2.62E-13	3.64E-08	2.39E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
284.603	67.00	1.34E-12	3.86E-08	1.66E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00


E_lab E* 191At_{RITU}
260 49 0.3e-6
