E_lab	E*/MeV	191At	192At	BF=0.65	194At	195At	196At	197At
246.21	36	0.00E+00	0.00E+00	0.00E+00	1.26E-04	4.61E-04	4.08E-06	0.00E+00
247.60	37	0.00E+00	0.00E+00	0.00E+00	2.58E-04	3.03E-04	2.11E-06	0.00E+00
249.00	38	0.00E+00	0.00E+00	0.00E+00	4.45E-04	1.92E-04	8.59E-07	0.00E+00
250.40	39	0.00E+00	0.00E+00	0.00E+00	6.46E-04	1.18E-04	0.00E+00	0.00E+00
251.80	40	0.00E+00	0.00E+00	1.05E-10	7.94E-04	7.05E-05	0.00E+00	0.00E+00
253.19	41	0.00E+00	0.00E+00	2.79E-09	8.48E-04	4.13E-05	0.00E+00	0.00E+00
254.59	42	0.00E+00	0.00E+00	3.04E-08	8.10E-04	2.38E-05	0.00E+00	0.00E+00
255.99	43	0.00E+00	0.00E+00	1.89E-07	7.10E-04	1.35E-05	0.00E+00	0.00E+00
257.38	44	0.00E+00	0.00E+00	7.80E-07	5.82E-04	7.58E-06	0.00E+00	0.00E+00
258.78	45	0.00E+00	0.00E+00	2.38E-06	4.52E-04	4.21E-06	0.00E+00	0.00E+00
260.18	46	0.00E+00	0.00E+00	5.75E-06	3.37E-04	2.32E-06	0.00E+00	0.00E+00
261.58	47	0.00E+00	0.00E+00	1.14E-05	2.43E-04	1.22E-06	0.00E+00	0.00E+00
262.97	48	0.00E+00	0.00E+00	1.87E-05	1.71E-04	6.35E-07	0.00E+00	0.00E+00
264.37	49	0.00E+00	0.00E+00	2.63E-05	1.17E-04	2.84E-07	0.00E+00	0.00E+00
265.77	50	0.00E+00	0.00E+00	3.23E-05	7.90E-05	6.35E-08	0.00E+00	0.00E+00
267.16	51	0.00E+00	0.00E+00	3.56E-05	5.25E-05	0.00E+00	0.00E+00	0.00E+00
268.56	52	0.00E+00	9.54E-12	3.60E-05	3.45E-05	0.00E+00	0.00E+00	0.00E+00
269.96	53	0.00E+00	1.28E-10	3.39E-05	2.24E-05	0.00E+00	0.00E+00	0.00E+00
271.36	54	0.00E+00	1.00E-09	3.02E-05	1.44E-05	0.00E+00	0.00E+00	0.00E+00
272.75	55	0.00E+00	5.24E-09	2.57E-05	9.24E-06	0.00E+00	0.00E+00	0.00E+00
274.15	56	0.00E+00	2.00E-08	2.10E-05	5.87E-06	0.00E+00	0.00E+00	0.00E+00
275.55	57	0.00E+00	6.02E-08	1.66E-05	3.71E-06	0.00E+00	0.00E+00	0.00E+00
276.95	58	0.00E+00	1.50E-07	1.28E-05	2.34E-06	0.00E+00	0.00E+00	0.00E+00
279.74	60	0.00E+00	5.91E-07	7.16E-06	9.15E-07	0.00E+00	0.00E+00	0.00E+00
279.74	60	0.00E+00	5.91E-07	7.16E-06	9.15E-07	0.00E+00	0.00E+00	0.00E+00
281.14	61	0.00E+00	9.62E-07	5.21E-06	5.68E-07	0.00E+00	0.00E+00	0.00E+00
282.53	62	0.00E+00	1.40E-06	3.73E-06	3.51E-07	0.00E+00	0.00E+00	0.00E+00
283.93	63	1.78E-12	1.83E-06	2.64E-06	2.16E-07	0.00E+00	0.00E+00	0.00E+00
285.33	64	1.32E-11	2.22E-06	1.85E-06	1.29E-07	0.00E+00	0.00E+00	0.00E+00
286.73	65	7.15E-11	2.49E-06	1.29E-06	7.64E-08	0.00E+00	0.00E+00	0.00E+00
288.12	66	2.97E-10	2.63E-06	8.86E-07	3.98E-08	0.00E+00	0.00E+00	0.00E+00
289.52	67	9.86E-10	2.65E-06	6.06E-07	1.62E-08	0.00E+00	0.00E+00	0.00E+00
290.92	68	2.68E-09	2.54E-06	4.12E-07	4.09E-09	0.00E+00	0.00E+00	0.00E+00
292.31	69	6.12E-09	2.35E-06	2.78E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
293.71	70	1.20E-08	2.11E-06	1.87E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
295.11	71	2.07E-08	1.83E-06	1.25E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
296.51	72	3.19E-08	1.56E-06	8.35E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
297.90	73	4.48E-08	1.29E-06	5.53E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
299.30	74	5.81E-08	1.05E-06	3.61E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
300.70	75	7.04E-08	8.45E-07	2.37E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
302.09	76	8.04E-08	6.67E-07	1.49E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
303.49	77	8.74E-08	5.20E-07	9.08E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
304.89	78	9.09E-08	4.00E-07	4.66E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
306.29	79	9.10E-08	3.05E-07	2.23E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
307.68	80	8.82E-08	2.30E-07	9.13E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00
								
								
E_lab	E*/MeV	191At	192At	BF=0.66	194At	195At	196At	197At
246.21	36.00	0.00E+00	0.00E+00	0.00E+00	1.57E-04	6.05E-04	5.37E-06	0.00E+00
247.60	37.00	0.00E+00	0.00E+00	0.00E+00	3.19E-04	3.99E-04	2.84E-06	0.00E+00
249.00	38.00	0.00E+00	0.00E+00	0.00E+00	5.52E-04	2.53E-04	1.27E-06	0.00E+00
250.40	39.00	0.00E+00	0.00E+00	0.00E+00	8.04E-04	1.56E-04	0.00E+00	0.00E+00
251.80	40.00	0.00E+00	0.00E+00	1.42E-10	9.93E-04	9.36E-05	0.00E+00	0.00E+00
253.19	41.00	0.00E+00	0.00E+00	3.73E-09	1.06E-03	5.50E-05	0.00E+00	0.00E+00
254.59	42.00	0.00E+00	0.00E+00	4.05E-08	1.02E-03	3.17E-05	0.00E+00	0.00E+00
255.99	43.00	0.00E+00	0.00E+00	2.50E-07	8.97E-04	1.81E-05	0.00E+00	0.00E+00
257.38	44.00	0.00E+00	0.00E+00	1.03E-06	7.37E-04	1.02E-05	0.00E+00	0.00E+00
258.78	45.00	0.00E+00	0.00E+00	3.12E-06	5.75E-04	5.64E-06	0.00E+00	0.00E+00
260.18	46.00	0.00E+00	0.00E+00	7.54E-06	4.30E-04	3.13E-06	0.00E+00	0.00E+00
261.58	47.00	0.00E+00	0.00E+00	1.49E-05	3.11E-04	1.69E-06	0.00E+00	0.00E+00
262.97	48.00	0.00E+00	0.00E+00	2.48E-05	2.19E-04	8.82E-07	0.00E+00	0.00E+00
264.37	49.00	0.00E+00	0.00E+00	3.50E-05	1.50E-04	4.35E-07	0.00E+00	0.00E+00
265.77	50.00	0.00E+00	0.00E+00	4.33E-05	1.02E-04	1.45E-07	0.00E+00	0.00E+00
267.16	51.00	0.00E+00	0.00E+00	4.79E-05	6.78E-05	0.00E+00	0.00E+00	0.00E+00
268.56	52.00	0.00E+00	1.30E-11	4.87E-05	4.46E-05	0.00E+00	0.00E+00	0.00E+00
269.96	53.00	0.00E+00	1.73E-10	4.61E-05	2.90E-05	0.00E+00	0.00E+00	0.00E+00
271.36	54.00	0.00E+00	1.35E-09	4.12E-05	1.87E-05	0.00E+00	0.00E+00	0.00E+00
272.75	55.00	0.00E+00	7.05E-09	3.51E-05	1.20E-05	0.00E+00	0.00E+00	0.00E+00
274.15	56.00	0.00E+00	2.68E-08	2.88E-05	7.64E-06	0.00E+00	0.00E+00	0.00E+00
275.55	57.00	0.00E+00	8.02E-08	2.29E-05	4.84E-06	0.00E+00	0.00E+00	0.00E+00
276.95	58.00	0.00E+00	1.99E-07	1.77E-05	3.05E-06	0.00E+00	0.00E+00	0.00E+00
279.74	60.00	0.00E+00	7.79E-07	9.90E-06	1.20E-06	0.00E+00	0.00E+00	0.00E+00
279.74	60.00	0.00E+00	7.79E-07	9.90E-06	1.20E-06	0.00E+00	0.00E+00	0.00E+00
