E_lab	E*/MeV	191At	192At	BF=0.65	BF=0.65	195At	196At	197At
223.852	20	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.90E-11	9.43E-07	2.25E-10
225.249	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.99E-09	2.63E-06	3.40E-10
226.647	22	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.73E-07	6.93E-06	1.17E-10
228.044	23	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.25E-06	1.71E-05	0.00E+00
229.441	24	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.86E-05	3.76E-05	0.00E+00
230.838	25	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	6.63E-05	0.00E+00
232.235	26	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.44E-04	8.97E-05	0.00E+00
233.632	27	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.85E-04	9.82E-05	0.00E+00
235.03	28	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.28E-03	9.23E-05	0.00E+00
236.427	29	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.64E-03	7.79E-05	0.00E+00
237.824	30	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.79E-03	6.05E-05	0.00E+00
239.221	31	0.00E+00	0.00E+00	0.00E+00	1.35E-08	1.72E-03	4.40E-05	0.00E+00
240.618	32	0.00E+00	0.00E+00	0.00E+00	3.40E-07	1.51E-03	3.02E-05	0.00E+00
242.015	33	0.00E+00	0.00E+00	0.00E+00	3.21E-06	1.23E-03	1.97E-05	0.00E+00
243.413	34	0.00E+00	0.00E+00	0.00E+00	1.59E-05	9.34E-04	1.23E-05	0.00E+00
244.81	35	0.00E+00	0.00E+00	0.00E+00	5.10E-05	6.73E-04	7.31E-06	0.00E+00
246.207	36	0.00E+00	0.00E+00	0.00E+00	1.26E-04	4.61E-04	4.08E-06	0.00E+00
247.604	37	0.00E+00	0.00E+00	0.00E+00	2.58E-04	3.03E-04	2.11E-06	0.00E+00
249.001	38	0.00E+00	0.00E+00	0.00E+00	4.45E-04	1.92E-04	8.59E-07	0.00E+00
250.398	39	0.00E+00	0.00E+00	0.00E+00	6.46E-04	1.18E-04	0.00E+00	0.00E+00
251.796	40	0.00E+00	0.00E+00	1.05E-10	7.94E-04	7.05E-05	0.00E+00	0.00E+00
253.193	41	0.00E+00	0.00E+00	2.79E-09	8.48E-04	4.13E-05	0.00E+00	0.00E+00
254.59	42	0.00E+00	0.00E+00	3.04E-08	8.10E-04	2.38E-05	0.00E+00	0.00E+00
255.987	43	0.00E+00	0.00E+00	1.89E-07	7.10E-04	1.35E-05	0.00E+00	0.00E+00
257.384	44	0.00E+00	0.00E+00	7.80E-07	5.82E-04	7.58E-06	0.00E+00	0.00E+00
258.781	45	0.00E+00	0.00E+00	2.38E-06	4.52E-04	4.21E-06	0.00E+00	0.00E+00
260.179	46	0.00E+00	0.00E+00	5.75E-06	3.37E-04	2.32E-06	0.00E+00	0.00E+00
261.576	47	0.00E+00	0.00E+00	1.14E-05	2.43E-04	1.22E-06	0.00E+00	0.00E+00
262.973	48	0.00E+00	0.00E+00	1.87E-05	1.71E-04	6.35E-07	0.00E+00	0.00E+00
