  E*/MeV   191At     192At     193At     BF=0.63     BF=0.63     196At     197At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.640E-10 0.647E-06 0.108E-09
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.462E-08 0.176E-05 0.125E-09
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.116E-06 0.455E-05 0.000E+00
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.153E-05 0.111E-04 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.129E-04 0.241E-04 0.000E+00
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.695E-04 0.420E-04 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.231E-03 0.562E-04 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.495E-03 0.609E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.769E-03 0.567E-04 0.000E+00
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.963E-03 0.474E-04 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.103E-02 0.366E-04 0.000E+00
    31.0 0.000E+00 0.000E+00 0.000E+00 0.820E-08 0.981E-03 0.264E-04 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.209E-06 0.853E-03 0.180E-04 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.200E-05 0.688E-03 0.117E-04 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.100E-04 0.521E-03 0.725E-05 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.325E-04 0.373E-03 0.421E-05 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.811E-04 0.255E-03 0.232E-05 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.166E-03 0.167E-03 0.109E-05 0.000E+00
