  E*/MeV   191At     192At     193At     BF=0.57     BF=0.57     196At     197At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.174E-10 0.191E-06 0.000E+00
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.133E-08 0.482E-06 0.000E+00
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.353E-07 0.117E-05 0.000E+00
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.487E-06 0.272E-05 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.427E-05 0.567E-05 0.000E+00
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.237E-04 0.964E-05 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.781E-04 0.127E-04 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.157E-03 0.137E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.229E-03 0.127E-04 0.000E+00
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.272E-03 0.106E-04 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.278E-03 0.812E-05 0.000E+00
    31.0 0.000E+00 0.000E+00 0.000E+00 0.182E-08 0.255E-03 0.584E-05 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.484E-07 0.214E-03 0.398E-05 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.478E-06 0.168E-03 0.256E-05 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.247E-05 0.124E-03 0.154E-05 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.834E-05 0.867E-04 0.821E-06 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.215E-04 0.581E-04 0.202E-06 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.451E-04 0.375E-04 0.000E+00 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.767E-04 0.234E-04 0.000E+00 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.106E-03 0.142E-04 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.123E-03 0.838E-05 0.000E+00 0.000E+00
    41.0 0.000E+00 0.000E+00 0.261E-09 0.125E-03 0.487E-05 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.298E-08 0.115E-03 0.278E-05 0.000E+00 0.000E+00
    43.0 0.000E+00 0.000E+00 0.194E-07 0.972E-04 0.157E-05 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.837E-07 0.774E-04 0.870E-06 0.000E+00 0.000E+00
    45.0 0.000E+00 0.000E+00 0.264E-06 0.587E-04 0.474E-06 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.643E-06 0.428E-04 0.235E-06 0.000E+00 0.000E+00
    47.0 0.000E+00 0.000E+00 0.125E-05 0.303E-04 0.977E-07 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.198E-05 0.209E-04 0.000E+00 0.000E+00 0.000E+00
    49.0 0.000E+00 0.000E+00 0.266E-05 0.142E-04 0.000E+00 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.315E-05 0.942E-05 0.000E+00 0.000E+00 0.000E+00
    51.0 0.000E+00 0.000E+00 0.337E-05 0.619E-05 0.000E+00 0.000E+00 0.000E+00
    
    
  E*/MeV   191At     192At     193At     BF=0.58     BF=0.58     196At     197At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.216E-10 0.232E-06 0.000E+00
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.164E-08 0.593E-06 0.000E+00
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.430E-07 0.146E-05 0.000E+00
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.589E-06 0.341E-05 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.513E-05 0.719E-05 0.000E+00
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.284E-04 0.123E-04 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.929E-04 0.164E-04 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.186E-03 0.177E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.273E-03 0.164E-04 0.000E+00
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.324E-03 0.136E-04 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.333E-03 0.105E-04 0.000E+00
    31.0 0.000E+00 0.000E+00 0.000E+00 0.234E-08 0.307E-03 0.753E-05 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.618E-07 0.259E-03 0.513E-05 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.607E-06 0.204E-03 0.331E-05 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.312E-05 0.151E-03 0.200E-05 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.105E-04 0.106E-03 0.109E-05 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.269E-04 0.714E-04 0.458E-06 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.561E-04 0.462E-04 0.000E+00 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.954E-04 0.289E-04 0.000E+00 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.132E-03 0.175E-04 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.000E+00 0.154E-03 0.104E-04 0.000E+00 0.000E+00
    41.0 0.000E+00 0.000E+00 0.351E-09 0.158E-03 0.604E-05 0.000E+00 0.000E+00
