E_Lab	E*/MeV	191At	192At	193At	194At	195At	196At	197At
219.661	17	0	0	0	0	0	0.0166	0.0000499
221.058	18	0	0	0	0	0	0.0945	0.000097
222.455	19	0	0	0	0	0	0.353	0.000183
223.852	20	0	0	0	0	0.000123	1.1	0.000326
225.249	21	0	0	0	0	0.0086	3.11	0.000534
226.647	22	0	0	0	0	0.212	8.32	0.000573
228.044	23	0	0	0	0	2.72	20.8	0
229.441	24	0	0	0	0	22.3	46.2	0
230.838	25	0	0	0	0	120	82.3	0
232.235	26	0	0	0	0	416	113	0
233.632	27	0	0	0	0	967	124	0
235.03	28	0	0	0	0	1590	117	0
236.427	29	0	0	0	0	2070	99.6	0
237.824	30	0	0	0	0	2270	77.7	0
239.221	31	0	0	0	0.0173	2200	56.7	0
240.618	32	0	0	0	0.432	1940	39	0
242.015	33	0	0	0	4.06	1590	25.5	0
243.413	34	0	0	0	20	1220	16	0
244.81	35	0	0	0	63.8	879	9.53	0
246.207	36	0	0	0	157	605	5.37	0
247.604	37	0	0	0	319	399	2.84	0
249.001	38	0	0	0	552	253	1.27	0
250.398	39	0	0	0	804	156	0	0
251.796	40	0	0	0.000142	993	93.6	0	0
253.193	41	0	0	0.00373	1060	55	0	0
254.59	42	0	0	0.0405	1020	31.7	0	0
255.987	43	0	0	0.25	897	18.1	0	0
257.384	44	0	0	1.03	737	10.2	0	0
258.781	45	0	0	3.12	575	5.64	0	0
260.179	46	0	0	7.54	430	3.13	0	0
261.576	47	0	0	14.9	311	1.69	0	0
262.973	48	0	0	24.8	219	0.882	0	0
264.37	49	0	0	35	150	0.435	0	0
265.767	50	0	0	43.3	102	0.145	0	0
267.164	51	0	0	47.9	67.8	0	0	0
268.562	52	0	0.000013	48.7	44.6	0	0	0
269.959	53	0	0.000173	46.1	29	0	0	0
271.356	54	0	0.00135	41.2	18.7	0	0	0
272.753	55	0	0.00705	35.1	12	0	0	0
274.15	56	0	0.0268	28.8	7.64	0	0	0
275.547	57	0	0.0802	22.9	4.84	0	0	0
276.945	58	0	0.199	17.7	3.05	0	0	0
278.342	59	0	0.422	13.4	1.91	0	0	0
279.739	60	0	0.779	9.9	1.2	0	0	0
281.136	61	0	1.27	7.22	0.744	0	0	0
282.533	62	0	1.84	5.18	0.46	0	0	0
283.93	63	0.0000025	2.42	3.68	0.284	0	0	0
285.327	64	0.0000184	2.92	2.58	0.173	0	0	0
								
								
E	E*	193At_{RITU}						
266	50	40						
								
								
E	E*	194At_{SHIP}	195At_{SHIP}					
235	28	19	260					
243	34	180	130					
252	40	800	38					
266	50	180	2.7					
