E*/MeV	193Rn	neist.	194Rn	neist.	195Rn	neist.	196Rn	neist.	197Rn	neist.	198Rn	neist.	199Rn	neist.
30.8	0	0	0	0	0	0	0	0	4.51E-06	7.85E-07	5.82E-07	2.91E-07	0	0
33.1	0	0	0	0	0	0	0	0	3.74E-06	9.35E-07	0	0	0	0
38.8	0	0	0	0	0	0	2.33E-06	3.37E-07	1.42E-06	2.63E-07	0	0	0	0
41.1	0	0	0	0	0	0	1.33E-06	1.59E-07	1.18E-06	1.50E-07	0	0	0	0
53.2	0	0	0	0	3.25E-07	5.13E-08	1.06E-07	2.93E-08	0	0	0	0	0	0
59.3	0	0	0	0	2.10E-07	1.05E-07	0	0	0	0	0	0	0	0
														
														
E*/MeV	192At	neist.	193At	neist.	194At	neist.	195At	neist.	196At	neist.	197At	neist.	198At	neist.
30.8	0	0	0	0	0	0	0	0	4.73527177840225E-06	6.013801172375E-07	2.27E-04	4.12E-06	5.23E-05	2.88E-06
33.1	0	0	0	0	0	0	0	0	1.10E-05	1.20E-06	2.79E-04	5.96E-06	4.82E-05	6.65E-06
38.8	0	0	0	0	0	0	0	0	2.84E-04	2.78E-05	1.19E-04	2.04E-06	1.78E-05	7.41E-07
41.1	0	0	0	0	0	0	2.65E-06	2.86E-07	3.21E-04	1.87E-06	1.44E-04	2.55E-05	6.07E-06	1.21E-06
53.2	0	0	0	0	0	0	1.03E-04	2.86E-06	6.91E-05	8.64E-06	6.96E-05	9.30E-06	0	0
59.3	0	0	0	0	1.24E-05	2.31E-06	4.34E-05	3.90E-06	1.34E-04	2.74E-06	0	0	0	0
														
														
E*/MeV	191Po	neist.	192Po	neist.	193Po	neist.	194Po	neist.	195Po	neist.	196Po	neist.	197Po	neist.
30.8	0	0	0	0	0	0	3.86E-05	2.32E-06	1.59E-04	3.68E-06	5.86E-05	7.33E-06	7.96E-05	2.89E-06
33.1	0	0	0	0	0	0.00	6.20E-05	2.86E-06	1.69E-04	4.97E-06	1.25E-04	3.96E-06	1.11E-04	4.42E-06
38.8	0	0	0	0	1.25E-04	1.82E-06	9.84E-05	1.66E-06	2.01E-04	2.50E-06	7.34E-04	4.43E-06	2.80E-04	3.36E-06
41.1	0	0	0	0	2.31E-04	1.54E-06	1.26E-04	1.18E-06	2.61E-04	1.79E-06	1.06E-03	3.33E-06	2.77E-04	2.13E-06
53.2	0	0	4.61E-05	6.16E-07	5.15E-05	1.37E-06	1.00E-04	9.36E-07	2.03E-03	4.41E-06	5.53E-04	2.14E-06	1.56E-04	1.42E-06
59.3	0	0	2.83E-05	1.07E-05	3.18E-05	2.88E-06	4.47E-04	5.03E-06	1.99E-03	1.11E-05	3.38E-04	4.26E-06	0	0
