  E*/MeV   196Rn     197Rn     198Rn     199Rn     200Rn     201Rn     202Rn  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.125E-09 0.316E-06 0.512E-09
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.156E-06 0.376E-05 0.215E-08
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.141E-04 0.279E-04 0.650E-08
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.236E-03 0.776E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.946E-03 0.922E-04 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.121E-07 0.166E-02 0.736E-04 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.322E-05 0.178E-02 0.451E-04 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.667E-04 0.143E-02 0.232E-04 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.468E-03 0.934E-03 0.104E-04 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.173E-02 0.514E-03 0.405E-05 0.000E+00
    40.0 0.000E+00 0.000E+00 0.194E-07 0.327E-02 0.248E-03 0.115E-05 0.000E+00
    42.0 0.000E+00 0.000E+00 0.149E-05 0.372E-02 0.107E-03 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.216E-04 0.303E-02 0.423E-04 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.113E-03 0.197E-02 0.154E-04 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.265E-03 0.109E-02 0.515E-05 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.357E-03 0.533E-03 0.149E-05 0.000E+00 0.000E+00
    52.0 0.000E+00 0.450E-08 0.334E-03 0.240E-03 0.000E+00 0.000E+00 0.000E+00
    54.0 0.000E+00 0.129E-06 0.247E-03 0.101E-03 0.000E+00 0.000E+00 0.000E+00
    56.0 0.000E+00 0.126E-05 0.155E-03 0.409E-04 0.000E+00 0.000E+00 0.000E+00
    58.0 0.000E+00 0.571E-05 0.873E-04 0.161E-04 0.000E+00 0.000E+00 0.000E+00
    60.0 0.000E+00 0.142E-04 0.454E-04 0.619E-05 0.000E+00 0.000E+00 0.000E+00
