  E*/MeV   196Rn     197Rn     198Rn     199Rn     200Rn     201Rn     202Rn  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.661E-08 0.460E-05 0.196E-06
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.734E-05 0.119E-03 0.148E-05
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.618E-03 0.174E-02 0.833E-05
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.957E-02 0.824E-02 0.206E-04
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.532E-01 0.153E-01 0.208E-04
    30.0 0.000E+00 0.000E+00 0.000E+00 0.385E-05 0.173E+00 0.178E-01 0.135E-04
    32.0 0.000E+00 0.000E+00 0.000E+00 0.763E-03 0.352E+00 0.150E-01 0.640E-05
    34.0 0.000E+00 0.000E+00 0.000E+00 0.123E-01 0.488E+00 0.101E-01 0.189E-05
    36.0 0.000E+00 0.000E+00 0.000E+00 0.662E-01 0.497E+00 0.563E-02 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.211E+00 0.398E+00 0.271E-02 0.000E+00
    40.0 0.000E+00 0.000E+00 0.181E-04 0.481E+00 0.264E+00 0.115E-02 0.000E+00
    42.0 0.000E+00 0.000E+00 0.112E-02 0.803E+00 0.150E+00 0.439E-03 0.000E+00
    44.0 0.000E+00 0.000E+00 0.131E-01 0.987E+00 0.745E-01 0.153E-03 0.000E+00
    46.0 0.000E+00 0.000E+00 0.628E-01 0.928E+00 0.333E-01 0.488E-04 0.000E+00
    48.0 0.000E+00 0.000E+00 0.176E+00 0.703E+00 0.136E-01 0.128E-04 0.000E+00
    50.0 0.000E+00 0.612E-07 0.324E+00 0.450E+00 0.518E-02 0.000E+00 0.000E+00
    52.0 0.000E+00 0.699E-05 0.419E+00 0.254E+00 0.188E-02 0.000E+00 0.000E+00
    54.0 0.000E+00 0.154E-03 0.413E+00 0.130E+00 0.653E-03 0.000E+00 0.000E+00
    56.0 0.000E+00 0.119E-02 0.333E+00 0.618E-01 0.221E-03 0.000E+00 0.000E+00
    58.0 0.000E+00 0.482E-02 0.231E+00 0.279E-01 0.730E-04 0.000E+00 0.000E+00
    60.0 0.000E+00 0.129E-01 0.144E+00 0.121E-01 0.230E-04 0.000E+00 0.000E+00
    62.0 0.323E-06 0.250E-01 0.826E-01 0.511E-02 0.637E-05 0.000E+00 0.000E+00
    64.0 0.820E-05 0.365E-01 0.445E-01 0.211E-02 0.000E+00 0.000E+00 0.000E+00
    66.0 0.804E-04 0.424E-01 0.228E-01 0.856E-03 0.000E+00 0.000E+00 0.000E+00
    68.0 0.413E-03 0.413E-01 0.112E-01 0.343E-03 0.000E+00 0.000E+00 0.000E+00
    70.0 0.131E-02 0.350E-01 0.537E-02 0.135E-03 0.000E+00 0.000E+00 0.000E+00
    
    
  E*/MeV   195At     196At     197At     198At     199At     200At     201At  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.157E-07 0.346E-06
