          Programm HIVAP,  Autor  W.Reisdorf   Version fuer "rzri6f" vom  7. 6. 1994

           Bearbeitung F.P.Heßberger
           
 Li-7 + Yb-171  --> Ta-178,  25.  Juni 2007   8:54                      
           

 Unterprogramm SEPENF

 benutzt Sierks Programm BARFIT 
 Q-Wert     6.126 MeV
 Massen aus der Datei "mlz.dat" 

         Exp. Schaleneffekte,  SHELL0=     .00
          Ta  172   Ta  173   Ta  174   Ta  175   Ta  176   Ta  177   Ta  178
               .00      -.42      -.23      -.84      -.93     -1.23     -1.21

           BARFAC=    .750      BAR0=    .000

          Separationsenergien (BN,BP,BA) und Spaltbarrieren
          Ta  172   Ta  173   Ta  174   Ta  175   Ta  176   Ta  177   Ta  178
              7.89      9.13      7.68      8.44      7.19      8.32      6.87
              3.30      3.33      4.00      3.81      4.21      4.44      4.93
             -3.37     -3.09     -2.91     -3.05     -2.83     -2.73     -2.62
             15.23     15.88     15.91     16.72     17.00     17.48     17.64
             -1.47      -.96     -1.09     -1.08     -1.61     -1.04     -1.42

 benutzter Q-Wert     6.126 MeV    effektiver Q-Wert     6.126 MeV

 HIVAP  CASOUT

 Li-7 + Yb-171  --> Ta-178,  25.  Juni 2007   8:54                      


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

    19.647    2.81    25.0   .3760E-03   .3750E-03   .1999E-08      .0         .00
    24.851    3.55    30.0   .1054E+02   .1048E+02   .3320E-03      .0         .00
    30.056    4.29    35.0   .4091E+03   .4050E+03   .4970E-01    12.0         .01
    35.261    5.04    40.0   .8517E+03   .8374E+03   .3111E+00    18.0         .04
    40.465    5.78    45.0   .1165E+04   .1134E+04   .1070E+01    23.0         .09
    45.670    6.52    50.0   .1395E+04   .1340E+04   .2837E+01    26.0         .20
    50.875    7.27    55.0   .1569E+04   .1483E+04   .6420E+01    29.0         .41
    56.079    8.01    60.0   .1705E+04   .1575E+04   .1297E+02    32.0         .76
    61.284    8.75    65.0   .1813E+04   .1624E+04   .2407E+02    34.0        1.33
    66.489    9.50    70.0   .1899E+04   .1551E+04   .4164E+02    37.0        2.19
    71.693   10.24    75.0   .1969E+04   .1213E+04   .6799E+02    39.0        3.45
    76.898   10.99    80.0   .2024E+04   .7362E+03   .1052E+03    41.0        5.20
    82.103   11.73    85.0   .2059E+04   .3528E+03   .1533E+03    42.0        7.44
    87.307   12.47    90.0   .2066E+04   .1373E+03   .2092E+03    43.0       10.13
    92.512   13.22    95.0   .2046E+04   .4484E+02   .2691E+03    43.0       13.15

     Querschnitte / mbarn

  E*/MeV   172Ta     173Ta     174Ta     175Ta     176Ta     177Ta     178Ta  
    25.0  .000E+00  .000E+00  .000E+00  .436E-04  .330E-03  .134E-05  .000E+00
    30.0  .000E+00  .000E+00  .000E+00  .871E+01  .178E+01  .118E-02  .000E+00
    35.0  .000E+00  .000E+00  .108E+02  .385E+03  .944E+01  .358E-02  .000E+00
    40.0  .000E+00  .251E-02  .371E+03  .464E+03  .212E+01  .507E-03  .000E+00
    45.0  .000E+00  .306E+02  .922E+03  .181E+03  .312E+00  .000E+00  .000E+00
    50.0  .665E-03  .447E+03  .848E+03  .457E+02  .408E-01  .000E+00  .000E+00
    55.0  .538E+01  .106E+04  .406E+03  .936E+01  .494E-02  .000E+00  .000E+00
    60.0  .165E+03  .127E+04  .135E+03  .169E+01  .484E-03  .000E+00  .000E+00
    65.0  .651E+03  .936E+03  .361E+02  .285E+00  .000E+00  .000E+00  .000E+00
    70.0  .107E+04  .476E+03  .848E+01  .451E-01  .000E+00  .000E+00  .000E+00
    75.0  .102E+04  .186E+03  .182E+01  .669E-02  .000E+00  .000E+00  .000E+00
    80.0  .675E+03  .608E+02  .363E+00  .863E-03  .000E+00  .000E+00  .000E+00
    85.0  .336E+03  .171E+02  .657E-01  .493E-04  .000E+00  .000E+00  .000E+00
    90.0  .133E+03  .417E+01  .106E-01  .000E+00  .000E+00  .000E+00  .000E+00
    95.0  .439E+02  .903E+00  .147E-02  .000E+00  .000E+00  .000E+00  .000E+00
                                                                        
           



 Ende HIVAP 
