          Programm HIVAP,  Autor  W.Reisdorf   Version fuer "rzri6f" vom  7. 6. 1994

           Bearbeitung F.P.Heßberger
           
 Li-7 + Yb-172  --> Ta-179,  25.  Juni 2007   8:52                      
           

 Unterprogramm SEPENF

 benutzt Sierks Programm BARFIT 
 Q-Wert     6.005 MeV
 Massen aus der Datei "mlz.dat" 

         Exp. Schaleneffekte,  SHELL0=     .00
          Ta  173   Ta  174   Ta  175   Ta  176   Ta  177   Ta  178   Ta  179
              -.42      -.23      -.84      -.93     -1.23     -1.21     -1.53

           BARFAC=    .750      BAR0=    .000

          Separationsenergien (BN,BP,BA) und Spaltbarrieren
          Ta  173   Ta  174   Ta  175   Ta  176   Ta  177   Ta  178   Ta  179
              9.13      7.68      8.44      7.19      8.32      6.87      7.90
              3.33      4.00      3.81      4.21      4.44      4.93      5.20
             -3.09     -2.91     -3.05     -2.83     -2.73     -2.62     -2.39
             15.88     15.91     16.72     17.00     17.48     17.64     18.12
              -.96     -1.09     -1.08     -1.61     -1.04     -1.42      -.94

 benutzter Q-Wert     6.005 MeV    effektiver Q-Wert     6.005 MeV

 HIVAP  CASOUT

 Li-7 + Yb-172  --> Ta-179,  25.  Juni 2007   8:52                      


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

    19.768    2.82    25.0   .5502E-03   .5495E-03   .1331E-08      .0         .00
    24.972    3.57    30.0   .1321E+02   .1317E+02   .2282E-03      .0         .00
    30.175    4.31    35.0   .4272E+03   .4245E+03   .3139E-01    13.0         .01
    35.379    5.05    40.0   .8665E+03   .8570E+03   .2038E+00    18.0         .02
    40.582    5.80    45.0   .1178E+04   .1157E+04   .7299E+00    23.0         .06
    45.785    6.54    50.0   .1407E+04   .1369E+04   .2004E+01    26.0         .14
    50.989    7.28    55.0   .1580E+04   .1518E+04   .4658E+01    29.0         .29
    56.192    8.03    60.0   .1715E+04   .1621E+04   .9640E+01    32.0         .56
    61.396    8.77    65.0   .1822E+04   .1680E+04   .1826E+02    34.0        1.00
    66.599    9.51    70.0   .1908E+04   .1610E+04   .3221E+02    37.0        1.69
    71.803   10.26    75.0   .1978E+04   .1254E+04   .5353E+02    39.0        2.71
    77.006   11.00    80.0   .2033E+04   .7533E+03   .8422E+02    41.0        4.14
    82.210   11.74    85.0   .2067E+04   .3560E+03   .1247E+03    42.0        6.03
    87.413   12.49    90.0   .2073E+04   .1365E+03   .1727E+03    43.0        8.33
    92.617   13.23    95.0   .2052E+04   .4391E+02   .2255E+03    44.0       10.99

     Querschnitte / mbarn

  E*/MeV   173Ta     174Ta     175Ta     176Ta     177Ta     178Ta     179Ta  
    25.0  .000E+00  .000E+00  .000E+00  .224E-04  .526E-03  .122E-05  .000E+00
    30.0  .000E+00  .000E+00  .000E+00  .104E+02  .281E+01  .791E-03  .000E+00
    35.0  .000E+00  .000E+00  .315E+02  .381E+03  .118E+02  .157E-02  .000E+00
    40.0  .000E+00  .992E-03  .512E+03  .342E+03  .246E+01  .161E-03  .000E+00
    45.0  .000E+00  .192E+02  .103E+04  .107E+03  .343E+00  .000E+00  .000E+00
    50.0  .290E-01  .387E+03  .959E+03  .231E+02  .431E-01  .000E+00  .000E+00
    55.0  .270E+02  .101E+04  .481E+03  .419E+01  .498E-02  .000E+00  .000E+00
    60.0  .337E+03  .112E+04  .165E+03  .697E+00  .470E-03  .000E+00  .000E+00
    65.0  .922E+03  .714E+03  .448E+02  .109E+00  .000E+00  .000E+00  .000E+00
    70.0  .128E+04  .317E+03  .106E+02  .161E-01  .000E+00  .000E+00  .000E+00
    75.0  .114E+04  .112E+03  .227E+01  .221E-02  .000E+00  .000E+00  .000E+00
    80.0  .719E+03  .334E+02  .450E+00  .239E-03  .000E+00  .000E+00  .000E+00
    85.0  .347E+03  .871E+01  .810E-01  .000E+00  .000E+00  .000E+00  .000E+00
    90.0  .134E+03  .200E+01  .130E-01  .000E+00  .000E+00  .000E+00  .000E+00
    95.0  .435E+02  .407E+00  .182E-02  .000E+00  .000E+00  .000E+00  .000E+00
                                                                        
           



 Ende HIVAP 
