          Programm HIVAP,  Autor  W.Reisdorf   Version fuer "rzri6f" vom  7. 6. 1994

           Bearbeitung F.P.Heßberger
           
 Li-7 + Yb-173  --> Ta-180,  25.  Juni 2007   8:50                      
           

 Unterprogramm SEPENF

 benutzt Sierks Programm BARFIT 
 Q-Wert     6.276 MeV
 Massen aus der Datei "mlz.dat" 

         Exp. Schaleneffekte,  SHELL0=     .00
          Ta  174   Ta  175   Ta  176   Ta  177   Ta  178   Ta  179   Ta  180
              -.23      -.84      -.93     -1.23     -1.21     -1.53     -1.55

           BARFAC=    .750      BAR0=    .000

          Separationsenergien (BN,BP,BA) und Spaltbarrieren
          Ta  174   Ta  175   Ta  176   Ta  177   Ta  178   Ta  179   Ta  180
              7.68      8.44      7.19      8.32      6.87      7.90      6.64
              4.00      3.81      4.21      4.44      4.93      5.20      5.74
             -2.91     -3.05     -2.83     -2.73     -2.62     -2.39     -2.04
             15.91     16.72     17.00     17.48     17.64     18.12     18.30
             -1.09     -1.08     -1.61     -1.04     -1.42      -.94     -1.25

 benutzter Q-Wert     6.276 MeV    effektiver Q-Wert     6.276 MeV

 HIVAP  CASOUT

 Li-7 + Yb-173  --> Ta-180,  25.  Juni 2007   8:50                      


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

    19.482    2.78    25.0   .2911E-03   .2908E-03   .4918E-09      .0         .00
    24.684    3.53    30.0   .9387E+01   .9366E+01   .1187E-03      .0         .00
    29.886    4.27    35.0   .4043E+03   .4024E+03   .2245E-01    12.0         .01
    35.089    5.01    40.0   .8531E+03   .8463E+03   .1555E+00    18.0         .02
    40.291    5.76    45.0   .1170E+04   .1155E+04   .5722E+00    23.0         .05
    45.493    6.50    50.0   .1403E+04   .1374E+04   .1597E+01    26.0         .11
    50.695    7.24    55.0   .1579E+04   .1532E+04   .3762E+01    29.0         .24
    55.898    7.99    60.0   .1716E+04   .1642E+04   .7868E+01    32.0         .46
    61.100    8.73    65.0   .1825E+04   .1671E+04   .1504E+02    34.0         .82
    66.302    9.47    70.0   .1912E+04   .1424E+04   .2676E+02    37.0        1.40
    71.505   10.21    75.0   .1983E+04   .9211E+03   .4486E+02    39.0        2.26
    76.707   10.96    80.0   .2039E+04   .4610E+03   .7121E+02    41.0        3.49
    81.909   11.70    85.0   .2074E+04   .1866E+03   .1065E+03    42.0        5.13
    87.112   12.44    90.0   .2080E+04   .6292E+02   .1491E+03    43.0        7.17
    92.314   13.19    95.0   .2060E+04   .1820E+02   .1966E+03    44.0        9.55

     Querschnitte / mbarn

  E*/MeV   174Ta     175Ta     176Ta     177Ta     178Ta     179Ta     180Ta  
    25.0  .000E+00  .000E+00  .000E+00  .972E-04  .193E-03  .450E-06  .000E+00
    30.0  .000E+00  .000E+00  .000E+00  .864E+01  .728E+00  .411E-03  .000E+00
    35.0  .000E+00  .000E+00  .567E+02  .342E+03  .341E+01  .113E-02  .000E+00
    40.0  .000E+00  .373E+00  .591E+03  .254E+03  .651E+00  .873E-04  .000E+00
    45.0  .000E+00  .127E+03  .956E+03  .717E+02  .851E-01  .000E+00  .000E+00
    50.0  .193E+00  .734E+03  .625E+03  .144E+02  .996E-02  .000E+00  .000E+00
    55.0  .522E+02  .124E+04  .233E+03  .247E+01  .101E-02  .000E+00  .000E+00
    60.0  .436E+03  .114E+04  .645E+02  .389E+00  .196E-04  .000E+00  .000E+00
    65.0  .996E+03  .660E+03  .151E+02  .582E-01  .000E+00  .000E+00  .000E+00
    70.0  .114E+04  .277E+03  .319E+01  .825E-02  .000E+00  .000E+00  .000E+00
    75.0  .827E+03  .937E+02  .630E+00  .104E-02  .000E+00  .000E+00  .000E+00
    80.0  .434E+03  .272E+02  .116E+00  .721E-04  .000E+00  .000E+00  .000E+00
    85.0  .180E+03  .692E+01  .195E-01  .000E+00  .000E+00  .000E+00  .000E+00
    90.0  .614E+02  .156E+01  .286E-02  .000E+00  .000E+00  .000E+00  .000E+00
    95.0  .179E+02  .313E+00  .337E-03  .000E+00  .000E+00  .000E+00  .000E+00
                                                                        
           



 Ende HIVAP 
