          Programm HIVAP,  Autor  W.Reisdorf   Version fuer "rzri6f" vom  7. 6. 1994

           Bearbeitung F.P.Heßberger
           
 Li-7 + Yb-174  --> Ta-181,  23.  Mai 2007   9:16                       
           

 Unterprogramm SEPENF

 benutzt Sierks Programm BARFIT 
 Q-Wert     6.393 MeV
 Massen aus der Datei "mlz.dat" 

         Exp. Schaleneffekte,  SHELL0=     .00
          Ta  175   Ta  176   Ta  177   Ta  178   Ta  179   Ta  180   Ta  181
              -.84      -.93     -1.23     -1.21     -1.53     -1.55     -1.96

           BARFAC=    .750      BAR0=    .000

          Separationsenergien (BN,BP,BA) und Spaltbarrieren
          Ta  175   Ta  176   Ta  177   Ta  178   Ta  179   Ta  180   Ta  181
              8.44      7.19      8.32      6.87      7.90      6.64      7.58
              3.81      4.21      4.44      4.93      5.20      5.74      5.94
             -3.05     -2.83     -2.73     -2.62     -2.39     -2.04     -1.53
             16.72     17.00     17.48     17.64     18.12     18.30     18.85
             -1.08     -1.61     -1.04     -1.42      -.94     -1.25      -.84

 benutzter Q-Wert     6.393 MeV    effektiver Q-Wert     6.393 MeV

 HIVAP  CASOUT

 Li-7 + Yb-174  --> Ta-181,  23.  Mai 2007   9:16                       


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

    19.356    2.77    25.0   .2280E-03   .2278E-03   .1642E-09      .0         .00
    24.557    3.51    30.0   .8287E+01   .8276E+01   .5595E-04      .0         .00
    29.758    4.25    35.0   .3972E+03   .3960E+03   .1313E-01    12.0         .00
    34.959    4.99    40.0   .8504E+03   .8460E+03   .9900E-01    18.0         .01
    40.160    5.74    45.0   .1170E+04   .1160E+04   .3845E+00    22.0         .03
    45.361    6.48    50.0   .1405E+04   .1385E+04   .1118E+01    26.0         .08
    50.562    7.22    55.0   .1583E+04   .1549E+04   .2719E+01    29.0         .17
    55.764    7.97    60.0   .1721E+04   .1667E+04   .5836E+01    32.0         .34
    60.965    8.71    65.0   .1830E+04   .1706E+04   .1140E+02    34.0         .62
    66.166    9.45    70.0   .1918E+04   .1471E+04   .2068E+02    37.0        1.08
    71.367   10.20    75.0   .1989E+04   .9651E+03   .3526E+02    39.0        1.77
    76.568   10.94    80.0   .2045E+04   .4881E+03   .5686E+02    41.0        2.78
    81.769   11.68    85.0   .2080E+04   .1984E+03   .8631E+02    42.0        4.15
    86.971   12.42    90.0   .2087E+04   .6691E+02   .1226E+03    43.0        5.87
    92.172   13.17    95.0   .2067E+04   .1934E+02   .1640E+03    44.0        7.94

     Querschnitte / mbarn

  E*/MeV   175Ta     176Ta     177Ta     178Ta     179Ta     180Ta     181Ta  
    25.0  .000E+00  .000E+00  .000E+00  .413E-04  .186E-03  .172E-06  .000E+00
    30.0  .000E+00  .000E+00  .297E-02  .737E+01  .902E+00  .153E-03  .000E+00
    35.0  .000E+00  .000E+00  .977E+02  .294E+03  .456E+01  .463E-03  .000E+00
    40.0  .000E+00  .224E+00  .659E+03  .186E+03  .874E+00  .000E+00  .000E+00
    45.0  .000E+00  .119E+03  .996E+03  .446E+02  .111E+00  .000E+00  .000E+00
    50.0  .158E+01  .739E+03  .637E+03  .801E+01  .127E-01  .000E+00  .000E+00
    55.0  .128E+03  .119E+04  .232E+03  .126E+01  .127E-02  .000E+00  .000E+00
    60.0  .664E+03  .941E+03  .619E+02  .188E+00  .474E-04  .000E+00  .000E+00
    65.0  .123E+04  .464E+03  .139E+02  .265E-01  .000E+00  .000E+00  .000E+00
    70.0  .130E+04  .169E+03  .283E+01  .344E-02  .000E+00  .000E+00  .000E+00
    75.0  .913E+03  .513E+02  .539E+00  .381E-03  .000E+00  .000E+00  .000E+00
    80.0  .474E+03  .136E+02  .962E-01  .000E+00  .000E+00  .000E+00  .000E+00
    85.0  .195E+03  .323E+01  .157E-01  .000E+00  .000E+00  .000E+00  .000E+00
    90.0  .662E+02  .680E+00  .219E-02  .000E+00  .000E+00  .000E+00  .000E+00
    95.0  .192E+02  .128E+00  .235E-03  .000E+00  .000E+00  .000E+00  .000E+00
                                                                        
           



 Ende HIVAP 
