          Programm HIVAP,  Autor  W.Reisdorf   Version fuer "rzri6f" vom  7. 6. 1994

           Bearbeitung F.P.Heßberger
           
 Li-7 + Yb-176  --> Ta-183,  23.  Mai 2007   9:00                       
           

 Unterprogramm SEPENF

 benutzt Sierks Programm BARFIT 
 Q-Wert     6.697 MeV
 Massen aus der Datei "mlz.dat" 

         Exp. Schaleneffekte,  SHELL0=     .00
          Ta  177   Ta  178   Ta  179   Ta  180   Ta  181   Ta  182   Ta  183
             -1.23     -1.21     -1.53     -1.55     -1.96     -1.84     -1.93

           BARFAC=    .750      BAR0=    .000

          Separationsenergien (BN,BP,BA) und Spaltbarrieren
          Ta  177   Ta  178   Ta  179   Ta  180   Ta  181   Ta  182   Ta  183
              8.32      6.87      7.90      6.64      7.58      6.06      6.93
              4.44      4.93      5.20      5.74      5.94      6.30      6.58
             -2.73     -2.62     -2.39     -2.04     -1.53     -1.46     -1.41
             17.48     17.64     18.12     18.30     18.85     18.86     19.08
             -1.04     -1.42      -.94     -1.25      -.84     -1.24      -.82

 benutzter Q-Wert     6.697 MeV    effektiver Q-Wert     6.697 MeV

 HIVAP  CASOUT

 Li-7 + Yb-176  --> Ta-183,  23.  Mai 2007   9:00                       


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

    19.031    2.72    25.0   .1141E-03   .1141E-03   .3523E-10      .0         .00
    24.230    3.46    30.0   .5719E+01   .5716E+01   .1926E-04      .0         .00
    29.429    4.20    35.0   .3752E+03   .3747E+03   .6728E-02    12.0         .00
    34.628    4.95    40.0   .8393E+03   .8371E+03   .5622E-01    18.0         .01
    39.826    5.69    45.0   .1167E+04   .1161E+04   .2305E+00    22.0         .02
    45.025    6.43    50.0   .1406E+04   .1395E+04   .6965E+00    26.0         .05
    50.224    7.17    55.0   .1587E+04   .1568E+04   .1748E+01    29.0         .11
    55.423    7.92    60.0   .1728E+04   .1678E+04   .3850E+01    32.0         .22
    60.622    8.66    65.0   .1839E+04   .1538E+04   .7693E+01    34.0         .42
    65.821    9.40    70.0   .1928E+04   .1040E+04   .1423E+02    37.0         .74
    71.020   10.15    75.0   .2000E+04   .5230E+03   .2471E+02    39.0        1.24
    76.218   10.89    80.0   .2057E+04   .2088E+03   .4055E+02    41.0        1.97
    81.417   11.63    85.0   .2093E+04   .6957E+02   .6262E+02    42.0        2.99
    86.616   12.37    90.0   .2100E+04   .1988E+02   .9049E+02    43.0        4.31
    91.815   13.12    95.0   .2080E+04   .4995E+01   .1232E+03    44.0        5.92

     Querschnitte / mbarn

  E*/MeV   177Ta     178Ta     179Ta     180Ta     181Ta     182Ta     183Ta  
    25.0  .000E+00  .000E+00  .000E+00  .499E-04  .642E-04  .184E-07  .000E+00
    30.0  .000E+00  .000E+00  .175E+00  .527E+01  .273E+00  .196E-04  .000E+00
    35.0  .000E+00  .000E+00  .202E+03  .171E+03  .129E+01  .439E-04  .000E+00
    40.0  .000E+00  .115E+02  .751E+03  .739E+02  .222E+00  .000E+00  .000E+00
    45.0  .330E-01  .383E+03  .764E+03  .144E+02  .263E-01  .000E+00  .000E+00
    50.0  .351E+02  .102E+04  .335E+03  .227E+01  .272E-02  .000E+00  .000E+00
    55.0  .437E+03  .104E+04  .941E+02  .325E+00  .174E-03  .000E+00  .000E+00
    60.0  .109E+04  .563E+03  .211E+02  .444E-01  .000E+00  .000E+00  .000E+00
    65.0  .132E+04  .210E+03  .420E+01  .565E-02  .000E+00  .000E+00  .000E+00
    70.0  .977E+03  .622E+02  .769E+00  .594E-03  .000E+00  .000E+00  .000E+00
    75.0  .507E+03  .160E+02  .132E+00  .000E+00  .000E+00  .000E+00  .000E+00
    80.0  .205E+03  .369E+01  .213E-01  .000E+00  .000E+00  .000E+00  .000E+00
    85.0  .688E+02  .777E+00  .310E-02  .000E+00  .000E+00  .000E+00  .000E+00
    90.0  .197E+02  .147E+00  .349E-03  .000E+00  .000E+00  .000E+00  .000E+00
    95.0  .497E+01  .252E-01  .000E+00  .000E+00  .000E+00  .000E+00  .000E+00
                                                                        
           



 Ende HIVAP 
