          Programm HIVAP,  Autor  W.Reisdorf   Version fuer "rzri6f" vom  7. 6. 1994

           Bearbeitung F.P.Heßberger
           
 Kr-86 + Sb-123 --> Fr-209,  2. November 2001   13:46                   
           

 Unterprogramm SEPENF

 benutzt Sierks Programm BARFIT 
 Q-Wert  -168.722 MeV
 Massen aus der Datei "mlz.dat" 

         Exp. Schaleneffekte,  SHELL0=     .00
          Fr  203   Fr  204   Fr  205   Fr  206   Fr  207   Fr  208   Fr  209
             -2.17     -2.58     -3.12     -3.58     -4.24     -4.59     -5.34

           BARFAC=    .725      BAR0=    .000

          Separationsenergien (BN,BP,BA) und Spaltbarrieren
          Fr  203   Fr  204   Fr  205   Fr  206   Fr  207   Fr  208   Fr  209
             10.00      8.43      9.98      8.21      9.54      8.19      9.06
               .18       .42       .56       .87       .97      1.37      1.49
             -7.28     -7.12     -7.06     -6.92     -6.90     -6.78     -6.78
              6.53      7.06      7.73      8.32      9.10      9.56     10.43
             -1.26     -1.97     -1.09     -1.74     -1.10     -1.33      -.94

 benutzter Q-Wert  -168.722 MeV    effektiver Q-Wert  -168.722 MeV

 HIVAP  CASOUT

 Kr-86 + Sb-123 --> Fr-209,  2. November 2001   13:46                   


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   376.747    4.38    53.0   .5829E+02   .1710E+00   .5716E+02    45.0       98.07
   381.845    4.44    56.0   .7553E+02   .1037E+00   .7416E+02    48.0       98.18
   386.942    4.50    59.0   .9270E+02   .6237E-01   .9104E+02    51.0       98.21
   392.040    4.56    62.0   .1093E+03   .4168E-01   .1073E+03    54.0       98.19
   397.137    4.62    65.0   .1251E+03   .2720E-01   .1228E+03    57.0       98.15
   402.235    4.68    68.0   .1401E+03   .1610E-01   .1374E+03    59.0       98.11
   409.032    4.76    72.0   .1588E+03   .7657E-02   .1556E+03    62.0       98.02
   414.129    4.82    75.0   .1719E+03   .4500E-02   .1683E+03    64.0       97.94
   419.227    4.87    78.0   .1843E+03   .2596E-02   .1803E+03    66.0       97.83

     Querschnitte / mbarn

  E*/MeV   203Fr     204Fr     205Fr     206Fr     207Fr     208Fr     209Fr  
    53.0  .000E+00  .220E-02  .149E+00  .195E-01  .872E-04  .000E+00  .000E+00
    56.0  .000E+00  .103E-01  .880E-01  .539E-02  .164E-04  .000E+00  .000E+00
    59.0  .196E-05  .214E-01  .396E-01  .134E-02  .244E-05  .000E+00  .000E+00
    62.0  .582E-04  .265E-01  .148E-01  .314E-03  .000E+00  .000E+00  .000E+00
    65.0  .382E-03  .218E-01  .492E-02  .700E-04  .000E+00  .000E+00  .000E+00
    68.0  .114E-02  .134E-01  .151E-02  .149E-04  .000E+00  .000E+00  .000E+00
    72.0  .218E-02  .519E-02  .287E-03  .161E-05  .000E+00  .000E+00  .000E+00
    75.0  .224E-02  .218E-02  .792E-04  .000E+00  .000E+00  .000E+00  .000E+00
    78.0  .174E-02  .838E-03  .212E-04  .000E+00  .000E+00  .000E+00  .000E+00
                                                                        
           



 Ende HIVAP 
