E*/MeV	173Pt	174Pt	175Pt	176Pt	177Pt	178Pt
26.0	0.000E+00	0.000E+00	0.199E-07	0.169E-07	0.124E-07	0.909E-06
28.0	0.000E+00	0.000E+00	0.488E-04	0.106E-03	0.129E-04	0.130E-02
30.0	0.000E+00	0.852E-07	0.111E-02	0.113E-02	0.936E-03	0.176E-01
32.0	0.000E+00	0.194E-04	0.193E-01	0.849E-02	0.383E-01	0.195E+00
34.0	0.000E+00	0.103E-02	0.207E+00	0.453E-01	0.685E+00	0.142E+01
36.0	0.000E+00	0.110E-01	0.748E+00	0.115E+00	0.305E+01	0.370E+01
38.0	0.000E+00	0.433E-01	0.118E+01	0.138E+00	0.564E+01	0.435E+01
40.0	0.000E+00	0.112E+00	0.129E+01	0.120E+00	0.762E+01	0.360E+01
42.0	0.187E-05	0.225E+00	0.117E+01	0.193E+00	0.892E+01	0.254E+01
44.0	0.375E-04	0.371E+00	0.931E+00	0.530E+00	0.950E+01	0.163E+01
46.0	0.322E-03	0.522E+00	0.660E+00	0.129E+01	0.934E+01	0.972E+00
48.0	0.174E-02	0.641E+00	0.423E+00	0.256E+01	0.853E+01	0.541E+00
50.0	0.671E-02	0.695E+00	0.249E+00	0.405E+01	0.722E+01	0.284E+00
52.0	0.193E-01	0.674E+00	0.150E+00	0.552E+01	0.568E+01	0.141E+00
54.0	0.430E-01	0.588E+00	0.141E+00	0.667E+01	0.417E+01	0.669E-01
56.0	0.781E-01	0.466E+00	0.271E+00	0.728E+01	0.285E+01	0.305E-01
58.0	0.120E+00	0.338E+00	0.595E+00	0.728E+01	0.184E+01	0.134E-01
60.0	0.159E+00	0.227E+00	0.113E+01	0.671E+01	0.112E+01	0.573E-02
62.0	0.186E+00	0.143E+00	0.182E+01	0.575E+01	0.645E+00	0.238E-02
64.0	0.193E+00	0.889E-01	0.225E+01	0.534E+01	0.356E+00	0.964E-03
66.0	0.181E+00	0.677E-01	0.290E+01	0.414E+01	0.189E+00	0.381E-03
68.0	0.155E+00	0.860E-01	0.341E+01	0.303E+01	0.971E-01	0.147E-03
70.0	0.122E+00	0.155E+00	0.368E+01	0.210E+01	0.484E-01	0.551E-04
72.0	0.889E-01	0.282E+00	0.369E+01	0.139E+01	0.234E-01	0.202E-04
74.0	0.611E-01	0.465E+00	0.346E+01	0.751E+00	0.111E-01	0.705E-05
76.0	0.399E-01	0.686E+00	0.304E+01	0.352E+00	0.512E-02	0.227E-05
78.0	0.257E-01	0.913E+00	0.252E+01	0.159E+00	0.231E-02	0.546E-06
80.0	0.182E-01	0.111E+01	0.198E+01	0.745E-01	0.102E-02	0.000E+00
82.0	0.209E-01	0.123E+01	0.148E+01	0.386E-01	0.445E-03	0.000E+00
84.0	0.301E-01	0.128E+01	0.105E+01	0.191E-01	0.190E-03	0.000E+00
86.0	0.497E-01	0.124E+01	0.544E+00	0.102E-01	0.792E-04	0.000E+00
88.0	0.739E-01	0.114E+01	0.435E+00	0.519E-02	0.324E-04	0.000E+00
90.0	0.109E+00	0.101E+01	0.195E+00	0.263E-02	0.127E-04	0.000E+00
92.0	0.148E+00	0.846E+00	0.850E-01	0.123E-02	0.425E-05	0.000E+00
94.0	0.185E+00	0.671E+00	0.374E-01	0.182E-03	0.997E-06	0.000E+00
96.0	0.214E+00	0.501E+00	0.164E-01	0.000E+00	0.833E-07	0.000E+00
98.0	0.232E+00	0.336E+00	0.869E-02	0.000E+00	0.000E+00	0.000E+00
100.0	0.229E+00	0.230E+00	0.414E-02	0.000E+00	0.000E+00	0.000E+00
