E*/MeV	173Au	174Au	175Au	176Au	177Au	178Au	179Au
16.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.159E-05
17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.864E-05
18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.182E-08	0.444E-04
19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.102E-06	0.218E-03
20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.380E-05	0.102E-02
21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.743E-04	0.446E-02
22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.808E-03	0.169E-01
23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.544E-02	0.514E-01
24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.241E-01	0.123E+00
25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.769E-01	0.239E+00
26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.194E+00	0.394E+00
27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.580E-06	0.414E+00	0.570E+00
28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.149E-04	0.774E+00	0.744E+00
29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.192E-03	0.130E+01	0.888E+00
30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.163E-02	0.201E+01	0.980E+00
31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.938E-02	0.289E+01	0.101E+01
32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.381E-01	0.388E+01	0.971E+00
33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.117E+00	0.489E+01	0.880E+00
34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.291E+00	0.583E+01	0.755E+00
35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.604E+00	0.656E+01	0.615E+00
36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.108E+01	0.699E+01	0.478E+00
37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.171E+01	0.708E+01	0.356E+00
38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.247E+01	0.683E+01	0.254E+00
39.0	0.000E+00	0.000E+00	0.000E+00	0.215E-05	0.330E+01	0.629E+01	0.175E+00
40.0	0.000E+00	0.000E+00	0.000E+00	0.243E-04	0.414E+01	0.555E+01	0.117E+00
41.0	0.000E+00	0.000E+00	0.000E+00	0.182E-03	0.493E+01	0.470E+01	0.757E-01
42.0	0.000E+00	0.000E+00	0.000E+00	0.981E-03	0.562E+01	0.384E+01	0.478E-01
43.0	0.000E+00	0.000E+00	0.000E+00	0.396E-02	0.617E+01	0.303E+01	0.295E-01
44.0	0.000E+00	0.000E+00	0.000E+00	0.125E-01	0.655E+01	0.232E+01	0.178E-01
45.0	0.000E+00	0.000E+00	0.000E+00	0.321E-01	0.676E+01	0.173E+01	0.106E-01
46.0	0.000E+00	0.000E+00	0.000E+00	0.701E-01	0.678E+01	0.126E+01	0.623E-02
47.0	0.000E+00	0.000E+00	0.000E+00	0.134E+00	0.662E+01	0.894E+00	0.361E-02
48.0	0.000E+00	0.000E+00	0.000E+00	0.228E+00	0.629E+01	0.624E+00	0.207E-02
49.0	0.000E+00	0.000E+00	0.000E+00	0.354E+00	0.582E+01	0.429E+00	0.117E-02
50.0	0.000E+00	0.000E+00	0.575E-06	0.509E+00	0.526E+01	0.290E+00	0.661E-03
51.0	0.000E+00	0.000E+00	0.461E-05	0.685E+00	0.463E+01	0.194E+00	0.369E-03
52.0	0.000E+00	0.000E+00	0.267E-04	0.875E+00	0.398E+01	0.128E+00	0.204E-03
53.0	0.000E+00	0.000E+00	0.117E-03	0.106E+01	0.335E+01	0.835E-01	0.112E-03
54.0	0.000E+00	0.000E+00	0.408E-03	0.124E+01	0.276E+01	0.541E-01	0.606E-04
55.0	0.000E+00	0.000E+00	0.117E-02	0.140E+01	0.223E+01	0.347E-01	0.323E-04
56.0	0.000E+00	0.000E+00	0.286E-02	0.153E+01	0.176E+01	0.221E-01	0.169E-04
57.0	0.000E+00	0.000E+00	0.614E-02	0.162E+01	0.137E+01	0.140E-01	0.845E-05
58.0	0.000E+00	0.000E+00	0.118E-01	0.166E+01	0.105E+01	0.882E-02	0.398E-05
59.0	0.000E+00	0.000E+00	0.206E-01	0.166E+01	0.795E+00	0.552E-02	0.130E-05
60.0	0.000E+00	0.000E+00	0.332E-01	0.161E+01	0.592E+00	0.343E-02	0.000E+00
61.0	0.000E+00	0.000E+00	0.500E-01	0.153E+01	0.435E+00	0.213E-02	0.000E+00
62.0	0.000E+00	0.000E+00	0.710E-01	0.142E+01	0.316E+00	0.131E-02	0.000E+00
63.0	0.000E+00	0.263E-06	0.956E-01	0.128E+01	0.227E+00	0.801E-03	0.000E+00
64.0	0.000E+00	0.138E-05	0.123E+00	0.114E+01	0.162E+00	0.488E-03	0.000E+00
65.0	0.000E+00	0.576E-05	0.152E+00	0.990E+00	0.114E+00	0.296E-03	0.000E+00
66.0	0.000E+00	0.197E-04	0.181E+00	0.845E+00	0.800E-01	0.178E-03	0.000E+00
67.0	0.000E+00	0.570E-04	0.208E+00	0.708E+00	0.556E-01	0.107E-03	0.000E+00
68.0	0.000E+00	0.143E-03	0.232E+00	0.584E+00	0.383E-01	0.636E-04	0.000E+00
69.0	0.000E+00	0.316E-03	0.251E+00	0.475E+00	0.263E-01	0.376E-04	0.000E+00
70.0	0.000E+00	0.630E-03	0.264E+00	0.381E+00	0.179E-01	0.220E-04	0.000E+00
71.0	0.000E+00	0.115E-02	0.271E+00	0.301E+00	0.121E-01	0.127E-04	0.000E+00
72.0	0.000E+00	0.195E-02	0.271E+00	0.235E+00	0.818E-02	0.696E-05	0.000E+00
73.0	0.000E+00	0.308E-02	0.265E+00	0.182E+00	0.548E-02	0.360E-05	0.000E+00
74.0	0.872E-07	0.460E-02	0.254E+00	0.139E+00	0.366E-02	0.168E-05	0.000E+00
75.0	0.342E-06	0.652E-02	0.238E+00	0.106E+00	0.243E-02	0.173E-06	0.000E+00
76.0	0.113E-05	0.885E-02	0.219E+00	0.794E-01	0.160E-02	0.000E+00	0.000E+00
77.0	0.324E-05	0.115E-01	0.198E+00	0.591E-01	0.106E-02	0.000E+00	0.000E+00
78.0	0.813E-05	0.145E-01	0.175E+00	0.437E-01	0.691E-03	0.000E+00	0.000E+00
79.0	0.183E-04	0.176E-01	0.153E+00	0.321E-01	0.451E-03	0.000E+00	0.000E+00
80.0	0.375E-04	0.208E-01	0.132E+00	0.234E-01	0.293E-03	0.000E+00	0.000E+00
