E*/MeV	174Hg	175Hg	176Hg	177Hg	178Hg	179Hg	180Hg
16.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.608E-06	0.988E-06
17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.395E-05	0.331E-05
18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.234E-04	0.104E-04
19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.130E-03	0.306E-04
20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.679E-03	0.854E-04
21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.438E-06	0.324E-02	0.223E-03
22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.231E-04	0.132E-01	0.524E-03
23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.346E-03	0.420E-01	0.104E-02
24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.233E-02	0.102E+00	0.168E-02
25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.958E-02	0.197E+00	0.219E-02
26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.289E-01	0.315E+00	0.235E-02
27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.703E-01	0.432E+00	0.217E-02
28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.145E+00	0.524E+00	0.177E-02
29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.266E+00	0.572E+00	0.132E-02
30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.440E+00	0.573E+00	0.917E-03
31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.668E+00	0.531E+00	0.594E-03
32.0	0.000E+00	0.000E+00	0.000E+00	0.177E-06	0.940E+00	0.459E+00	0.364E-03
33.0	0.000E+00	0.000E+00	0.000E+00	0.208E-04	0.123E+01	0.373E+00	0.210E-03
34.0	0.000E+00	0.000E+00	0.000E+00	0.391E-03	0.150E+01	0.287E+00	0.114E-03
35.0	0.000E+00	0.000E+00	0.000E+00	0.296E-02	0.170E+01	0.210E+00	0.572E-04
36.0	0.000E+00	0.000E+00	0.000E+00	0.120E-01	0.180E+01	0.146E+00	0.223E-04
37.0	0.000E+00	0.000E+00	0.000E+00	0.316E-01	0.178E+01	0.981E-01	0.000E+00
38.0	0.000E+00	0.000E+00	0.000E+00	0.644E-01	0.166E+01	0.634E-01	0.000E+00
39.0	0.000E+00	0.000E+00	0.000E+00	0.110E+00	0.146E+01	0.396E-01	0.000E+00
40.0	0.000E+00	0.000E+00	0.000E+00	0.167E+00	0.122E+01	0.241E-01	0.000E+00
41.0	0.000E+00	0.000E+00	0.000E+00	0.231E+00	0.976E+00	0.143E-01	0.000E+00
42.0	0.000E+00	0.000E+00	0.901E-07	0.298E+00	0.749E+00	0.828E-02	0.000E+00
43.0	0.000E+00	0.000E+00	0.210E-05	0.364E+00	0.554E+00	0.472E-02	0.000E+00
44.0	0.000E+00	0.000E+00	0.212E-04	0.425E+00	0.398E+00	0.265E-02	0.000E+00
45.0	0.000E+00	0.000E+00	0.124E-03	0.474E+00	0.278E+00	0.147E-02	0.000E+00
46.0	0.000E+00	0.000E+00	0.485E-03	0.508E+00	0.190E+00	0.811E-03	0.000E+00
47.0	0.000E+00	0.000E+00	0.138E-02	0.521E+00	0.127E+00	0.444E-03	0.000E+00
48.0	0.000E+00	0.000E+00	0.314E-02	0.511E+00	0.839E-01	0.241E-03	0.000E+00
49.0	0.000E+00	0.000E+00	0.600E-02	0.482E+00	0.544E-01	0.130E-03	0.000E+00
50.0	0.000E+00	0.000E+00	0.101E-01	0.437E+00	0.349E-01	0.701E-04	0.000E+00
51.0	0.000E+00	0.000E+00	0.155E-01	0.382E+00	0.221E-01	0.373E-04	0.000E+00
